Name;Num Characters;Num taxa;Num states
Agnolin_2007a_paleobiodb.nex;51;12 ;4
Demar_2013a_paleobiodb.nex;23;13 ;3
Escaso_etal_2007a_paleobiodb.nex;60;13 ;3
Gao_etal_2013aa_paleobiodb.nex;75;13 ;3
Muller_2007a_paleobiodb.nex;42;13 ;4
Bloch_etal_2001a_paleobiodb.nex;32;14 ;6
Heyning_1997a_paleobiodb.nex;75;14 ;3
Rook_et_Hunter_2011a_paleobiodb.nex;37;14 ;4
Sereno_1999ac_paleobiodb.nex;149;14 ;4
You_etal_2008b_paleobiodb.nex;31;14 ;2
Boisserie_2005a_paleobiodb.nex;37;15 ;4
Egi_etal_2005a_paleobiodb.nex;65;15 ;5
Kammerer_2016a_paleobiodb.nex;47;15 ;4
Botha-Brink_et_Modesto_2009a_paleobiodb.nex;62;16 ;4
Ji_etal_2009aa_paleobiodb.nex;41;16 ;3
Mayr_etal_2004a_paleobiodb.nex;36;16 ;3
Alroy_1995a_paleobiodb.nex;56;17 ;9
Bourdon_etal_2009a_paleobiodb.nex;129;17 ;3
Chiappe_et_Walker_2002a_paleobiodb.nex;36;17 ;3
Garcia-Lopez_et_Babot_2015ab_paleobiodb.nex;39;17 ;4
Kammerer_2016b_paleobiodb.nex;30;17 ;5
Kear_2005a_paleobiodb.nex;43;17 ;3
Polly_1996a_paleobiodb.nex;60;17 ;4
Baskin_2004a_paleobiodb.nex;40;18 ;4
Sereno_1999ah_paleobiodb.nex;204;19 ;4
Wang_et_Carranza-Castaneda_2008a_paleobiodb.nex;38;19 ;4
Garcia-Lopez_et_Babot_2015aa_paleobiodb.nex;44;20 ;4
Longrich_etal_2010a_paleobiodb.nex;90;20 ;3
McGowan_2002a_paleobiodb.nex;41;20 ;4
Unwin_2003a_paleobiodb.nex;60;20 ;3
Velez-Juarbe_etal_2015a_paleobiodb.nex;41;20 ;4
Wu_etal_1996a_paleobiodb.nex;46;20 ;2
Bai_etal_2010a_paleobiodb.nex;58;21 ;4
Bloch_etal_2007a_paleobiodb.nex;173;21 ;4
Sanchez-Villagra_etal_2006a_paleobiodb.nex;157;21 ;4
Trueb_et_Baez_2006a_paleobiodb.nex;56;21 ;4
Acosta_Hospitaleche_etal_2007a_paleobiodb.nex;44;22 ;3
Filippi_etal_2011a_paleobiodb.nex;65;22 ;4
Mayr_2011b_paleobiodb.nex;49;22 ;3
Mayr_etal_2015aa_paleobiodb.nex;94;22 ;6
Boessenecker_et_Churchill_2013ab_paleobiodb.nex;90;23 ;5
Garcia-Lopez_et_Babot_2015ac_paleobiodb.nex;46;23 ;4
Modesto_etal_2002a_paleobiodb.nex;40;23 ;5
Scanferla_etal_2013a_paleobiodb.nex;156;23 ;4
Wilson_etal_2010a_paleobiodb.nex;116;23 ;4
Lambert_etal_inpressa_paleobiodb.nex;53;24 ;4
Archibald_etal_2001a_paleobiodb.nex;70;25 ;6
Kear_etal_2007a_paleobiodb.nex;104;25 ;6
MacDougall_et_Modesto_2011a_paleobiodb.nex;59;25 ;5
Ramassamy_2016a_paleobiodb.nex;69;25 ;4
Schoch_et_Sues_2013a_paleobiodb.nex;70;25 ;4
Danilo_etal_2013a_paleobiodb.nex;72;26 ;4
Mukherjee_et_Ray_2014a_paleobiodb.nex;75;26 ;5
Parsons_et_Parsons_2009a_paleobiodb.nex;63;26 ;5
Churchill_etal_2014a_paleobiodb.nex;107;27 ;5
Danilov_etal_2013b_paleobiodb.nex;78;27 ;4
Matsumoto_etal_2013a_paleobiodb.nex;116;27 ;5
Rodrigues_etal_2010a_paleobiodb.nex;65;27 ;4
Parker_2016a_paleobiodb.nex;83;28 ;5
Wang_1994a_paleobiodb.nex;46;28 ;4
Worthy_etal_2014a_paleobiodb.nex;179;28 ;5
Gaudin_1995a_paleobiodb.nex;85;29 ;5
Lyson_et_Joyce_2011aa_paleobiodb.nex;111;29 ;7
Rincon_etal_2013a_paleobiodb.nex;51;29 ;5
Simmons_etal_2008a_paleobiodb.nex;207;29 ;6
Huttenlocker_2009a_paleobiodb.nex;110;30 ;5
Liu_et_Abdala_2014a_paleobiodb.nex;77;30 ;4
Williamson_et_Weil_2011a_paleobiodb.nex;59;30 ;4
Benton_inpressa_paleobiodb.nex;139;31 ;5
Brusatte_et_Carr_2016a_paleobiodb.nex;366;32 ;4
Kielan-Jaworowska_et_Hurum_2001a_paleobiodb.nex;62;33 ;4
Lively_2015a_paleobiodb.nex;106;33 ;4
Soares_etal_2014a_paleobiodb.nex;145;33 ;5
Lambert_etal_2015a_paleobiodb.nex;77;35 ;4
Larson_etal_2014a_paleobiodb.nex;138;35 ;3
Prideaux_et_Warburton_2010a_paleobiodb.nex;83;35 ;5
Vitek_2011a_paleobiodb.nex;77;35 ;5
Fischer_etal_2016a_paleobiodb.nex;88;36 ;3
Maridet_et_Ni_2013a_paleobiodb.nex;67;37 ;4
Flores_2009a_paleobiodb.nex;114;38 ;6
Engelman_et_Croft_2014a_paleobiodb.nex;307;39 ;5
Livezey_1996a_paleobiodb.nex;175;39 ;6
Rybczynski_2007a_paleobiodb.nex;88;39 ;7
Hooker_1989a_paleobiodb.nex;67;40 ;4
Shoshani_etal_2006a_paleobiodb.nex;125;40 ;6
Tortosa_etal_2014a_paleobiodb.nex;335;40 ;6
Orliac_etal_2010a_paleobiodb.nex;125;41 ;3
Jimenez-Huidobro_et_Caldwell_inpressa_paleobiodb.nex;131;42 ;6
Gaubert_etal_2005a_paleobiodb.nex;349;44 ;5
Averianov_etal_2015a_paleobiodb.nex;137;45 ;5
Cerdeno_1995a_paleobiodb.nex;72;46 ;4
Ortega_etal_2010a_paleobiodb.nex;233;46 ;4
Romano_etal_2014a_paleobiodb.nex;175;49 ;8
Tomiya_2011a_paleobiodb.nex;98;50 ;4
Han_etal_2014b_paleobiodb.nex;170;52 ;3
Mihlbachler_et_Demere_2010a_paleobiodb.nex;87;53 ;6
Maganuco_et_Pasini_2009a_paleobiodb.nex;86;54 ;4
Ruta_2009a_paleobiodb.nex;246;56 ;5
Clarke_etal_2007a_paleobiodb.nex;194;58 ;7
Mayr_etal_2015ab_paleobiodb.nex;464;59 ;4
Mori_etal_2016aa_paleobiodb.nex;346;60 ;7
Billet_et_De_Muizon_2013a_paleobiodb.nex;143;61 ;4
Joyce_etal_2016a_paleobiodb.nex;176;61 ;7
Vila_Nova_etal_2014aa_paleobiodb.nex;111;62 ;7
Worthy_2009a_paleobiodb.nex;150;62 ;6
Coria_et_Currie_2016aa_paleobiodb.nex;359;64 ;5
Dyke_etal_2003a_paleobiodb.nex;102;65 ;4
Boyd_et_Pagnac_2015a_paleobiodb.nex;135;68 ;6
Lu_etal_2016b_paleobiodb.nex;118;68 ;8
OMeara_et_Thompson_2014a_paleobiodb.nex;317;70 ;6
Poropat_etal_2016a_paleobiodb.nex;397;72 ;4
Smith_2011aa_paleobiodb.nex;344;72 ;6
Jiang_etal_2016a_paleobiodb.nex;195;73 ;7
Wang_etal_2012ca_paleobiodb.nex;381;76 ;5
Tschopp_etal_2015a_paleobiodb.nex;477;81 ;5
Boersma_et_Pyenson_2016a_paleobiodb.nex;292;86 ;8
Tsai_et_Fordyce_inpressb_paleobiodb.nex;272;92 ;5
Ezcurra_2016a_paleobiodb.nex;600;102 ;7
Ruta_et_Coates_2007a_paleobiodb.nex;339;102 ;5
Foth_etal_2014a_paleobiodb.nex;560;132 ;5
Cadena_2015a_paleobiodb.nex;257;155 ;6
Longrich_etal_2012a_paleobiodb.nex;622;219 ;5
