Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	0	-992.4084	-1021.723	29.31418	0.08864679	11.28072	0.864762	0.125438	0.423603	0.357779	0.099254	0.201949	0.112966	0.0156309	0.516358	0.170678	0.327614	0.0658784	0.228075	0.140698	0.131252	0.324156	0.0890538	0.162271	0.061889	0.128619	0.100361	0.267523	0.0863395	0.0215766	0.145652	0.0786104	0.131139	0.650943	0.879773	1.06986	1.39943	0.160762	0.0233194	0.0787494	0.0665125	0.0184517	0.037543	0.0210008	0.00290585	0.0959929	0.0317297	0.0609047	0.012247	0.0424	0.0261563	0.0244003	0.0602619	0.0165554	0.0301668	0.0115054	0.0239108	0.0186576	0.0497336	0.0160509	0.00401117	0.0270772	0.014614	0.0243793	5.379126
1	1	-989.4987	-1020.44	30.94135	0.04266034	23.44097	0.362028	0.258086	0.184925	0.190083	0.147208	0.189617	0.125343	0.075494	0.112235	0.0287837	0.256782	0.204966	0.065497	0.250357	0.139737	0.139123	0.0647206	0.057014	0.197872	0.0824248	0.0506947	0.0482656	0.175319	0.15827	0.114712	0.0352585	0.0831288	0.751029	0.921325	1.05436	1.27329	0.095322	0.0679541	0.0486909	0.0500488	0.0387598	0.0499262	0.0330028	0.0198776	0.0295514	0.00757875	0.0676109	0.0539676	0.0172454	0.0659191	0.0367929	0.0366312	0.017041	0.0150118	0.0520998	0.0217025	0.0133479	0.0127083	0.0461615	0.0416725	0.0302037	0.00928356	0.0218878	3.797945
2	0	-993.9731	-1024.081	30.10776	0.201627	4.959654	0.614024	0.18273	0.226106	0.402623	0.0587437	0.113366	0.204501	0.024884	0.300909	0.123679	0.137583	0.187887	0.223502	0.205697	0.0662231	0.288609	0.0764184	0.0931687	0.0602521	0.142058	0.100139	0.236187	0.0316653	0.0102006	0.10342	0.0495167	0.208474	0.500393	0.802987	1.08337	1.61325	0.137287	0.0408557	0.050554	0.0900206	0.0131342	0.0253469	0.0457234	0.0055637	0.0672789	0.0276527	0.0307615	0.0420088	0.0499718	0.0459909	0.0148065	0.0645287	0.017086	0.0208312	0.0134715	0.031762	0.0223895	0.052808	0.00707989	0.0022807	0.0231232	0.0110712	0.0466117	4.472566
3	1	-991.1266	-1021.424	30.29764	0.08366288	11.95273	0.6287	0.074798	0.069906	0.406746	0.103093	0.237411	0.0991226	0.0906408	0.11514	0.0028386	0.413113	0.291095	0.3281	0.189746	0.0977167	0.0718493	0.0777059	0.0678366	0.11421	0.0947711	0.123363	0.0351431	0.181729	0.214086	0.0927615	0.031302	0.147723	0.659979	0.883802	1.06864	1.38758	0.142865	0.0169971	0.0158854	0.0924286	0.0234267	0.0539491	0.0225245	0.0205972	0.0261644	0.000645042	0.0938755	0.0661483	0.0745572	0.0431178	0.0222051	0.016327	0.0176578	0.0154151	0.025953	0.0215357	0.028033	0.00798589	0.041296	0.0486487	0.0210791	0.00711305	0.0335684	4.400647
4	0	-1007.611	-1038.168	30.55634	0.01769753	56.50506	0.186665	0.204131	0.358352	0.359436	0.0267449	0.244283	0.0979303	0.0376445	0.0853361	0.116618	0.356589	0.17557	0.134577	0.224001	0.0681295	0.46297	0.0689642	0.0318116	0.0465096	0.129793	0.109049	0.257204	0.0344829	0.000777272	0.0624721	0.193124	0.134748	0.836331	0.951902	1.03799	1.17377	0.0443604	0.0485114	0.0851615	0.085419	0.00635586	0.0580532	0.0232729	0.00894613	0.0202799	0.0277139	0.0847425	0.0417237	0.0319818	0.0532333	0.0161908	0.110024	0.0163892	0.00755995	0.0110529	0.0308449	0.0259153	0.0611239	0.00819478	0.000184717	0.0148463	0.0458956	0.0320224	4.207911
5	1	-987.6409	-1018.097	30.45578	0.07326313	13.64943	0.375681	0.142481	0.0968487	0.293229	0.126246	0.206316	0.118546	0.059585	0.256665	0.0928345	0.38198	0.0739213	0.321649	0.189277	0.0770455	0.0598314	0.0471241	0.101218	0.261776	0.0665895	0.138522	0.0637783	0.287796	0.0427065	0.123788	0.0289431	0.218532	0.679952	0.892504	1.06582	1.36172	0.0883351	0.033502	0.0227723	0.0689479	0.0296846	0.0485118	0.027874	0.0140104	0.0603503	0.0218285	0.0898162	0.0173813	0.0756304	0.0445053	0.0181159	0.0140683	0.0110804	0.0237998	0.0615523	0.0156574	0.0325711	0.0149964	0.0676703	0.0100417	0.0291066	0.00680547	0.051384	4.25291
6	0	-993.731	-1024.148	30.41743	0.09796791	10.20742	0.2466	0.26206	0.167309	0.392975	0.0940486	0.180583	0.0857337	0.119807	0.111991	0.0253314	0.366182	0.128534	0.147134	0.0993363	0.255932	0.39106	0.0401525	0.0230809	0.0874303	0.120946	0.134144	0.199992	0.196375	0.00159946	0.0894635	0.154906	0.143843	0.634852	0.872451	1.07192	1.42078	0.0577984	0.0614219	0.0392142	0.092106	0.0220432	0.0423254	0.0200944	0.0280806	0.0262486	0.0059372	0.0858262	0.0301261	0.0344855	0.0232826	0.0599857	0.0916571	0.009411	0.00540973	0.020492	0.0283474	0.0314409	0.0468744	0.0460267	0.000374883	0.0209686	0.036307	0.0337142	4.266551
7	1	-983.6545	-1013.881	30.22629	0.0908513	11.007	0.500179	0.0793398	0.103414	0.306491	0.116429	0.20113	0.123907	0.0141061	0.460778	0.0192279	0.399256	0.0855456	0.330898	0.197838	0.115147	0.0394677	0.0145375	0.105796	0.232661	0.0582294	0.144787	0.17614	0.303034	0.044638	0.134238	0.0238946	0.133701	0.647046	0.878017	1.07037	1.40457	0.112027	0.01777	0.0231619	0.068646	0.0260769	0.0450477	0.0277519	0.0031594	0.103202	0.00430655	0.0894229	0.01916	0.0741124	0.0443104	0.02579	0.00883973	0.00325602	0.0236956	0.0521099	0.0130418	0.0324285	0.0394507	0.0678717	0.00999774	0.0300658	0.00535176	0.0299455	4.464812
8	0	-999.6045	-1029.055	29.45074	0.4853691	2.060288	0.484288	0.198649	0.35923	0.31486	0.0938059	0.105036	0.139674	0.133134	0.13729	0.00338509	0.313107	0.407883	0.334521	0.154895	0.206832	0.39005	0.143735	0.0136477	0.0637216	0.154455	0.14044	0.227547	0.0732466	0.00960019	0.0383874	0.0609497	0.143472	0.300367	0.661275	1.07143	1.96693	0.0999388	0.0409937	0.0741317	0.0649752	0.019358	0.0216756	0.0288234	0.0274739	0.0283314	0.000698555	0.0646135	0.0841718	0.0690327	0.0319645	0.0426824	0.0804917	0.0296614	0.00281638	0.0131498	0.0318737	0.0289816	0.0469572	0.0151153	0.00198112	0.00792172	0.0125777	0.0296073	4.845843
9	1	-986.4031	-1016.738	30.33524	0.01718372	58.19461	0.384461	0.160162	0.152658	0.380726	0.140049	0.20498	0.151891	0.00921691	0.232462	0.069189	0.176976	0.34523	0.203308	0.116972	0.213047	0.0345475	0.0465188	0.0947448	0.313853	0.0396851	0.137265	0.12428	0.308835	0.064619	0.217742	0.0436205	0.0624924	0.838641	0.952674	1.03752	1.17117	0.086795	0.0361577	0.0344637	0.0859517	0.0316171	0.0462757	0.0342905	0.00208079	0.0524802	0.0156199	0.0399538	0.0779382	0.0458983	0.0264074	0.0480969	0.00779936	0.010502	0.0213894	0.0708548	0.00895922	0.0309886	0.0280572	0.0697218	0.0145882	0.0491569	0.00984766	0.0141081	4.429531
