Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	-992.4084	-1021.723	29.31418	0.08864679	11.28072	0.864762	0.125438	0.423603	0.357779	0.099254	0.201949	0.112966	0.0156309	0.516358	0.170678	0.327614	0.0658784	0.228075	0.140698	0.131252	0.324156	0.0890538	0.162271	0.061889	0.128619	0.100361	0.267523	0.0863395	0.0215766	0.145652	0.0786104	0.131139	0.650943	0.879773	1.06986	1.39943	0.160762	0.0233194	0.0787494	0.0665125	0.0184517	0.037543	0.0210008	0.00290585	0.0959929	0.0317297	0.0609047	0.012247	0.0424	0.0261563	0.0244003	0.0602619	0.0165554	0.0301668	0.0115054	0.0239108	0.0186576	0.0497336	0.0160509	0.00401117	0.0270772	0.014614	0.0243793	5.379126
10	-993.9731	-1024.081	30.10776	0.201627	4.959654	0.614024	0.18273	0.226106	0.402623	0.0587437	0.113366	0.204501	0.024884	0.300909	0.123679	0.137583	0.187887	0.223502	0.205697	0.0662231	0.288609	0.0764184	0.0931687	0.0602521	0.142058	0.100139	0.236187	0.0316653	0.0102006	0.10342	0.0495167	0.208474	0.500393	0.802987	1.08337	1.61325	0.137287	0.0408557	0.050554	0.0900206	0.0131342	0.0253469	0.0457234	0.0055637	0.0672789	0.0276527	0.0307615	0.0420088	0.0499718	0.0459909	0.0148065	0.0645287	0.017086	0.0208312	0.0134715	0.031762	0.0223895	0.052808	0.00707989	0.0022807	0.0231232	0.0110712	0.0466117	4.472566
20	-1007.611	-1038.168	30.55634	0.01769753	56.50506	0.186665	0.204131	0.358352	0.359436	0.0267449	0.244283	0.0979303	0.0376445	0.0853361	0.116618	0.356589	0.17557	0.134577	0.224001	0.0681295	0.46297	0.0689642	0.0318116	0.0465096	0.129793	0.109049	0.257204	0.0344829	0.000777272	0.0624721	0.193124	0.134748	0.836331	0.951902	1.03799	1.17377	0.0443604	0.0485114	0.0851615	0.085419	0.00635586	0.0580532	0.0232729	0.00894613	0.0202799	0.0277139	0.0847425	0.0417237	0.0319818	0.0532333	0.0161908	0.110024	0.0163892	0.00755995	0.0110529	0.0308449	0.0259153	0.0611239	0.00819478	0.000184717	0.0148463	0.0458956	0.0320224	4.207911
30	-993.731	-1024.148	30.41743	0.09796791	10.20742	0.2466	0.26206	0.167309	0.392975	0.0940486	0.180583	0.0857337	0.119807	0.111991	0.0253314	0.366182	0.128534	0.147134	0.0993363	0.255932	0.39106	0.0401525	0.0230809	0.0874303	0.120946	0.134144	0.199992	0.196375	0.00159946	0.0894635	0.154906	0.143843	0.634852	0.872451	1.07192	1.42078	0.0577984	0.0614219	0.0392142	0.092106	0.0220432	0.0423254	0.0200944	0.0280806	0.0262486	0.0059372	0.0858262	0.0301261	0.0344855	0.0232826	0.0599857	0.0916571	0.009411	0.00540973	0.020492	0.0283474	0.0314409	0.0468744	0.0460267	0.000374883	0.0209686	0.036307	0.0337142	4.266551
40	-999.6045	-1029.055	29.45074	0.4853691	2.060288	0.484288	0.198649	0.35923	0.31486	0.0938059	0.105036	0.139674	0.133134	0.13729	0.00338509	0.313107	0.407883	0.334521	0.154895	0.206832	0.39005	0.143735	0.0136477	0.0637216	0.154455	0.14044	0.227547	0.0732466	0.00960019	0.0383874	0.0609497	0.143472	0.300367	0.661275	1.07143	1.96693	0.0999388	0.0409937	0.0741317	0.0649752	0.019358	0.0216756	0.0288234	0.0274739	0.0283314	0.000698555	0.0646135	0.0841718	0.0690327	0.0319645	0.0426824	0.0804917	0.0296614	0.00281638	0.0131498	0.0318737	0.0289816	0.0469572	0.0151153	0.00198112	0.00792172	0.0125777	0.0296073	4.845843
50	-989.7451	-1019.785	30.04027	0.1542007	6.485054	0.624572	0.20938	0.0956557	0.320908	0.0591633	0.20856	0.146242	0.0574279	0.175607	0.039293	0.314487	0.409681	0.300421	0.063055	0.10953	0.41959	0.0985532	0.129176	0.165534	0.0648961	0.141059	0.0865692	0.0646581	0.00219465	0.0097648	0.127401	0.144104	0.554085	0.832634	1.08015	1.53313	0.136147	0.0456416	0.0208515	0.0699529	0.0128967	0.0454629	0.0318785	0.0125184	0.0382796	0.00856527	0.0685532	0.089304	0.065487	0.013745	0.0238759	0.0914642	0.0214831	0.0281583	0.0360839	0.0141463	0.0307487	0.0188707	0.0140945	0.000478401	0.00212857	0.0277714	0.0314125	4.587484
60	-991.6807	-1021.74	30.05917	0.2559618	3.906833	0.688726	0.208956	0.0618793	0.280301	0.0674293	0.20493	0.070237	0.0557772	0.24474	0.0279038	0.372352	0.276957	0.24749	0.24745	0.0723766	0.345663	0.0938141	0.0817878	0.136369	0.035722	0.158098	0.142617	0.00366435	0.000555885	0.127404	0.0974602	0.116159	0.44917	0.771924	1.0844	1.6945	0.154187	0.0467796	0.0138531	0.0627519	0.0150956	0.0458782	0.0157242	0.012487	0.0547906	0.0062469	0.0833595	0.0620032	0.0554063	0.0553973	0.0162032	0.0773847	0.0210024	0.0183101	0.0305293	0.00799719	0.0353938	0.0319282	0.00082035	0.000124448	0.0285222	0.0218187	0.0260048	4.466818
70	-989.5205	-1019.9	30.37964	0.1610992	6.207357	0.665429	0.18619	0.241665	0.370499	0.0424722	0.130957	0.0777129	0.0370128	0.185192	0.0771123	0.364633	0.247396	0.148869	0.282168	0.0712128	0.207641	0.0254236	0.130943	0.163436	0.0195683	0.101518	0.0997539	0.00725688	0.000281807	0.123094	0.121552	0.112229	0.545618	0.82814	1.08079	1.54545	0.156896	0.0439002	0.0569801	0.0873566	0.0100142	0.0308772	0.0183232	0.00872692	0.0436648	0.0181817	0.0859737	0.0583314	0.0351005	0.0665299	0.0167906	0.0489579	0.00599441	0.0308739	0.0385352	0.00461383	0.0239361	0.0235201	0.00171104	6.64449e-05	0.0290233	0.0286596	0.0264616	4.241218
80	-987.2356	-1017.841	30.60561	0.1060878	9.426151	0.353663	0.184959	0.132357	0.243579	0.0520004	0.170226	0.119177	0.0506544	0.117644	0.171913	0.289542	0.208431	0.123008	0.340626	0.178918	0.223381	0.0874173	0.178585	0.135243	0.0286864	0.208511	0.0680134	0.0304125	0.000952052	0.0618189	0.141657	0.168874	0.621598	0.866275	1.07352	1.43861	0.0868898	0.0454418	0.0325181	0.0598438	0.0127757	0.041822	0.02928	0.012445	0.0289033	0.0422366	0.0711362	0.0512085	0.0302213	0.0836866	0.0439575	0.0548813	0.0214771	0.0438757	0.0332272	0.00704781	0.0512281	0.0167099	0.0074719	0.000233905	0.015188	0.0348031	0.0414897	4.070251
90	-988.9733	-1019.248	30.27447	0.1884552	5.306301	0.449574	0.139104	0.14972	0.368998	0.0525524	0.15514	0.150686	0.0494105	0.29668	0.131704	0.319901	0.213988	0.129027	0.304828	0.0689689	0.34928	0.0913798	0.00831755	0.125337	0.0855088	0.142829	0.106394	0.0502184	0.000621426	0.0385174	0.129103	0.211236	0.514322	0.810948	1.08273	1.592	0.104092	0.0322073	0.0346652	0.0854356	0.0121677	0.0359201	0.0348889	0.0114402	0.0686915	0.0304939	0.0740679	0.0495455	0.0298741	0.0705779	0.0159686	0.0808702	0.0211575	0.00192579	0.0290198	0.0197982	0.0330697	0.0246338	0.0116272	0.000143881	0.00891808	0.0298917	0.0489082	4.319025
