Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	0	-708.7736	-730.997	22.22341	10.6183	0.09417706	0.272481	0.125442	0.0838841	0.153839	0.0212464	0.0533	0.0791486	0.00654149	0.125899	0.041681	0.186067	0.0788757	0.0993384	0.0381228	0.0392027	0.0507146	0.0491353	0.0075526	0.104107	0.0183599	0.0741594	0.0359142	0.0892571	0.0526096	0.0154956	0.00686558	0.0310071	2.23649e-07	0.000703014	0.07853	3.92077	0.140437	0.0646527	0.0432337	0.0792881	0.0109504	0.0274707	0.0407931	0.00337147	0.0648881	0.0214823	0.0958986	0.0406524	0.0511989	0.0196484	0.020205	0.0261382	0.0253242	0.0038926	0.0536563	0.00946268	0.0382216	0.0185101	0.046003	0.0271149	0.00798642	0.00353851	0.015981	1.940247
1	1	-707.3465	-734.9016	27.5551	0.1579939	6.329358	1.21974	0.699247	0.170298	0.457769	0.0613216	0.149928	0.0948195	0.0354316	0.735239	0.172597	0.422216	0.480031	0.30277	0.250229	0.0792876	0.12783	0.098236	0.0693614	0.00638763	0.209749	0.18302	0.139209	0.221459	0.109981	0.236819	0.0324688	0.303416	0.549398	0.830155	1.08051	1.53994	0.172551	0.0989194	0.0240913	0.0647585	0.0086749	0.0212096	0.0134137	0.00501235	0.104011	0.0244165	0.0597291	0.0679079	0.0428315	0.0353988	0.0112165	0.0180835	0.013897	0.00981225	0.000903629	0.0296722	0.0258911	0.0196932	0.0313289	0.0155585	0.0335017	0.00459322	0.0429229	7.06886
2	0	-709.2457	-730.7372	21.49154	11.47872	0.08711776	0.24518	0.163186	0.0299578	0.143407	0.00701437	0.0291462	0.0298208	0.0138004	0.113285	0.0331879	0.133432	0.0520074	0.0527443	0.0531259	0.127402	0.0808118	0.0630007	0.00886006	0.132741	0.00770478	0.066729	0.00611734	0.0734574	0.0753464	0.0432914	0.00194266	0.0250003	6.79261e-08	0.000387679	0.0613512	3.93826	0.135332	0.0900735	0.0165357	0.0791559	0.0038717	0.0160878	0.0164601	0.00761738	0.0625294	0.0183186	0.0736504	0.0287064	0.0291131	0.0293238	0.0703219	0.0446055	0.0347744	0.00489047	0.0732686	0.00425279	0.0368323	0.00337657	0.0405461	0.0415888	0.0238954	0.00107229	0.0137994	1.8117
3	1	-707.3236	-734.2965	26.97289	0.3781089	2.64474	1.29034	0.734845	0.148638	0.797399	0.1527	0.597156	0.0689394	0.00315219	0.5165	0.022852	0.720112	0.418978	0.0411075	0.167421	0.141783	0.0759255	0.183234	0.13673	0.000900372	0.0359929	0.14958	0.121503	0.2931	0.095993	0.206699	0.0778193	0.231548	0.359763	0.709745	1.0801	1.8504	0.173644	0.0988898	0.0200026	0.107308	0.0205492	0.0803606	0.00927733	0.000424197	0.0695065	0.00307525	0.0969071	0.0563829	0.00553193	0.0225302	0.0190801	0.0102175	0.0246582	0.0184	0.000121165	0.00484364	0.0201294	0.016351	0.0394431	0.012918	0.027816	0.0104723	0.0311599	7.430951
4	0	-711.0353	-732.3463	21.31093	11.85116	0.08437995	0.194149	0.146438	0.0268832	0.0900407	0.0115729	0.15373	0.0599045	0.00804829	0.101658	0.0263682	0.126801	0.0468508	0.0661121	0.0664941	0.0297064	0.072518	0.0565349	0.0107396	0.0947588	0.00232591	0.0265817	0.0106812	0.0292956	0.0696645	0.0643475	0.00333188	0.0243255	4.05506e-08	0.00029961	0.0551293	3.94457	0.119855	0.0904017	0.016596	0.0555854	0.00714437	0.0949028	0.0369812	0.0049685	0.0627572	0.0162781	0.078279	0.0289227	0.0408134	0.0410492	0.0183389	0.044768	0.0349011	0.00662992	0.0584981	0.00143587	0.0164098	0.00659392	0.0180852	0.0430064	0.0397241	0.00205689	0.015017	1.619862
5	1	-702.217	-730.4367	28.21961	0.1234201	8.102405	1.18145	0.720551	0.162892	0.376439	0.153219	0.302445	0.0161501	0.0052306	0.548182	0.0617845	0.395039	0.214868	0.166768	0.120979	0.154666	0.177873	0.0149313	0.212336	0.00239113	0.07384	0.20069	0.403789	0.261119	0.0593787	0.184146	0.115367	0.152393	0.595328	0.853631	1.07641	1.47463	0.183486	0.111906	0.025298	0.058463	0.0237958	0.0469714	0.00250819	0.000812342	0.0851357	0.00959547	0.0613518	0.0333701	0.0259	0.0187886	0.0240205	0.0276247	0.00231892	0.032977	0.000371356	0.0114678	0.0311682	0.0627106	0.0405532	0.00922184	0.0285988	0.0179171	0.0236675	6.438922
6	0	-716.39	-736.3306	19.94059	13.10021	0.07633465	0.317107	0.112842	0.0295479	0.0728115	0.0109141	0.118461	0.0623649	0.0133136	0.105457	0.0526818	0.158608	0.0048732	0.107568	0.0335179	0.0478759	0.055881	0.0934881	0.00341483	0.0730192	0.00231539	0.10753	0.0154178	0.0137482	0.0641895	0.00109197	0.0213667	0.0417504	7.18721e-09	0.000126222	0.038508	3.96137	0.182124	0.0648089	0.0169702	0.0418179	0.0062683	0.0680357	0.0358181	0.00764641	0.0605671	0.0302568	0.0910932	0.00279883	0.0617797	0.0192503	0.0274966	0.0320941	0.0536931	0.00196124	0.0419372	0.0013298	0.061758	0.00885492	0.00789601	0.036866	0.000627153	0.0122715	0.0239785	1.741158
7	1	-718.2078	-745.6841	27.47625	0.3369818	2.96752	0.770448	0.838641	0.22443	0.264984	0.302668	0.331437	0.016637	0.00870545	0.493982	0.0442586	0.459782	0.315095	0.155866	0.140806	0.292089	0.223271	0.0299006	0.0288732	0.00136318	0.0346283	0.23358	1.05131	0.367458	0.0694192	0.158156	0.107639	0.0032883	0.386733	0.729714	1.08235	1.8012	0.110558	0.120344	0.0322054	0.0380247	0.0434324	0.0475606	0.00238739	0.00124922	0.0708857	0.00635103	0.065978	0.0452156	0.0223665	0.0202054	0.0419142	0.0320391	0.00429068	0.00414326	0.000195614	0.00496911	0.0335184	0.150862	0.0527296	0.00996154	0.0226951	0.0154461	0.000471865	6.968719
8	0	-716.527	-739.258	22.73104	10.16965	0.09833179	0.198565	0.140837	0.0930696	0.0759866	0.0207877	0.0682619	0.0829291	0.00996394	0.110056	0.0349406	0.156782	0.00508571	0.118298	0.0419869	0.0606624	0.0583178	0.0340639	0.132706	0.0788491	0.000685101	0.0521747	0.0606811	0.010085	0.0589505	0.000733034	0.126283	0.0495246	4.16284e-07	0.00095876	0.0893063	3.90973	0.105549	0.0748631	0.0494718	0.0403912	0.0110498	0.0362851	0.0440815	0.0052964	0.0585008	0.0185729	0.0833385	0.00270334	0.062882	0.0223184	0.0322455	0.0309992	0.0181069	0.0705407	0.0419128	0.00036417	0.0277338	0.0322555	0.00536076	0.0313356	0.000389649	0.0671267	0.0263252	1.881266
9	1	-712.3134	-739.8721	27.55879	0.2036442	4.910526	1.65985	0.52031	0.183731	0.679041	0.247782	0.268189	0.0111756	0.0279205	0.527137	0.0232865	0.376404	0.238261	0.0851614	0.180922	0.341305	0.210284	0.0803496	0.0174173	0.00111598	0.138696	0.107509	0.478121	0.300822	0.0911516	0.132796	0.085254	0.00552687	0.498319	0.801785	1.08345	1.61644	0.236462	0.0741232	0.0261743	0.0967361	0.0352989	0.0382062	0.00159207	0.00397755	0.0750959	0.00331739	0.0536224	0.0339426	0.0121321	0.0257741	0.0486223	0.029957	0.0114466	0.00248126	0.000158982	0.0197587	0.0153156	0.0681131	0.042855	0.0129854	0.0189181	0.0121453	0.000787357	7.019521
10	0	-711.514	-735.0753	23.56127	9.423506	0.1061176	0.344039	0.143386	0.0442155	0.0147188	0.02266	0.052374	0.0887715	0.00174772	0.126604	0.0268428	0.180356	0.00276788	0.0981561	0.0452142	0.0854038	0.0288989	0.059759	0.0458676	0.0431206	0.000790228	0.0145234	0.0425099	0.00623186	0.0648251	0.000863529	0.0962963	0.116235	1.1697e-06	0.00160595	0.11057	3.88782	0.191433	0.0797841	0.0246027	0.00818992	0.0126086	0.0291424	0.0493949	0.000972479	0.070446	0.0149361	0.100355	0.00154012	0.0546168	0.0251584	0.047521	0.0160801	0.0332516	0.025522	0.0239935	0.000439705	0.00808124	0.0236537	0.00346758	0.0360705	0.000480492	0.0535819	0.0646763	1.797178
11	1	-712.7496	-740.6288	27.87928	0.2340261	4.273027	1.05851	0.540134	0.291085	0.316932	0.0520205	0.244715	0.0205729	0.0328247	0.581676	0.00889673	0.629249	0.0920721	0.568824	0.144583	0.396213	0.285353	0.215393	0.0455724	0.00551843	0.00792716	0.26921	0.285293	0.0407026	0.289752	0.0759586	0.156959	0.012706	0.46876	0.784151	1.08427	1.66282	0.158729	0.080996	0.0436497	0.0475257	0.00780076	0.0366963	0.00308502	0.00492223	0.0872254	0.00133411	0.0943593	0.0138067	0.0852983	0.0216811	0.0594143	0.0427903	0.0322993	0.00683383	0.000827518	0.00118872	0.0403695	0.0427811	0.00610357	0.0434499	0.0113904	0.0235368	0.00190533	6.668651
12	0	-712.0709	-733.5091	21.43817	11.73021	0.08524993	0.30841	0.0947958	0.0505659	0.0648753	0.0208108	0.0781909	0.0795783	0.0125346	0.0680053	0.00903986	0.128479	0.003947	0.0912575	0.0534395	0.0520015	0.0712074	0.0575662	0.0226459	0.0516784	0.00138216	0.00430549	0.0326856	0.0884585	0.0168614	0.00258801	0.0686922	0.0795673	4.79458e-08	0.000325761	0.0570775	3.9426	0.191135	0.0587492	0.0313379	0.0402061	0.0128974	0.0484583	0.0493182	0.00776823	0.0421459	0.0056024	0.0796238	0.00244613	0.0565563	0.0331188	0.0322276	0.0441304	0.0356763	0.0140347	0.0320274	0.000856588	0.0026683	0.0202567	0.0548217	0.0104498	0.0016039	0.0425716	0.0493113	1.613569
13	1	-708.5012	-735.8246	27.32338	0.2414655	4.141378	1.11712	0.723286	0.226755	0.512096	0.280818	0.330873	0.0285593	0.0303227	0.543702	0.0078467	0.547883	0.159238	0.196797	0.422957	0.172994	0.347043	0.220225	0.0616174	0.0158576	0.0107181	0.202259	0.382382	0.176638	0.286266	0.0835135	0.0754712	0.0538691	0.461964	0.77996	1.08435	1.67372	0.154788	0.100218	0.0314191	0.0709559	0.03891	0.0458457	0.00395717	0.0042015	0.0753352	0.00108724	0.0759144	0.0220639	0.0272681	0.0586048	0.02397	0.0480861	0.0305143	0.00853769	0.00219722	0.0014851	0.0280249	0.0529828	0.0244749	0.0396649	0.0115716	0.0104573	0.00746408	7.217108
14	0	-707.7933	-731.0477	23.25438	9.777873	0.1022717	0.19589	0.147709	0.0461233	0.184385	0.0152876	0.0677173	0.0725867	0.00697218	0.130332	0.0184327	0.117191	0.0307823	0.0832398	0.0430739	0.0868537	0.0831626	0.0525085	0.0256931	0.100864	0.0119062	0.00713505	0.0375572	0.00240909	0.0302269	0.043014	0.0360651	0.0725766	7.16129e-07	0.00125704	0.0999095	3.89883	0.111957	0.0844201	0.0263608	0.105381	0.00873728	0.0387023	0.0414853	0.0039848	0.0744884	0.0105348	0.0669778	0.0175929	0.0475739	0.0246179	0.0496393	0.0475298	0.0300101	0.0146844	0.0576464	0.00680473	0.00407788	0.021465	0.00137686	0.0172755	0.0245837	0.0206122	0.0414796	1.749696
15	1	-706.629	-734.689	28.06001	0.133204	7.50728	1.26053	0.201027	0.170395	0.391985	0.0348196	0.173499	0.0334883	0.0283012	0.44094	0.136403	0.341926	0.180558	0.280519	0.477256	0.128101	0.318249	0.248497	0.198939	0.017185	0.0106346	0.452018	0.335904	0.149015	0.323016	0.0738173	0.164686	0.0170265	0.581544	0.846774	1.07777	1.49391	0.191316	0.0305107	0.0258616	0.0594931	0.00528471	0.0263326	0.00508265	0.00429538	0.0669233	0.0207024	0.0518956	0.027404	0.0425755	0.072435	0.0194424	0.048302	0.0377154	0.0301938	0.00260823	0.00161406	0.0686046	0.0509815	0.0226167	0.0490255	0.0112036	0.0249951	0.00258418	6.588739
16	0	-716.0896	-740.3057	24.21613	8.912191	0.1122059	0.211215	0.159265	0.0569304	0.204138	0.00293453	0.0885532	0.0584565	0.0264832	0.140528	0.0106543	0.0919329	0.0352663	0.0882478	0.0416327	0.0529678	0.0449564	0.0267731	0.0277032	0.0843749	0.0107154	0.0261643	0.034241	0.00546755	0.0104515	0.0660956	0.0168105	0.0306748	2.37411e-06	0.00228654	0.127961	3.86975	0.127728	0.0963122	0.0344275	0.123448	0.00177459	0.0535506	0.0353503	0.0160151	0.0849815	0.00644299	0.0555944	0.0213266	0.053366	0.0251765	0.0320311	0.0271864	0.0161905	0.0167529	0.0510239	0.00647989	0.0158223	0.0207065	0.00330638	0.00632032	0.0399699	0.0101658	0.01855	1.653635
17	1	-709.7435	-738.5449	28.8014	0.1247302	8.017305	0.513316	0.191624	0.245542	0.503748	0.062	0.165383	0.0466014	0.0897918	0.35606	0.0452074	0.460364	0.162394	0.180228	0.454931	0.0387191	0.303363	0.236873	0.487434	0.160667	0.0323726	0.311326	0.320192	0.0540405	0.163849	0.0323875	0.0286795	0.208729	0.593442	0.852702	1.0766	1.47725	0.087659	0.0327237	0.0419313	0.0860251	0.0105878	0.0282425	0.00795813	0.0153338	0.0608045	0.00772008	0.0786164	0.0277321	0.0307775	0.0776887	0.00661207	0.0518053	0.0404509	0.0832393	0.0274372	0.00552828	0.0531652	0.0546792	0.00922851	0.0279806	0.00553082	0.00489761	0.0356446	5.855822
18	0	-707.0284	-730.2157	23.18736	9.744725	0.1026196	0.210308	0.141405	0.0530335	0.113715	0.0174725	0.0930599	0.0696588	0.00913976	0.146257	0.0435646	0.131683	0.116982	0.092739	0.0400736	0.0745629	0.0400776	0.0546447	0.0724657	0.0926245	0.0223433	0.0416944	0.043225	0.0274045	0.0197633	0.0546939	0.0123951	0.0148817	7.49764e-07	0.00128618	0.100862	3.89785	0.113688	0.0764404	0.0286688	0.0614721	0.00944525	0.0503062	0.0376561	0.00494076	0.0790635	0.0235501	0.0711849	0.0632381	0.0501328	0.021663	0.0403071	0.0216651	0.0295398	0.0391734	0.0500708	0.0120783	0.0225391	0.0233665	0.0148143	0.0106836	0.0295664	0.00670051	0.00804475	1.849868
19	1	-708.3825	-737.306	28.92351	0.07170825	13.9454	0.534863	0.441538	0.255849	0.460345	0.287295	0.151504	0.081163	0.0973196	0.371007	0.21307	0.390533	0.0955159	0.187793	0.284291	0.227277	0.278952	0.0588536	0.1153	0.187531	0.0109156	0.324394	0.183327	0.047523	0.370132	0.0332836	0.0290279	0.0681334	0.683082	0.893843	1.06536	1.35771	0.0924291	0.0763016	0.044213	0.0795518	0.0496472	0.0261812	0.0140257	0.0168177	0.0641133	0.0368205	0.0674877	0.016506	0.0324523	0.0491281	0.0392754	0.0482053	0.0101704	0.0199249	0.0324071	0.00188631	0.0560582	0.0316805	0.0082124	0.0639621	0.00575171	0.00501629	0.0117741	5.786737
20	0	-712.7087	-735.68	22.97127	9.879423	0.1012205	0.247081	0.144981	0.00881924	0.125304	0.0167079	0.0889875	0.0740257	0.0026624	0.105942	0.0210301	0.10277	0.111863	0.0512593	0.0643666	0.0459564	0.035696	0.0522534	0.126679	0.135397	0.0712008	0.019328	0.0370548	0.064243	0.0188985	0.0935476	0.0336926	0.031515	6.22192e-07	0.00117182	0.0970469	3.90178	0.127938	0.0750704	0.00456657	0.0648818	0.00865127	0.0460774	0.0383302	0.00137858	0.0548565	0.0108893	0.053214	0.0579222	0.0265418	0.0333288	0.0237961	0.0184832	0.0270566	0.0655942	0.070108	0.0368675	0.010008	0.0191869	0.0332648	0.00978555	0.0484386	0.0174459	0.0163183	1.931262
21	1	-711.4452	-740.4372	28.99205	0.008817309	113.4133	0.622467	0.351461	0.386213	0.466987	0.080884	0.416618	0.118328	0.0343099	0.249262	0.0284072	0.396167	0.125055	0.250619	0.213121	0.154482	0.292663	0.0734054	0.0393392	0.0946225	0.000888292	0.626043	0.185972	0.026784	0.0504076	0.198237	0.124533	0.17381	0.883294	0.967046	1.02792	1.12174	0.107673	0.060795	0.0668063	0.0807784	0.0139911	0.0720656	0.0204681	0.00593485	0.0431168	0.00491381	0.0685282	0.0216318	0.0433516	0.0368652	0.0267219	0.0506243	0.0126975	0.00680481	0.0163676	0.000153655	0.108292	0.032169	0.00463304	0.0087194	0.0342907	0.0215415	0.0300653	5.781086
22	0	-707.0624	-728.9445	21.88212	11.08584	0.09020514	0.322384	0.153831	0.00753906	0.132953	0.00925412	0.0867954	0.0785446	0.00159506	0.112409	0.0223139	0.113592	0.0554429	0.0539907	0.0469459	0.0242015	0.0377084	0.00364956	0.0508196	0.0624926	0.0225409	0.0271527	0.0448648	0.119259	0.0431879	0.120685	0.0359321	0.0239062	1.17045e-07	0.000508759	0.0686739	3.93082	0.177721	0.0848024	0.00415606	0.073293	0.00510152	0.0478478	0.0432993	0.000879311	0.061968	0.012301	0.06262	0.030564	0.0297635	0.0258799	0.0133416	0.0207875	0.0020119	0.0280153	0.0344503	0.0124261	0.0149685	0.0247326	0.0657442	0.0238082	0.0665299	0.0198083	0.0131788	1.813991
23	1	-710.4021	-738.8234	28.42127	0.03373369	29.64396	0.822662	0.201292	0.28375	0.712217	0.083369	0.439564	0.117861	0.0573337	0.352879	0.0147228	0.394605	0.0399218	0.249631	0.0823753	0.560106	0.179206	0.404336	0.0120982	0.202889	0.000216512	0.320886	0.0833936	0.0507112	0.372288	0.104502	0.124042	0.0600927	0.777151	0.93113	1.04963	1.24209	0.130025	0.031815	0.0448478	0.112569	0.0131768	0.0694749	0.0186284	0.00906183	0.055774	0.002327	0.0623689	0.00630981	0.0394552	0.0130198	0.088527	0.0283242	0.063907	0.00191218	0.0320674	3.42205e-05	0.0507173	0.0131807	0.0080151	0.0588416	0.0165169	0.0196054	0.0094979	6.326949
24	0	-713.0459	-735.1185	22.07263	10.79307	0.09265207	0.3209	0.186417	0.0674911	0.154209	0.0139746	0.0810593	0.0348466	0.00892116	0.0470688	0.0282079	0.123481	0.0236992	0.0807102	0.0836497	0.0205591	0.0476687	0.0450937	0.00416644	0.0865048	0.01297	0.0294145	0.0555046	0.0270515	0.150322	0.0554406	0.0765231	0.0503985	1.7557e-07	0.000622968	0.074691	3.92469	0.167462	0.0972823	0.0352204	0.0804741	0.00729264	0.0423009	0.0181848	0.00465552	0.0245629	0.0147203	0.0644389	0.0123675	0.0421188	0.0436527	0.0107288	0.024876	0.0235322	0.00217426	0.0451427	0.0067684	0.01535	0.0289652	0.0141169	0.0784457	0.0289318	0.0399337	0.0263005	1.916253
25	1	-710.8376	-739.0405	28.20286	0.02195397	45.54984	1.03961	0.157482	0.124683	0.846365	0.062608	0.528491	0.085836	0.060204	0.431922	0.0664513	0.400329	0.0507128	0.315463	0.26427	0.106105	0.111646	0.22656	0.0570328	0.0632642	0.00182684	0.260492	0.122382	0.163647	0.491765	0.272829	0.230241	0.0149183	0.818448	0.945829	1.04164	1.19408	0.158547	0.0240168	0.0190149	0.129075	0.00954808	0.0805979	0.0130905	0.00918144	0.0658705	0.0101342	0.0610525	0.00773398	0.0481098	0.0403026	0.0161815	0.0170266	0.0345517	0.00869782	0.00964814	0.000278603	0.0397265	0.0186639	0.0249572	0.0749969	0.0416079	0.035113	0.00227513	6.557137
26	0	-714.143	-741.866	27.72308	4.875841	0.2050928	0.279689	0.261722	0.118194	0.115601	0.0149513	0.085292	0.0372822	0.0152119	0.11294	0.047779	0.119195	0.0788984	0.0863514	0.157891	0.0172542	0.101544	0.0159093	0.00287766	0.0661666	0.00756659	0.0096896	0.0747491	0.0538344	0.105437	0.0480831	0.0661218	0.0828	0.000630542	0.0367642	0.396818	3.56579	0.12812	0.119889	0.054142	0.0529545	0.00684887	0.0390704	0.0170782	0.00696825	0.0517354	0.0218865	0.0546005	0.0361417	0.0395557	0.0723267	0.00790376	0.046515	0.00728773	0.0013182	0.0303095	0.00346609	0.0044386	0.034241	0.0246604	0.0482984	0.0220258	0.030289	0.0379289	2.183031
27	1	-705.3542	-734.0472	28.69305	0.1207185	8.283734	0.486066	0.180161	0.049821	0.72624	0.164936	0.20685	0.116332	0.0577002	0.379841	0.140641	0.303084	0.162211	0.336071	0.460953	0.0445552	0.0683678	0.478266	0.11176	0.176182	0.00434352	0.253276	0.124893	0.0168725	0.490172	0.212901	0.197563	0.0181268	0.599259	0.855558	1.076	1.46918	0.0814429	0.0301869	0.00834776	0.121685	0.0276359	0.0346587	0.0194921	0.00966796	0.0636443	0.0235651	0.0507833	0.0271793	0.0563105	0.077235	0.00746546	0.0114554	0.0801359	0.0187259	0.0295201	0.00072778	0.0424376	0.0209265	0.00282707	0.0821308	0.0356727	0.0331026	0.00303724	5.968184
28	0	-720.2538	-749.2695	29.01571	3.260974	0.3066568	0.31512	0.101734	0.0839022	0.0604684	0.029539	0.0979097	0.0804281	0.0128719	0.144915	0.0311248	0.198547	0.204118	0.080816	0.252638	0.0175999	0.109139	0.18543	0.061192	0.0326448	0.0469919	0.0395105	0.0484021	0.102115	0.0524011	0.0531515	0.0137901	0.0487736	0.00585082	0.109683	0.606815	3.27765	0.125783	0.0406079	0.0334903	0.0241365	0.0117907	0.0390815	0.0321035	0.00513791	0.0578439	0.0124237	0.0792516	0.0814752	0.0322584	0.100843	0.00702514	0.0435636	0.0740159	0.0244253	0.0130305	0.0187572	0.0157709	0.0193201	0.04076	0.0209163	0.0212159	0.00550444	0.0194684	2.505272
29	1	-707.9168	-736.3989	28.48206	0.04519219	22.12772	0.61106	0.0558587	0.220281	0.912996	0.220695	0.215831	0.134998	0.0725381	0.336186	0.0701795	0.381023	0.228216	0.404296	0.378019	0.1421	0.0056518	0.28285	0.140499	0.161139	0.277624	0.312037	0.0994815	0.0223307	0.151099	0.112488	0.25217	0.0530534	0.744197	0.918694	1.05555	1.28156	0.0976962	0.00893068	0.0352184	0.14597	0.0352847	0.034507	0.0215835	0.0115974	0.0537494	0.0112203	0.0609179	0.0364871	0.0646387	0.0604376	0.0227189	0.000903609	0.0452219	0.022463	0.0257629	0.0443865	0.0498884	0.0159051	0.00357022	0.0241576	0.0179846	0.0403169	0.00848216	6.254702
30	0	-715.8909	-739.8561	23.96518	8.899865	0.1123613	0.19587	0.200342	0.0970249	0.0963683	0.0144187	0.0903448	0.0365186	0.00756186	0.065799	0.0371836	0.156966	0.0926802	0.0174461	0.114711	0.00537453	0.144377	0.102994	0.0358724	0.0329797	0.099677	0.0622222	0.041562	0.0374354	0.0810613	0.0228324	0.0162346	0.0110537	2.41497e-06	0.00230609	0.128412	3.86928	0.10218	0.104513	0.0506152	0.0502727	0.00752184	0.0471304	0.0190508	0.00394481	0.0343255	0.0193977	0.081885	0.0483487	0.00910113	0.0598416	0.00280374	0.0753174	0.053729	0.0187136	0.0172046	0.0519987	0.0324596	0.0216817	0.019529	0.0422874	0.011911	0.00846916	0.00576643	1.916912
31	1	-703.7047	-732.871	29.16632	0.08796958	11.36757	0.766874	0.0560789	0.324876	0.650613	0.150378	0.194624	0.113277	0.052127	0.290229	0.0443266	0.398171	0.22224	0.133579	0.326343	0.152346	0.00143833	0.244183	0.141456	0.155358	0.263048	0.269381	0.0378016	0.0205887	0.0241014	0.163055	0.296892	0.0342774	0.652152	0.880315	1.0697	1.39783	0.138734	0.0101451	0.0587728	0.117701	0.0272046	0.035209	0.0204927	0.00943021	0.0525048	0.00801905	0.0720325	0.040205	0.0241656	0.0590382	0.0275607	0.000260206	0.0441748	0.0255906	0.0281056	0.0475875	0.0487332	0.00683863	0.00372467	0.00436014	0.0294979	0.0537103	0.00620107	5.527663
32	0	-711.0543	-733.4466	22.39225	10.34552	0.09666019	0.31469	0.173177	0.0861406	0.0889999	0.0338463	0.0904007	0.0369553	0.0310941	0.136938	0.031889	0.183576	0.0927377	0.0263809	0.116166	0.00208447	0.101585	0.016315	0.055543	0.0968403	0.0997387	0.0364833	0.031308	0.0464981	0.0649996	0.00246471	0.0353611	0.0119694	3.26303e-07	0.000848972	0.0849172	3.91423	0.153944	0.0847168	0.0421394	0.0435382	0.0165574	0.0442235	0.0180783	0.015211	0.066989	0.0155999	0.0898042	0.0453667	0.0129053	0.0568276	0.00101971	0.0496946	0.00798119	0.0271713	0.0473736	0.0487915	0.0178474	0.0153157	0.0227466	0.0317974	0.00120572	0.0172984	0.00585534	2.044181
33	1	-709.8806	-738.2958	28.41522	0.2510303	3.983583	0.906666	0.287363	0.191644	0.769212	0.17779	0.111055	0.0966031	0.0256091	0.366805	0.0691944	0.5133	0.152707	0.204541	0.217973	0.0604422	0.0259748	0.196765	0.151263	0.150716	0.262059	0.215148	0.0397194	0.0709163	0.104165	0.192778	0.530024	0.0252715	0.453458	0.774639	1.0844	1.6875	0.148252	0.0469877	0.0313363	0.125776	0.029071	0.018159	0.0157959	0.00418744	0.0599775	0.0113142	0.0839314	0.0249697	0.0334452	0.0356416	0.00988311	0.00424723	0.0321738	0.0247336	0.0246441	0.0428501	0.0351797	0.00649466	0.0115958	0.0170324	0.0315217	0.0866661	0.00413223	6.115705
