Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
0	-707.3465	-734.9016	27.5551	0.1579939	6.329358	1.21974	0.699247	0.170298	0.457769	0.0613216	0.149928	0.0948195	0.0354316	0.735239	0.172597	0.422216	0.480031	0.30277	0.250229	0.0792876	0.12783	0.098236	0.0693614	0.00638763	0.209749	0.18302	0.139209	0.221459	0.109981	0.236819	0.0324688	0.303416	0.549398	0.830155	1.08051	1.53994	0.172551	0.0989194	0.0240913	0.0647585	0.0086749	0.0212096	0.0134137	0.00501235	0.104011	0.0244165	0.0597291	0.0679079	0.0428315	0.0353988	0.0112165	0.0180835	0.013897	0.00981225	0.000903629	0.0296722	0.0258911	0.0196932	0.0313289	0.0155585	0.0335017	0.00459322	0.0429229	7.06886
10	-707.3236	-734.2965	26.97289	0.3781089	2.64474	1.29034	0.734845	0.148638	0.797399	0.1527	0.597156	0.0689394	0.00315219	0.5165	0.022852	0.720112	0.418978	0.0411075	0.167421	0.141783	0.0759255	0.183234	0.13673	0.000900372	0.0359929	0.14958	0.121503	0.2931	0.095993	0.206699	0.0778193	0.231548	0.359763	0.709745	1.0801	1.8504	0.173644	0.0988898	0.0200026	0.107308	0.0205492	0.0803606	0.00927733	0.000424197	0.0695065	0.00307525	0.0969071	0.0563829	0.00553193	0.0225302	0.0190801	0.0102175	0.0246582	0.0184	0.000121165	0.00484364	0.0201294	0.016351	0.0394431	0.012918	0.027816	0.0104723	0.0311599	7.430951
20	-702.217	-730.4367	28.21961	0.1234201	8.102405	1.18145	0.720551	0.162892	0.376439	0.153219	0.302445	0.0161501	0.0052306	0.548182	0.0617845	0.395039	0.214868	0.166768	0.120979	0.154666	0.177873	0.0149313	0.212336	0.00239113	0.07384	0.20069	0.403789	0.261119	0.0593787	0.184146	0.115367	0.152393	0.595328	0.853631	1.07641	1.47463	0.183486	0.111906	0.025298	0.058463	0.0237958	0.0469714	0.00250819	0.000812342	0.0851357	0.00959547	0.0613518	0.0333701	0.0259	0.0187886	0.0240205	0.0276247	0.00231892	0.032977	0.000371356	0.0114678	0.0311682	0.0627106	0.0405532	0.00922184	0.0285988	0.0179171	0.0236675	6.438922
30	-718.2078	-745.6841	27.47625	0.3369818	2.96752	0.770448	0.838641	0.22443	0.264984	0.302668	0.331437	0.016637	0.00870545	0.493982	0.0442586	0.459782	0.315095	0.155866	0.140806	0.292089	0.223271	0.0299006	0.0288732	0.00136318	0.0346283	0.23358	1.05131	0.367458	0.0694192	0.158156	0.107639	0.0032883	0.386733	0.729714	1.08235	1.8012	0.110558	0.120344	0.0322054	0.0380247	0.0434324	0.0475606	0.00238739	0.00124922	0.0708857	0.00635103	0.065978	0.0452156	0.0223665	0.0202054	0.0419142	0.0320391	0.00429068	0.00414326	0.000195614	0.00496911	0.0335184	0.150862	0.0527296	0.00996154	0.0226951	0.0154461	0.000471865	6.968719
40	-712.3134	-739.8721	27.55879	0.2036442	4.910526	1.65985	0.52031	0.183731	0.679041	0.247782	0.268189	0.0111756	0.0279205	0.527137	0.0232865	0.376404	0.238261	0.0851614	0.180922	0.341305	0.210284	0.0803496	0.0174173	0.00111598	0.138696	0.107509	0.478121	0.300822	0.0911516	0.132796	0.085254	0.00552687	0.498319	0.801785	1.08345	1.61644	0.236462	0.0741232	0.0261743	0.0967361	0.0352989	0.0382062	0.00159207	0.00397755	0.0750959	0.00331739	0.0536224	0.0339426	0.0121321	0.0257741	0.0486223	0.029957	0.0114466	0.00248126	0.000158982	0.0197587	0.0153156	0.0681131	0.042855	0.0129854	0.0189181	0.0121453	0.000787357	7.019521
50	-712.7496	-740.6288	27.87928	0.2340261	4.273027	1.05851	0.540134	0.291085	0.316932	0.0520205	0.244715	0.0205729	0.0328247	0.581676	0.00889673	0.629249	0.0920721	0.568824	0.144583	0.396213	0.285353	0.215393	0.0455724	0.00551843	0.00792716	0.26921	0.285293	0.0407026	0.289752	0.0759586	0.156959	0.012706	0.46876	0.784151	1.08427	1.66282	0.158729	0.080996	0.0436497	0.0475257	0.00780076	0.0366963	0.00308502	0.00492223	0.0872254	0.00133411	0.0943593	0.0138067	0.0852983	0.0216811	0.0594143	0.0427903	0.0322993	0.00683383	0.000827518	0.00118872	0.0403695	0.0427811	0.00610357	0.0434499	0.0113904	0.0235368	0.00190533	6.668651
60	-708.5012	-735.8246	27.32338	0.2414655	4.141378	1.11712	0.723286	0.226755	0.512096	0.280818	0.330873	0.0285593	0.0303227	0.543702	0.0078467	0.547883	0.159238	0.196797	0.422957	0.172994	0.347043	0.220225	0.0616174	0.0158576	0.0107181	0.202259	0.382382	0.176638	0.286266	0.0835135	0.0754712	0.0538691	0.461964	0.77996	1.08435	1.67372	0.154788	0.100218	0.0314191	0.0709559	0.03891	0.0458457	0.00395717	0.0042015	0.0753352	0.00108724	0.0759144	0.0220639	0.0272681	0.0586048	0.02397	0.0480861	0.0305143	0.00853769	0.00219722	0.0014851	0.0280249	0.0529828	0.0244749	0.0396649	0.0115716	0.0104573	0.00746408	7.217108
70	-706.629	-734.689	28.06001	0.133204	7.50728	1.26053	0.201027	0.170395	0.391985	0.0348196	0.173499	0.0334883	0.0283012	0.44094	0.136403	0.341926	0.180558	0.280519	0.477256	0.128101	0.318249	0.248497	0.198939	0.017185	0.0106346	0.452018	0.335904	0.149015	0.323016	0.0738173	0.164686	0.0170265	0.581544	0.846774	1.07777	1.49391	0.191316	0.0305107	0.0258616	0.0594931	0.00528471	0.0263326	0.00508265	0.00429538	0.0669233	0.0207024	0.0518956	0.027404	0.0425755	0.072435	0.0194424	0.048302	0.0377154	0.0301938	0.00260823	0.00161406	0.0686046	0.0509815	0.0226167	0.0490255	0.0112036	0.0249951	0.00258418	6.588739
80	-709.7435	-738.5449	28.8014	0.1247302	8.017305	0.513316	0.191624	0.245542	0.503748	0.062	0.165383	0.0466014	0.0897918	0.35606	0.0452074	0.460364	0.162394	0.180228	0.454931	0.0387191	0.303363	0.236873	0.487434	0.160667	0.0323726	0.311326	0.320192	0.0540405	0.163849	0.0323875	0.0286795	0.208729	0.593442	0.852702	1.0766	1.47725	0.087659	0.0327237	0.0419313	0.0860251	0.0105878	0.0282425	0.00795813	0.0153338	0.0608045	0.00772008	0.0786164	0.0277321	0.0307775	0.0776887	0.00661207	0.0518053	0.0404509	0.0832393	0.0274372	0.00552828	0.0531652	0.0546792	0.00922851	0.0279806	0.00553082	0.00489761	0.0356446	5.855822
90	-708.3825	-737.306	28.92351	0.07170825	13.9454	0.534863	0.441538	0.255849	0.460345	0.287295	0.151504	0.081163	0.0973196	0.371007	0.21307	0.390533	0.0955159	0.187793	0.284291	0.227277	0.278952	0.0588536	0.1153	0.187531	0.0109156	0.324394	0.183327	0.047523	0.370132	0.0332836	0.0290279	0.0681334	0.683082	0.893843	1.06536	1.35771	0.0924291	0.0763016	0.044213	0.0795518	0.0496472	0.0261812	0.0140257	0.0168177	0.0641133	0.0368205	0.0674877	0.016506	0.0324523	0.0491281	0.0392754	0.0482053	0.0101704	0.0199249	0.0324071	0.00188631	0.0560582	0.0316805	0.0082124	0.0639621	0.00575171	0.00501629	0.0117741	5.786737
