Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
0	0	-987.8867	-1018.783	30.89608	3.885871
1	1	-980.3019	-1011.107	30.80504	3.976914
2	0	-984.6108	-1014.624	30.01279	4.769167
3	1	-985.8803	-1016.148	30.26755	4.514407
4	0	-987.7308	-1018.053	30.32239	4.459565
5	1	-986.7121	-1016.232	29.51943	5.262524
6	0	-984.4882	-1014.43	29.94208	4.839869
7	1	-989.9567	-1020.587	30.62983	4.152124
8	0	-990.0229	-1020.358	30.33537	4.446581
9	1	-982.9824	-1013.127	30.14507	4.636886
10	0	-982.8249	-1013.354	30.52887	4.253085
11	1	-982.2379	-1012.657	30.41911	4.362847
12	0	-983.0285	-1013.235	30.20603	4.575921
13	1	-985.428	-1015.247	29.81864	4.963313
14	0	-979.8878	-1010.481	30.59326	4.188697
15	1	-984.6593	-1014.639	29.97996	4.801993
16	0	-984.7954	-1014.842	30.04694	4.735017
17	1	-991.0287	-1021.243	30.21406	4.56789
18	0	-985.0472	-1015.408	30.36067	4.421287
19	1	-988.2237	-1018.602	30.37846	4.403496
20	0	-989.0316	-1019.103	30.0716	4.71035
21	1	-990.0954	-1020.166	30.07095	4.711
22	0	-982.7409	-1012.82	30.07897	4.702984
23	1	-981.3834	-1011.407	30.02395	4.758006
24	0	-989.014	-1019.318	30.30414	4.477815
25	1	-981.7457	-1012.447	30.70165	4.080307
26	0	-987.3965	-1017.414	30.0173	4.764654
27	1	-986.4654	-1016.823	30.35739	4.424561
28	0	-988.7573	-1018.663	29.90594	4.876014
29	1	-982.0414	-1012.443	30.40152	4.380431
30	0	-985.13	-1015.163	30.03278	4.74917
31	1	-984.0265	-1014.784	30.75725	4.0247
32	0	-984.7722	-1015.329	30.55716	4.224788
33	1	-984.5377	-1015.089	30.551	4.230952
34	0	-984.1244	-1014.206	30.08174	4.700212
35	1	-994.766	-1025.454	30.68801	4.093945
36	0	-986.8046	-1016.786	29.9816	4.800358
37	1	-988.9103	-1019.424	30.51363	4.268318
38	0	-987.6445	-1018.197	30.55295	4.229005
39	1	-985.7355	-1015.976	30.24087	4.541088
40	0	-987.8408	-1018.498	30.65713	4.124818
41	1	-988.4492	-1019.098	30.64852	4.133433
