Iteration	Posterior	Likelihood	Prior	tree_length
0	-987.8867	-1018.783	30.89608	3.885871
10	-984.6108	-1014.624	30.01279	4.769167
20	-987.7308	-1018.053	30.32239	4.459565
30	-984.4882	-1014.43	29.94208	4.839869
40	-990.0229	-1020.358	30.33537	4.446581
50	-982.8249	-1013.354	30.52887	4.253085
60	-983.0285	-1013.235	30.20603	4.575921
70	-979.8878	-1010.481	30.59326	4.188697
80	-984.7954	-1014.842	30.04694	4.735017
90	-985.0472	-1015.408	30.36067	4.421287
100	-989.0316	-1019.103	30.0716	4.71035
110	-982.7409	-1012.82	30.07897	4.702984
120	-989.014	-1019.318	30.30414	4.477815
130	-987.3965	-1017.414	30.0173	4.764654
140	-988.7573	-1018.663	29.90594	4.876014
150	-985.13	-1015.163	30.03278	4.74917
160	-984.7722	-1015.329	30.55716	4.224788
170	-984.1244	-1014.206	30.08174	4.700212
180	-986.8046	-1016.786	29.9816	4.800358
190	-987.6445	-1018.197	30.55295	4.229005
200	-987.8408	-1018.498	30.65713	4.124818
210	-985.9082	-1016.33	30.42147	4.360487
220	-982.9638	-1013.088	30.12397	4.657985
230	-990.54	-1020.684	30.1444	4.637549
240	-987.2207	-1017.315	30.09439	4.687567
250	-985.1448	-1015.78	30.63534	4.146615
260	-989.0911	-1019.067	29.97635	4.805599
270	-990.9921	-1021.011	30.01852	4.763436
280	-992.0325	-1022.329	30.29616	4.485792
290	-981.6914	-1012.175	30.48339	4.298562
300	-984.3896	-1014.654	30.26446	4.517494
310	-983.7528	-1013.668	29.91568	4.866275
320	-987.8965	-1017.94	30.04391	4.738047
330	-980.9014	-1010.882	29.98048	4.801477
340	-984.6727	-1015.089	30.41616	4.365796
350	-981.8318	-1012.152	30.32038	4.461572
360	-981.8917	-1012.597	30.70531	4.076644
370	-982.0394	-1012.47	30.43057	4.351386
380	-988.1903	-1018.93	30.74004	4.041917
390	-985.0448	-1015.383	30.33821	4.443742
400	-986.0404	-1016.782	30.74168	4.040274
410	-989.8109	-1020.19	30.37887	4.403083
420	-981.5189	-1012.375	30.85614	3.925815
430	-991.5925	-1022.06	30.46716	4.314788
440	-986.158	-1015.603	29.44479	5.337161
450	-981.1687	-1011.096	29.92713	4.854828
460	-983.5159	-1014.054	30.53798	4.243973
470	-983.4736	-1013.962	30.48795	4.294
480	-992.5035	-1022.474	29.97038	4.811574
490	-981.0984	-1011.751	30.6525	4.129452
500	-984.0695	-1014.393	30.32394	4.45801
510	-982.8925	-1013.405	30.51265	4.269304
520	-985.836	-1016.406	30.5704	4.211552
530	-985.1543	-1015.374	30.2193	4.562651
540	-984.2659	-1014.014	29.74782	5.034131
550	-988.5939	-1019.604	31.01055	3.771403
560	-988.4035	-1018.287	29.88331	4.898645
570	-979.686	-1010.019	30.3327	4.449257
580	-984.083	-1014.083	29.9996	4.782356
590	-981.7207	-1011.888	30.16734	4.614611
600	-988.7851	-1019.044	30.2587	4.52325
610	-985.9135	-1015.706	29.79282	4.989135
620	-985.5999	-1016.027	30.42759	4.354362
630	-988.0897	-1018.052	29.96209	4.819859
640	-981.6258	-1011.229	29.60314	5.178811
650	-983.5716	-1013.718	30.14595	4.636003
660	-985.5595	-1015.422	29.86226	4.919689
670	-981.0584	-1011.247	30.18868	4.593272
680	-980.104	-1010.446	30.34172	4.440229
690	-987.5785	-1018.196	30.61717	4.164788
700	-982.2789	-1012.29	30.01161	4.770344
710	-991.2153	-1021	29.78514	4.996815
