Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
0	0	-709.9987	-736.7699	26.77125	8.010704
1	1	-705.8858	-734.6592	28.77339	6.008561
2	0	-711.1708	-738.4544	27.2836	7.498351
3	1	-707.9658	-736.1709	28.20517	6.576782
4	0	-713.3498	-741.4326	28.08275	6.699207
5	1	-705.047	-733.3975	28.35047	6.431487
6	0	-705.4069	-733.8897	28.48283	6.299123
7	1	-704.954	-732.54	27.58599	7.195961
8	0	-711.5411	-739.6393	28.09816	6.68379
9	1	-714.0452	-741.9254	27.88016	6.901798
10	0	-709.5267	-737.7183	28.19161	6.590345
11	1	-717.4077	-746.0196	28.61193	6.170025
12	0	-706.714	-735.4485	28.73453	6.04742
13	1	-705.9584	-734.2991	28.34071	6.441241
14	0	-711.2464	-739.3639	28.11752	6.664434
15	1	-704.3691	-733.1699	28.80077	5.981181
16	0	-713.3252	-740.9751	27.65	7.131955
17	1	-708.4959	-737.5402	29.04426	5.73769
18	0	-706.5081	-734.3611	27.85303	6.928928
19	1	-715.1647	-744.0268	28.86214	5.919809
20	0	-703.8221	-731.2991	27.47708	7.304873
21	1	-712.5142	-741.0239	28.50974	6.272218
22	0	-706.099	-735.3278	29.2288	5.553152
23	1	-712.3636	-739.9198	27.55618	7.225771
24	0	-707.1086	-736.0265	28.91797	5.863983
25	1	-718.5234	-745.7767	27.25332	7.528637
26	0	-710.9019	-738.4563	27.55444	7.227511
27	1	-713.7627	-741.4828	27.72009	7.061867
28	0	-705.3898	-734.0445	28.65466	6.127296
29	1	-720.5257	-748.5043	27.97852	6.803428
30	0	-704.3106	-733.3661	29.05549	5.726461
31	1	-719.4464	-746.2085	26.76215	8.019805
32	0	-704.9919	-733.1453	28.1534	6.628556
33	1	-716.7636	-743.7962	27.03261	7.74934
34	0	-712.1334	-740.2141	28.08063	6.701328
35	1	-710.8984	-739.1542	28.25577	6.52618
36	0	-707.7411	-735.4443	27.70321	7.078742
37	1	-707.3565	-736.19	28.83353	5.948428
38	0	-706.6284	-734.2572	27.62885	7.153102
39	1	-704.5341	-733.4004	28.86621	5.91574
40	0	-701.7898	-730.7118	28.922	5.859956
41	1	-713.5808	-742.7087	29.12793	5.654021
42	0	-706.2767	-734.2166	27.93985	6.842101
43	1	-699.6287	-728.397	28.76831	6.013639
44	0	-712.0725	-740.3556	28.28314	6.498811
45	1	-717.184	-745.4911	28.30711	6.474847
46	0	-703.6341	-732.5524	28.91832	5.863633
47	1	-708.3835	-737.0907	28.70719	6.074767
48	0	-708.3589	-737.0211	28.66221	6.119742
49	1	-706.122	-734.1985	28.07647	6.705488
50	0	-704.5015	-732.3464	27.84489	6.937063
51	1	-706.4321	-733.4303	26.99826	7.783688
52	0	-709.8569	-738.4909	28.63398	6.147974
53	1	-707.6156	-736.7621	29.14655	5.635404
54	0	-708.1609	-737.4913	29.33046	5.451497
55	1	-705.5382	-734.5289	28.99079	5.79116
