Iteration	Posterior	Likelihood	Prior	tree_length
0	-709.9987	-736.7699	26.77125	8.010704
10	-711.1708	-738.4544	27.2836	7.498351
20	-713.3498	-741.4326	28.08275	6.699207
30	-705.4069	-733.8897	28.48283	6.299123
40	-711.5411	-739.6393	28.09816	6.68379
50	-709.5267	-737.7183	28.19161	6.590345
60	-706.714	-735.4485	28.73453	6.04742
70	-711.2464	-739.3639	28.11752	6.664434
80	-713.3252	-740.9751	27.65	7.131955
90	-706.5081	-734.3611	27.85303	6.928928
100	-703.8221	-731.2991	27.47708	7.304873
110	-706.099	-735.3278	29.2288	5.553152
120	-707.1086	-736.0265	28.91797	5.863983
130	-710.9019	-738.4563	27.55444	7.227511
140	-705.3898	-734.0445	28.65466	6.127296
150	-704.3106	-733.3661	29.05549	5.726461
160	-704.9919	-733.1453	28.1534	6.628556
170	-712.1334	-740.2141	28.08063	6.701328
180	-707.7411	-735.4443	27.70321	7.078742
190	-706.6284	-734.2572	27.62885	7.153102
200	-701.7898	-730.7118	28.922	5.859956
210	-706.2767	-734.2166	27.93985	6.842101
220	-712.0725	-740.3556	28.28314	6.498811
230	-703.6341	-732.5524	28.91832	5.863633
240	-708.3589	-737.0211	28.66221	6.119742
250	-704.5015	-732.3464	27.84489	6.937063
260	-709.8569	-738.4909	28.63398	6.147974
270	-708.1609	-737.4913	29.33046	5.451497
280	-709.2028	-737.3574	28.15458	6.627375
290	-706.6239	-734.0787	27.45477	7.327178
300	-703.7786	-731.0862	27.30756	7.474392
310	-714.8707	-742.9295	28.0588	6.723151
320	-711.337	-739.8821	28.54506	6.236898
330	-710.8767	-739.5646	28.68789	6.094064
340	-708.0944	-737.7577	29.66325	5.118702
350	-704.3882	-732.9027	28.51456	6.267391
360	-704.4649	-733.2737	28.80875	5.973203
370	-711.5712	-740.1397	28.56855	6.213403
380	-708.3353	-737.672	29.33665	5.445304
390	-705.8256	-734.4466	28.62107	6.160882
400	-708.6	-738.0583	29.45837	5.323581
410	-703.3478	-732.5581	29.21028	5.571668
420	-703.3914	-732.3557	28.96425	5.817703
430	-701.8036	-730.1009	28.29729	6.484661
440	-705.0065	-733.0391	28.03258	6.749378
450	-702.5309	-730.7214	28.19051	6.591439
460	-704.697	-732.2586	27.56162	7.220336
470	-702.2908	-731.1275	28.83674	5.945211
480	-700.6026	-729.1536	28.55096	6.230997
490	-705.1272	-733.2618	28.13462	6.647336
500	-715.1953	-744.349	29.15366	5.628292
510	-704.3194	-733.6256	29.30619	5.475762
520	-706.2187	-734.0619	27.84319	6.938766
530	-708.0919	-736.1235	28.03156	6.750395
540	-704.5329	-732.7805	28.24757	6.534383
550	-701.7615	-730.7303	28.96879	5.813166
560	-713.1953	-741.8255	28.63014	6.151813
570	-712.4263	-740.4171	27.99077	6.791182
580	-713.4766	-740.5656	27.08904	7.692917
590	-710.9086	-738.3568	27.44819	7.333765
600	-717.5393	-745.8581	28.31875	6.463205
610	-715.4601	-743.6913	28.2312	6.550752
620	-707.2676	-735.7486	28.48097	6.300981
630	-702.15	-730.5551	28.4051	6.376849
640	-703.9614	-733.1921	29.23065	5.551301
650	-723.397	-751.6103	28.21323	6.56872
660	-706.6608	-734.4853	27.82452	6.957433
670	-706.4925	-735.0307	28.53817	6.243778
680	-705.4169	-734.6171	29.20016	5.581797
690	-701.5729	-730.4755	28.90268	5.879273
700	-706.0222	-734.5005	28.47825	6.303702
710	-707.7208	-736.8612	29.14043	5.641521
720	-702.1337	-731.9125	29.77886	5.003096
730	-705.5773	-734.0618	28.48442	6.29753
740	-705.6047	-734.3573	28.75268	6.029275
750	-705.6781	-735.0121	29.334	5.447953
760	-704.2945	-731.7565	27.46198	7.319969
770	-715.2187	-744.2656	29.04686	5.735096
780	-709.1889	-737.8542	28.66529	6.116664
790	-706.9466	-735.6476	28.70095	6.081002
800	-710.1491	-738.131	27.9819	6.800058
810	-711.4299	-739.1283	27.69834	7.083614
820	-705.4225	-733.9002	28.47774	6.304209
830	-719.6618	-745.1264	25.46465	9.317298
840	-712.9183	-741.2239	28.30556	6.476393
850	-705.5077	-733.6142	28.10643	6.675523
860	-709.6947	-737.129	27.43426	7.34769
870	-708.0282	-736.0912	28.06304	6.718918
880	-710.5347	-737.881	27.34634	7.435617
890	-704.4325	-732.9115	28.47895	6.303
900	-703.5109	-731.941	28.43011	6.351842
910	-708.9137	-737.9146	29.00094	5.781017
920	-706.3195	-734.4647	28.14522	6.636736
930	-711.7012	-740.3203	28.61916	6.162789
940	-711.0083	-739.7794	28.7711	6.010855
950	-705.1384	-733.6573	28.51888	6.263072
960	-705.4686	-733.8601	28.39148	6.39047
970	-699.8636	-729.2643	29.40077	5.381181
980	-705.0929	-733.463	28.3701	6.411853
990	-707.0791	-735.4256	28.34656	6.435392
1000	-700.5632	-728.8306	28.26739	6.514563
1010	-705.4604	-733.8791	28.41871	6.363246
1020	-707.572	-736.2804	28.70849	6.073463
1030	-709.6138	-737.6319	28.018	6.763948
1040	-711.0287	-740.0574	29.02874	5.753212
1050	-717.6628	-746.2201	28.55733	6.22462
1060	-715.4398	-743.5449	28.10504	6.676915
1070	-709.1657	-736.769	27.60334	7.178609
1080	-709.9993	-738.5797	28.58042	6.201533
1090	-712.072	-740.6524	28.58042	6.201533
1100	-712.7072	-740.9086	28.20146	6.580497
1110	-709.1021	-736.7509	27.64883	7.133124
1120	-703.965	-732.0413	28.07638	6.705575
1130	-702.7602	-731.6646	28.90437	5.877583
1140	-705.6919	-733.0175	27.32567	7.456284
1150	-704.5789	-733.1874	28.60846	6.173496
1160	-709.3787	-737.3342	27.95551	6.826444
1170	-707.4385	-735.3461	27.90759	6.874361
1180	-706.0772	-734.5688	28.49158	6.290377
1190	-710.421	-737.1666	26.7456	8.036356
1200	-707.7817	-735.4515	27.66979	7.112168
1210	-711.2959	-739.0557	27.75981	7.022142
1220	-718.4603	-746.0599	27.59965	7.1823
1230	-713.8757	-741.584	27.70824	7.073712
1240	-703.7927	-732.1268	28.33405	6.4479
1250	-711.8132	-740.5224	28.70916	6.072791
1260	-711.8406	-739.8788	28.03822	6.743734
1270	-711.1372	-740.5883	29.45112	5.330832
1280	-707.6162	-735.8216	28.20542	6.57653
1290	-699.1105	-727.8021	28.69156	6.090397
1300	-707.929	-736.6363	28.70728	6.074669
1310	-703.9816	-731.5983	27.61671	7.165241
1320	-706.5178	-735.2428	28.72504	6.056918
1330	-707.9673	-735.6434	27.67613	7.105819
1340	-705.4045	-734.5495	29.14504	5.636916
1350	-711.3776	-740.8315	29.45386	5.328094
1360	-712.3981	-741.6403	29.24218	5.539776
1370	-710.5006	-736.3767	25.8761	8.905851
1380	-705.6733	-735.2395	29.56617	5.215788
1390	-702.239	-731.2247	28.98571	5.796245
1400	-706.5247	-734.5617	28.03705	6.744901
1410	-710.1105	-736.8768	26.76632	8.015634
1420	-721.3508	-747.4459	26.09512	8.686836
1430	-716.8952	-743.1846	26.2894	8.492556
1440	-718.5753	-744.5944	26.01909	8.762863
1450	-715.4959	-742.5311	27.03525	7.746706
1460	-708.7001	-736.5587	27.85853	6.923426
1470	-705.5368	-733.4482	27.91142	6.870529
1480	-705.5719	-733.8482	28.27627	6.505681
1490	-709.6556	-738.0605	28.40484	6.377111
1500	-708.5816	-736.5196	27.93802	6.843936
1510	-719.3388	-747.9836	28.64478	6.137177
1520	-709.1862	-737.7826	28.59642	6.185534
1530	-713.1667	-741.1302	27.96348	6.818477
1540	-712.6253	-739.7461	27.12076	7.66119
1550	-709.4599	-735.8573	26.39742	8.384528
1560	-706.9443	-734.8768	27.93243	6.849527
1570	-703.0552	-731.4715	28.41628	6.365676
1580	-713.8882	-741.4551	27.56685	7.215106
1590	-708.2371	-736.6171	28.37999	6.401965
1600	-709.9287	-738.4586	28.52994	6.25201
1610	-708.6423	-737.1004	28.45817	6.323784
1620	-710.2758	-738.4514	28.17567	6.60628
1630	-709.8708	-739.0874	29.21652	5.565434
1640	-706.6981	-735.4885	28.79048	5.991472
1650	-712.6413	-741.3412	28.69991	6.082044
1660	-711.1709	-740.5128	29.34185	5.440107
1670	-702.8152	-732.093	29.27787	5.50408
1680	-703.3317	-732.7524	29.42065	5.361305
1690	-705.3416	-734.8105	29.46884	5.313112
1700	-706.333	-735.6962	29.36325	5.4187
1710	-705.5039	-733.4107	27.90673	6.875227
1720	-707.9868	-735.2355	27.24873	7.533222
1730	-701.515	-730.8895	29.37446	5.40749
1740	-709.2441	-737.6361	28.39197	6.389983
