Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	0	-1312.832	-1444.065	131.2335	1.100699	0.908514	0.0201682	0.00558702	0.00714122	0.00821056	0.000398223	0.0018863	0.0242985	0.02854	0.0046371	0.0282146	0.0113129	0.0240766	0.0271793	0.0263285	0.00906333	0.00145904	0.000541925	0.0084875	0.00457477	0.00159523	0.00243727	0.00650151	0.0145943	0.0111753	0.0393312	0.00856444	0.00523356	0.000446679	0.00865844	0.00122448	0.00563953	0.0249274	0.0372467	0.014495	0.0204641	0.000821687	0.00073718	0.00363391	0.0104141	0.0127427	0.00354957	0.0116009	0.0261709	0.055425	0.0100879	0.00538063	0.00650204	0.0276189	0.0334648	0.010203	0.0198149	0.0031184	0.0681179	0.000170401	0.0458253	0.0461389	0.0230078	0.00514006	0.0556884	0.0261955	0.0161246	0.0476782	0.0179397	0.0121249	0.00494445	0.0196231	0.0197712	0.00348904	0.0781835	0.0183137	0.0166136	0.0371877	0.00464679	0.000307368	0.00509727	0.0015337	0.0313009	0.118358	0.447414	0.983017	2.45121	0.015621	0.00432736	0.00553115	0.00635939	0.000308439	0.00146101	0.0188201	0.0221054	0.00359161	0.0218533	0.00876231	0.0186483	0.0210515	0.0203925	0.0070199	0.00113008	0.000419742	0.00657389	0.00354333	0.00123557	0.00188776	0.00503567	0.0113038	0.00865569	0.0304635	0.00663349	0.0040536	0.00034597	0.00670629	0.000948404	0.00436803	0.0193072	0.028849	0.0112269	0.0158502	0.000636428	0.000570975	0.0028146	0.00806613	0.00986974	0.00274928	0.00898534	0.0202704	0.0429288	0.0078135	0.0041675	0.00503608	0.0213919	0.0259198	0.00790264	0.0153474	0.00241532	0.05276	0.000131982	0.0354935	0.0357363	0.0178204	0.00398118	0.0431328	0.0202894	0.0124891	0.0369286	0.013895	0.00939124	0.00382967	0.0151989	0.0153136	0.0027024	0.0605561	0.0141847	0.0128678	0.0288033	0.00359912	0.000238069	0.00394804	0.00118791	0.0242437	1.291091
1	1	-1307.208	-1438.305	131.0967	0.8370156	1.194721	0.0203848	0.00375709	0.0316823	0.00866062	0.00430019	0.00589164	0.0377905	0.0446489	0.0200714	0.0230616	0.00774343	0.0352541	0.0311353	0.0626532	0.0125459	0.00799494	0.00807653	0.0127176	0.0179406	0.0173345	0.0119389	0.00905001	0.0055612	0.0117293	0.0315177	0.0184427	0.0087715	0.0123267	0.00166224	0.00161217	0.00236474	0.0261342	0.0408529	0.0136122	0.00651784	0.00779875	0.00185835	0.006589	0.00235059	0.0299601	0.0253424	0.00480315	0.00746764	0.0140161	0.00906519	0.0552243	0.00553777	0.0108691	0.00440577	0.0359644	0.00532283	0.0221306	0.063373	0.0836073	0.115722	0.0820656	0.00140689	0.0187236	0.0352491	0.0110798	0.0385897	0.016045	0.0213161	0.0072701	0.010739	0.081357	0.0333305	0.00759836	0.00912797	0.00279979	0.00736448	0.0439297	0.00114656	0.0170108	0.0190366	0.0396947	0.0595506	0.174095	0.528363	1.02603	2.27152	0.0120508	0.00222105	0.0187294	0.00511984	0.00254211	0.00348292	0.0223404	0.0263948	0.0118655	0.0136332	0.00457763	0.020841	0.0184061	0.0370383	0.0074167	0.00472632	0.00477455	0.00751817	0.0106058	0.0102475	0.00705782	0.00535004	0.00328758	0.00693393	0.0186321	0.0109026	0.00518539	0.00728711	0.000982657	0.000953057	0.00139795	0.0154496	0.0241507	0.00804702	0.00385311	0.00461034	0.00109859	0.00389517	0.00138958	0.0177113	0.0149815	0.00283945	0.0044146	0.00828578	0.00535901	0.0326466	0.00327373	0.00642539	0.00260453	0.0212609	0.00314666	0.0130828	0.0374638	0.0494256	0.0684107	0.0485142	0.000831702	0.0110687	0.020838	0.00654999	0.0228128	0.00948521	0.0126013	0.00429782	0.00634852	0.0480953	0.0197038	0.00449187	0.00539612	0.00165514	0.00435361	0.0259696	0.000677802	0.0100562	0.0112538	0.023466	0.0352041	1.69158
2	0	-1315.364	-1445.737	130.3732	1.820396	0.5493309	0.0376236	0.00253196	0.00625737	0.00343398	0.00925885	0.0183994	0.00419083	0.0337512	0.00461189	0.0313239	0.02306	0.0249838	0.0177807	0.0276042	0.02023	0.00358957	0.00168737	0.00355817	0.00583864	0.00257669	0.0123363	0.00318219	0.0199429	0.00658142	0.0155333	0.0107235	0.00581031	0.00701594	0.00428007	0.000746127	0.000828418	0.0351479	0.00868854	0.00897594	0.00256367	0.018418	0.00162256	0.0120272	0.00240738	0.00355244	0.00639898	0.0277024	0.029055	0.0947349	0.0122813	0.000234165	0.00506806	0.0311023	0.0672932	0.0113274	0.0219985	0.0057645	0.0756246	0.022872	0.0508753	0.0408817	0.0255433	0.00316168	0.0314454	0.00732892	0.0226657	0.0302358	0.0268155	0.00442784	0.00715575	0.0217856	0.0314477	0.00204297	0.0962262	0.0315305	0.031934	0.0319352	0.00777202	0.000240241	0.0151152	0.00255577	0.0344049	0.0428561	0.282906	0.853091	2.82115	0.0262797	0.00176854	0.00437071	0.0023986	0.00646721	0.0128518	0.00292725	0.0235749	0.00322136	0.0218794	0.0161072	0.0174509	0.0124196	0.0192812	0.0141305	0.00250728	0.00117861	0.00248535	0.00407823	0.00179979	0.00861678	0.00222273	0.0139299	0.00459706	0.0108498	0.00749025	0.00405844	0.00490056	0.00298959	0.000521162	0.000578641	0.0245504	0.00606885	0.0062696	0.0017907	0.0128647	0.00113334	0.00840087	0.00168153	0.00248134	0.00446962	0.0193499	0.0202946	0.0661713	0.00857835	0.000163562	0.00353999	0.0217247	0.0470036	0.00791208	0.0153657	0.00402644	0.052823	0.0159759	0.0355359	0.0285554	0.0178417	0.0022084	0.0219643	0.00511917	0.0158317	0.0211194	0.0187303	0.0030928	0.00499822	0.015217	0.0219659	0.00142699	0.067213	0.0220237	0.0223056	0.0223064	0.00542867	0.000167806	0.0105578	0.00178518	0.0240315	1.431661
3	1	-1299.568	-1431.163	131.5952	0.7834167	1.27646	0.0202925	0.00292527	0.017664	0.00852136	0.00653163	0.00299092	0.0355046	0.014592	0.0157295	0.00712521	0.00771976	0.0268751	0.0244	0.0490999	0.00499496	0.00223661	0.00433343	0.0185334	0.0140596	0.00575024	0.00365788	0.000942267	0.0101194	0.00397114	0.0240013	0.00589133	0.0166004	0.00714423	0.00185416	0.00776801	0.00185319	0.0204808	0.0135654	0.0132747	0.0112525	0.0138864	0.00145635	0.015338	0.00108702	0.0133265	0.0114225	0.00462218	0.0347133	0.0197569	0.00581292	0.0317939	0.00992972	0.0317658	0.00168914	0.00806638	0.00397837	0.00720993	0.0319288	0.0333466	0.080895	0.0643129	0.00452345	0.0353708	0.0235264	0.0219124	0.0302419	0.00704612	0.00440055	0.00398578	0.0105696	0.0624596	0.0148049	0.0123022	0.00511278	0.00837262	0.00604629	0.0495515	0.00233614	0.0110007	0.0358291	0.028868	0.00983741	0.188636	0.546561	1.03407	2.23073	0.016277	0.00234642	0.0141687	0.00683517	0.00523916	0.00239908	0.028479	0.0117046	0.0126169	0.00571529	0.00619219	0.0215571	0.0195718	0.0393841	0.00400656	0.00179404	0.00347594	0.014866	0.0112775	0.00461239	0.00293407	0.000755813	0.00811699	0.00318534	0.019252	0.00472557	0.0133156	0.00573055	0.00148726	0.00623089	0.00148649	0.0164281	0.0108811	0.0106479	0.00902585	0.0111386	0.00116817	0.0123029	0.000871923	0.0106895	0.00916224	0.00370755	0.0278443	0.0158474	0.00466267	0.0255026	0.00796484	0.0254801	0.00135489	0.00647022	0.00319114	0.00578324	0.0256108	0.026748	0.0648876	0.0515868	0.00362836	0.0283717	0.018871	0.0175764	0.0242577	0.00565185	0.00352978	0.00319708	0.00847808	0.0501002	0.0118753	0.00986788	0.00410107	0.00671586	0.00484986	0.0397463	0.00187387	0.0088239	0.0287393	0.0231557	0.0078908	1.246693
4	0	-1314.471	-1445.56	131.0896	1.193929	0.8375707	0.0246314	0.000991629	0.020004	0.0196328	0.00414952	0.0111874	0.0146071	0.044438	0.00171408	0.0334781	0.0130447	0.0185689	0.0425519	0.0193074	0.0129544	0.00303498	0.00198914	0.00991488	0.00498432	0.000147757	0.00759378	0.00275601	0.036319	0.0038678	0.0107517	0.0169486	0.000781185	0.00399178	0.0108683	0.00141329	0.00208424	0.0215385	0.0323392	0.00281486	0.000806477	0.0131298	0.00445647	0.00996974	0.0106973	0.00711772	0.00281755	0.033853	0.0190983	0.0629903	0.00783774	0.00112034	0.00587407	0.0217526	0.0522206	0.0144739	0.00867309	0.00500283	0.0613397	0.0245622	0.0518493	0.0471958	0.00669089	0.00285309	0.0505778	0.00145067	0.0182061	0.0398973	0.0108467	0.00875698	0.00768453	0.0136982	0.01481	0.00119543	0.0637465	0.0231455	0.0366041	0.0518351	0.00804259	0.00494286	0.0169964	0.00056524	0.0369473	0.103525	0.421832	0.966845	2.5078	0.0183579	0.000739066	0.0149091	0.0146324	0.00309266	0.008338	0.0108867	0.0331199	0.00127751	0.0249514	0.00972231	0.0138395	0.0317141	0.0143899	0.009655	0.00226199	0.00148251	0.00738961	0.00371483	0.000110124	0.00565968	0.00205407	0.0270687	0.00288269	0.00801328	0.0126319	0.000582221	0.00297509	0.00810017	0.00105333	0.0015534	0.0160528	0.0241025	0.00209793	0.000601071	0.00978571	0.00332143	0.0074305	0.00797275	0.00530487	0.00209994	0.0252308	0.0142341	0.046947	0.00584151	0.000834993	0.00437797	0.0162123	0.0389203	0.0107874	0.00646409	0.00372863	0.0457168	0.0183063	0.0386436	0.0351753	0.00498675	0.00212642	0.0376959	0.00108119	0.0135691	0.0297356	0.00808411	0.00652662	0.00572731	0.0102093	0.011038	0.000890958	0.0475106	0.0172504	0.0272812	0.038633	0.00599418	0.00368394	0.0126675	0.000421276	0.027537	1.341733
5	1	-1301.136	-1432.181	131.0452	1.431045	0.6987899	0.0314475	0.00295796	0.011949	0.00741227	0.0067512	0.00865696	0.0130737	0.0156532	0.0151834	0.00494507	0.00745173	0.0216443	0.0330086	0.0473952	0.000669187	0.00248514	0.00418298	0.0178899	0.0113884	0.00193886	0.00429605	0.000427814	0.00907894	0.00183892	0.0274057	0.0112827	0.00936606	0.00901309	0.000381959	0.00225271	0.00403532	0.00224532	0.00249641	0.0185324	0.00350072	0.0134043	0.0114164	0.0148055	0.00248058	0.0111301	0.00664191	0.00592448	0.0237426	0.00596583	0.0056111	0.026968	0.0146769	0.030663	0.00467396	0.00599074	0.00414321	0.0119354	0.0213072	0.0321888	0.0788231	0.0798407	0.00974432	0.0234805	0.0124927	0.0128897	0.02757	0.00234491	0.00311622	0.0129938	0.0102026	0.0435127	0.016043	0.0168395	0.00257465	0.00476156	0.00481087	0.0954748	0.00129843	0.0149412	0.0292961	0.0116494	0.00842694	0.0739298	0.362959	0.924419	2.63869	0.0273686	0.0025743	0.0103992	0.00645086	0.00587554	0.0075341	0.011378	0.0136229	0.013214	0.00430367	0.0064852	0.0188369	0.0287272	0.0412478	0.00058239	0.0021628	0.00364042	0.0155695	0.00991131	0.00168738	0.00373883	0.000372324	0.00790135	0.00160041	0.0238511	0.00981924	0.00815123	0.00784404	0.000332417	0.00196052	0.00351191	0.00195409	0.00217261	0.0161286	0.00304666	0.0116657	0.00993563	0.0128851	0.00215883	0.00968649	0.00578042	0.00515604	0.0206631	0.00519203	0.00488331	0.0234701	0.0127732	0.0266858	0.00406772	0.00521371	0.00360582	0.0103873	0.0185435	0.0280138	0.0685993	0.0694849	0.00848043	0.0204349	0.0108723	0.0112178	0.0239941	0.00204076	0.00271203	0.0113084	0.00887927	0.0378688	0.0139622	0.0146553	0.0022407	0.00414396	0.00418687	0.0830912	0.00113001	0.0130033	0.0254963	0.0101384	0.00733392	1.149036
6	0	-1318.647	-1449.128	130.4812	1.099233	0.9097252	0.0333098	0.000741952	0.0405695	0.0226423	0.0115383	0.0172333	0.0278696	0.0525515	0.00993585	0.0350447	0.0200944	0.0286039	0.0417338	0.0546665	0.00709142	0.00254381	0.00519352	0.0152054	0.00265147	0.000182951	0.00335802	0.00272501	0.043024	0.013049	0.0330316	0.0469058	0.0120818	0.0124243	0.001584	0.00217706	0.00155509	0.0272324	0.0257745	0.0159325	0.000733234	0.0512506	0.00686485	0.017444	0.0130009	0.0109643	0.0079019	0.0550051	0.0409079	0.173345	0.00427271	0.0144209	0.00968179	0.0544013	0.0720165	0.00904374	0.00384457	0.0133617	0.120192	0.0187218	0.0538777	0.0341976	0.0189448	0.00557798	0.0426248	0.00721696	0.028045	0.0614587	0.0164109	0.0131933	0.0115127	0.0202556	0.00627275	0.0022785	0.0723888	0.0356538	0.0162168	0.0428881	0.0505354	0.00803733	0.0722061	0.000511085	0.0569145	0.118608	0.447828	0.983268	2.4503	0.0162896	0.000362839	0.0198398	0.0110728	0.00564261	0.00842764	0.0136291	0.0256994	0.00485896	0.017138	0.00982682	0.0139883	0.0204092	0.0267337	0.00346794	0.00124401	0.0025398	0.00743592	0.00129666	8.94691e-05	0.00164218	0.00133262	0.0210402	0.0063814	0.0161535	0.0229385	0.00590841	0.00607589	0.000774626	0.00106465	0.00076049	0.0133175	0.0126046	0.00779149	0.000358575	0.0250632	0.00335714	0.0085307	0.00635786	0.0053619	0.00386429	0.0268993	0.0200053	0.0847715	0.0020895	0.0070523	0.00473471	0.026604	0.0352184	0.00442268	0.00188012	0.00653433	0.0587776	0.00915557	0.026348	0.0167237	0.00926462	0.00272782	0.0208449	0.00352933	0.0137149	0.0300553	0.00802546	0.00645195	0.00563007	0.00990566	0.00306758	0.00111426	0.0354005	0.0174359	0.00793053	0.0209737	0.0247135	0.00393052	0.0353112	0.000249937	0.027833	2.044853
7	1	-1308.471	-1438.96	130.489	2.27457	0.4396436	0.0231947	0.00291115	0.00881324	0.00194322	0.0164862	0.00411925	0.00983948	0.0156904	0.0135355	0.00181487	0.0100617	0.00746973	0.0243461	0.0350724	0.000740837	0.000778856	0.00491088	0.00822397	0.00271269	0.000468879	0.00811923	0.00205027	0.01663	0.00135633	0.012965	0.00515695	0.0144387	0.0036995	0.000265558	0.0021497	0.00853596	0.00728793	0.00338657	0.0121782	0.0029807	0.0132541	0.00512329	0.01092	0.000888821	0.0106597	0.00770186	0.00569633	0.0175399	0.0102819	0.0173524	0.00722249	0.004009	0.00356325	0.00148855	0.00441858	0.00406347	0.0163987	0.0275194	0.0183565	0.0581374	0.0679833	0.0034734	0.0173185	0.0168383	0.00655049	0.0319341	0.00739654	0.0117961	0.00958379	0.00484391	0.0376435	0.013281	0.011323	0.00407911	0.00399271	0.00241119	0.0320793	0.00501657	0.00198823	0.0216079	0.00561368	0.00600384	0.0228242	0.210702	0.770848	2.99563	0.0269177	0.00337843	0.0102279	0.00225513	0.0191325	0.00478045	0.0114188	0.0182089	0.0157081	0.00210618	0.0116767	0.00866871	0.0282539	0.0407019	0.00085975	0.000903872	0.00569914	0.00954402	0.00314811	0.00054414	0.00942247	0.00237936	0.0192993	0.00157404	0.015046	0.0059847	0.0167563	0.00429331	0.000308184	0.00249476	0.00990608	0.00845773	0.00393015	0.0141329	0.00345914	0.0153816	0.00594564	0.0126728	0.00103149	0.0123708	0.00893811	0.00661066	0.0203552	0.0119323	0.0201377	0.00838179	0.00465249	0.0041352	0.00172748	0.00512782	0.00471571	0.0190309	0.0319366	0.0213029	0.0674692	0.0788954	0.00403092	0.0200983	0.019541	0.00760192	0.0370599	0.00858377	0.0136895	0.0111221	0.00562142	0.0436857	0.0154128	0.0131404	0.00473385	0.00463359	0.00279821	0.0372284	0.00582179	0.00230736	0.0250762	0.00651474	0.00696753	0.8616885
8	0	-1307.111	-1438.044	130.9332	1.249865	0.8000862	0.0211457	0.000329751	0.019785	0.0164646	0.00195976	0.0102245	0.0199751	0.0621737	0.00720404	0.0144482	0.00395462	0.0149837	0.0136446	0.0273612	0.00839701	0.00352262	0.00541948	0.0110567	0.00570631	8.41194e-05	0.00178307	0.00292111	0.0265208	0.00359187	0.0145349	0.0341081	0.012751	0.0245747	0.00262201	0.00898549	0.00119015	0.0156436	0.0132468	0.00955221	0.0222418	0.01622	0.00657266	0.012815	0.00582342	0.00996454	0.0104112	0.0247967	0.0297467	0.12605	0.0101865	0.0122962	0.00231642	0.0499729	0.0467391	0.00740834	0.00694874	0.0176845	0.0873986	0.0216328	0.0557116	0.0148242	0.0104293	0.00478544	0.0329338	0.0105991	0.00667106	0.0446904	0.0183458	0.00836969	0.00242482	0.0161302	0.00663318	0.00879898	0.0508355	0.0259261	0.0198429	0.0579441	0.0165416	0.00906192	0.00617824	0.00608312	0.041386	0.0955771	0.407169	0.956979	2.54028	0.0146617	0.000228638	0.0137182	0.011416	0.00135883	0.00708935	0.0138501	0.0431091	0.00499503	0.0100179	0.002742	0.0103892	0.00946073	0.0189713	0.0058222	0.00244247	0.00375768	0.00766637	0.00395656	5.83255e-05	0.00123632	0.0020254	0.0183886	0.00249048	0.010078	0.0236494	0.00884108	0.0170393	0.00181801	0.00623024	0.000825206	0.0108467	0.00918489	0.00662318	0.0154217	0.0112464	0.00455726	0.00888546	0.00403776	0.00690907	0.00721878	0.0171932	0.0206253	0.0873987	0.00706297	0.00852578	0.00160613	0.0346495	0.0324073	0.00513669	0.00481802	0.0122618	0.0605992	0.0149994	0.0386286	0.0102786	0.0072313	0.00331806	0.0228352	0.00734903	0.00462549	0.0309868	0.0127203	0.00580326	0.00168129	0.0111841	0.00459922	0.00610091	0.0352476	0.0179763	0.0137584	0.0401765	0.0114694	0.00628323	0.00428378	0.00421783	0.0286956	1.442239
9	1	-1302.982	-1433.996	131.0148	0.8939412	1.118642	0.0448342	0.00502927	0.00907107	0.0117011	0.00247048	0.00163843	0.0406521	0.0215112	0.0269272	0.000986462	0.0115915	0.033258	0.0323197	0.0677933	0.00749222	0.00205126	0.00637311	0.0110716	0.00880005	0.00421318	0.0113144	0.00779459	0.032145	0.00565855	0.0315312	0.0254571	0.0279094	0.00582347	0.00213066	0.00881352	0.0169191	0.0114163	0.00904474	0.0153413	0.00649032	0.0256196	0.00990309	0.0211079	0.00139419	0.0204291	0.0199495	0.00821612	0.048212	0.0243425	0.0178222	0.0189971	0.0103809	0.0173173	0.00191536	0.0337506	0.00555657	0.0229706	0.0563168	0.0471061	0.145295	0.0713135	0.00949218	0.0622809	0.0149072	0.0372708	0.0598091	0.00448231	0.0128918	0.0131947	0.0316868	0.0727631	0.0305015	0.0162761	0.00849787	0.00651888	0.00208103	0.0620078	0.0305527	0.0103091	0.0163196	0.00775679	0.0114311	0.16	0.509722	1.01718	2.3131	0.0261192	0.00292992	0.00528456	0.00681677	0.00143923	0.000954505	0.0236828	0.0125319	0.0156871	0.000574687	0.00675288	0.0193752	0.0188286	0.0394945	0.00436477	0.00119501	0.00371281	0.00645001	0.00512667	0.00245449	0.00659146	0.00454092	0.0187268	0.00329652	0.0183692	0.0148306	0.0162592	0.0033926	0.00124127	0.00513452	0.00985662	0.00665082	0.00526922	0.00893745	0.00378109	0.0149253	0.00576927	0.0122969	0.000812216	0.0119014	0.0116221	0.00478649	0.028087	0.0141813	0.0103828	0.0110672	0.00604766	0.0100886	0.00111584	0.0196622	0.00323711	0.0133821	0.0328087	0.0274427	0.0846448	0.0415454	0.00552989	0.0362832	0.00868455	0.021713	0.0348432	0.00261127	0.00751044	0.00768689	0.0184599	0.0423898	0.0177694	0.009482	0.00495063	0.00379772	0.00121235	0.0361241	0.0177992	0.0060058	0.00950738	0.0045189	0.00665946	1.716522
