Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	-1312.832	-1444.065	131.2335	1.100699	0.908514	0.0201682	0.00558702	0.00714122	0.00821056	0.000398223	0.0018863	0.0242985	0.02854	0.0046371	0.0282146	0.0113129	0.0240766	0.0271793	0.0263285	0.00906333	0.00145904	0.000541925	0.0084875	0.00457477	0.00159523	0.00243727	0.00650151	0.0145943	0.0111753	0.0393312	0.00856444	0.00523356	0.000446679	0.00865844	0.00122448	0.00563953	0.0249274	0.0372467	0.014495	0.0204641	0.000821687	0.00073718	0.00363391	0.0104141	0.0127427	0.00354957	0.0116009	0.0261709	0.055425	0.0100879	0.00538063	0.00650204	0.0276189	0.0334648	0.010203	0.0198149	0.0031184	0.0681179	0.000170401	0.0458253	0.0461389	0.0230078	0.00514006	0.0556884	0.0261955	0.0161246	0.0476782	0.0179397	0.0121249	0.00494445	0.0196231	0.0197712	0.00348904	0.0781835	0.0183137	0.0166136	0.0371877	0.00464679	0.000307368	0.00509727	0.0015337	0.0313009	0.118358	0.447414	0.983017	2.45121	0.015621	0.00432736	0.00553115	0.00635939	0.000308439	0.00146101	0.0188201	0.0221054	0.00359161	0.0218533	0.00876231	0.0186483	0.0210515	0.0203925	0.0070199	0.00113008	0.000419742	0.00657389	0.00354333	0.00123557	0.00188776	0.00503567	0.0113038	0.00865569	0.0304635	0.00663349	0.0040536	0.00034597	0.00670629	0.000948404	0.00436803	0.0193072	0.028849	0.0112269	0.0158502	0.000636428	0.000570975	0.0028146	0.00806613	0.00986974	0.00274928	0.00898534	0.0202704	0.0429288	0.0078135	0.0041675	0.00503608	0.0213919	0.0259198	0.00790264	0.0153474	0.00241532	0.05276	0.000131982	0.0354935	0.0357363	0.0178204	0.00398118	0.0431328	0.0202894	0.0124891	0.0369286	0.013895	0.00939124	0.00382967	0.0151989	0.0153136	0.0027024	0.0605561	0.0141847	0.0128678	0.0288033	0.00359912	0.000238069	0.00394804	0.00118791	0.0242437	1.291091
10	-1315.364	-1445.737	130.3732	1.820396	0.5493309	0.0376236	0.00253196	0.00625737	0.00343398	0.00925885	0.0183994	0.00419083	0.0337512	0.00461189	0.0313239	0.02306	0.0249838	0.0177807	0.0276042	0.02023	0.00358957	0.00168737	0.00355817	0.00583864	0.00257669	0.0123363	0.00318219	0.0199429	0.00658142	0.0155333	0.0107235	0.00581031	0.00701594	0.00428007	0.000746127	0.000828418	0.0351479	0.00868854	0.00897594	0.00256367	0.018418	0.00162256	0.0120272	0.00240738	0.00355244	0.00639898	0.0277024	0.029055	0.0947349	0.0122813	0.000234165	0.00506806	0.0311023	0.0672932	0.0113274	0.0219985	0.0057645	0.0756246	0.022872	0.0508753	0.0408817	0.0255433	0.00316168	0.0314454	0.00732892	0.0226657	0.0302358	0.0268155	0.00442784	0.00715575	0.0217856	0.0314477	0.00204297	0.0962262	0.0315305	0.031934	0.0319352	0.00777202	0.000240241	0.0151152	0.00255577	0.0344049	0.0428561	0.282906	0.853091	2.82115	0.0262797	0.00176854	0.00437071	0.0023986	0.00646721	0.0128518	0.00292725	0.0235749	0.00322136	0.0218794	0.0161072	0.0174509	0.0124196	0.0192812	0.0141305	0.00250728	0.00117861	0.00248535	0.00407823	0.00179979	0.00861678	0.00222273	0.0139299	0.00459706	0.0108498	0.00749025	0.00405844	0.00490056	0.00298959	0.000521162	0.000578641	0.0245504	0.00606885	0.0062696	0.0017907	0.0128647	0.00113334	0.00840087	0.00168153	0.00248134	0.00446962	0.0193499	0.0202946	0.0661713	0.00857835	0.000163562	0.00353999	0.0217247	0.0470036	0.00791208	0.0153657	0.00402644	0.052823	0.0159759	0.0355359	0.0285554	0.0178417	0.0022084	0.0219643	0.00511917	0.0158317	0.0211194	0.0187303	0.0030928	0.00499822	0.015217	0.0219659	0.00142699	0.067213	0.0220237	0.0223056	0.0223064	0.00542867	0.000167806	0.0105578	0.00178518	0.0240315	1.431661
20	-1314.471	-1445.56	131.0896	1.193929	0.8375707	0.0246314	0.000991629	0.020004	0.0196328	0.00414952	0.0111874	0.0146071	0.044438	0.00171408	0.0334781	0.0130447	0.0185689	0.0425519	0.0193074	0.0129544	0.00303498	0.00198914	0.00991488	0.00498432	0.000147757	0.00759378	0.00275601	0.036319	0.0038678	0.0107517	0.0169486	0.000781185	0.00399178	0.0108683	0.00141329	0.00208424	0.0215385	0.0323392	0.00281486	0.000806477	0.0131298	0.00445647	0.00996974	0.0106973	0.00711772	0.00281755	0.033853	0.0190983	0.0629903	0.00783774	0.00112034	0.00587407	0.0217526	0.0522206	0.0144739	0.00867309	0.00500283	0.0613397	0.0245622	0.0518493	0.0471958	0.00669089	0.00285309	0.0505778	0.00145067	0.0182061	0.0398973	0.0108467	0.00875698	0.00768453	0.0136982	0.01481	0.00119543	0.0637465	0.0231455	0.0366041	0.0518351	0.00804259	0.00494286	0.0169964	0.00056524	0.0369473	0.103525	0.421832	0.966845	2.5078	0.0183579	0.000739066	0.0149091	0.0146324	0.00309266	0.008338	0.0108867	0.0331199	0.00127751	0.0249514	0.00972231	0.0138395	0.0317141	0.0143899	0.009655	0.00226199	0.00148251	0.00738961	0.00371483	0.000110124	0.00565968	0.00205407	0.0270687	0.00288269	0.00801328	0.0126319	0.000582221	0.00297509	0.00810017	0.00105333	0.0015534	0.0160528	0.0241025	0.00209793	0.000601071	0.00978571	0.00332143	0.0074305	0.00797275	0.00530487	0.00209994	0.0252308	0.0142341	0.046947	0.00584151	0.000834993	0.00437797	0.0162123	0.0389203	0.0107874	0.00646409	0.00372863	0.0457168	0.0183063	0.0386436	0.0351753	0.00498675	0.00212642	0.0376959	0.00108119	0.0135691	0.0297356	0.00808411	0.00652662	0.00572731	0.0102093	0.011038	0.000890958	0.0475106	0.0172504	0.0272812	0.038633	0.00599418	0.00368394	0.0126675	0.000421276	0.027537	1.341733
30	-1318.647	-1449.128	130.4812	1.099233	0.9097252	0.0333098	0.000741952	0.0405695	0.0226423	0.0115383	0.0172333	0.0278696	0.0525515	0.00993585	0.0350447	0.0200944	0.0286039	0.0417338	0.0546665	0.00709142	0.00254381	0.00519352	0.0152054	0.00265147	0.000182951	0.00335802	0.00272501	0.043024	0.013049	0.0330316	0.0469058	0.0120818	0.0124243	0.001584	0.00217706	0.00155509	0.0272324	0.0257745	0.0159325	0.000733234	0.0512506	0.00686485	0.017444	0.0130009	0.0109643	0.0079019	0.0550051	0.0409079	0.173345	0.00427271	0.0144209	0.00968179	0.0544013	0.0720165	0.00904374	0.00384457	0.0133617	0.120192	0.0187218	0.0538777	0.0341976	0.0189448	0.00557798	0.0426248	0.00721696	0.028045	0.0614587	0.0164109	0.0131933	0.0115127	0.0202556	0.00627275	0.0022785	0.0723888	0.0356538	0.0162168	0.0428881	0.0505354	0.00803733	0.0722061	0.000511085	0.0569145	0.118608	0.447828	0.983268	2.4503	0.0162896	0.000362839	0.0198398	0.0110728	0.00564261	0.00842764	0.0136291	0.0256994	0.00485896	0.017138	0.00982682	0.0139883	0.0204092	0.0267337	0.00346794	0.00124401	0.0025398	0.00743592	0.00129666	8.94691e-05	0.00164218	0.00133262	0.0210402	0.0063814	0.0161535	0.0229385	0.00590841	0.00607589	0.000774626	0.00106465	0.00076049	0.0133175	0.0126046	0.00779149	0.000358575	0.0250632	0.00335714	0.0085307	0.00635786	0.0053619	0.00386429	0.0268993	0.0200053	0.0847715	0.0020895	0.0070523	0.00473471	0.026604	0.0352184	0.00442268	0.00188012	0.00653433	0.0587776	0.00915557	0.026348	0.0167237	0.00926462	0.00272782	0.0208449	0.00352933	0.0137149	0.0300553	0.00802546	0.00645195	0.00563007	0.00990566	0.00306758	0.00111426	0.0354005	0.0174359	0.00793053	0.0209737	0.0247135	0.00393052	0.0353112	0.000249937	0.027833	2.044853
40	-1307.111	-1438.044	130.9332	1.249865	0.8000862	0.0211457	0.000329751	0.019785	0.0164646	0.00195976	0.0102245	0.0199751	0.0621737	0.00720404	0.0144482	0.00395462	0.0149837	0.0136446	0.0273612	0.00839701	0.00352262	0.00541948	0.0110567	0.00570631	8.41194e-05	0.00178307	0.00292111	0.0265208	0.00359187	0.0145349	0.0341081	0.012751	0.0245747	0.00262201	0.00898549	0.00119015	0.0156436	0.0132468	0.00955221	0.0222418	0.01622	0.00657266	0.012815	0.00582342	0.00996454	0.0104112	0.0247967	0.0297467	0.12605	0.0101865	0.0122962	0.00231642	0.0499729	0.0467391	0.00740834	0.00694874	0.0176845	0.0873986	0.0216328	0.0557116	0.0148242	0.0104293	0.00478544	0.0329338	0.0105991	0.00667106	0.0446904	0.0183458	0.00836969	0.00242482	0.0161302	0.00663318	0.00879898	0.0508355	0.0259261	0.0198429	0.0579441	0.0165416	0.00906192	0.00617824	0.00608312	0.041386	0.0955771	0.407169	0.956979	2.54028	0.0146617	0.000228638	0.0137182	0.011416	0.00135883	0.00708935	0.0138501	0.0431091	0.00499503	0.0100179	0.002742	0.0103892	0.00946073	0.0189713	0.0058222	0.00244247	0.00375768	0.00766637	0.00395656	5.83255e-05	0.00123632	0.0020254	0.0183886	0.00249048	0.010078	0.0236494	0.00884108	0.0170393	0.00181801	0.00623024	0.000825206	0.0108467	0.00918489	0.00662318	0.0154217	0.0112464	0.00455726	0.00888546	0.00403776	0.00690907	0.00721878	0.0171932	0.0206253	0.0873987	0.00706297	0.00852578	0.00160613	0.0346495	0.0324073	0.00513669	0.00481802	0.0122618	0.0605992	0.0149994	0.0386286	0.0102786	0.0072313	0.00331806	0.0228352	0.00734903	0.00462549	0.0309868	0.0127203	0.00580326	0.00168129	0.0111841	0.00459922	0.00610091	0.0352476	0.0179763	0.0137584	0.0401765	0.0114694	0.00628323	0.00428378	0.00421783	0.0286956	1.442239
50	-1304.078	-1434.895	130.8176	1.40273	0.7128954	0.0172897	0.000694739	0.0102758	0.00915756	0.0184405	0.00382739	0.0135751	0.0598395	0.00772456	0.0220032	0.00207476	0.0227852	0.0190568	0.0260391	0.00808175	0.00108374	0.00302187	0.00300148	0.00239046	0.00019228	0.00214682	0.0059253	0.0236219	0.0056851	0.00686596	0.0385115	0.00870165	0.0236521	0.00823279	0.00662077	0.00180422	0.00727727	0.0193212	0.00825184	0.0337509	0.00967313	0.013586	0.0123338	0.00409096	0.00362493	0.0183438	0.0238658	0.00236816	0.121318	0.0225486	0.0118346	0.00342084	0.0480968	0.0454339	0.0150553	0.000832538	0.0170205	0.141262	0.00987236	0.0320709	0.01959	0.0100377	0.00262663	0.0275775	0.00558478	0.0032609	0.0469706	0.0243727	0.00195348	0.00664699	0.0155246	0.00275974	0.0178904	0.0609094	0.0249527	0.01165	0.0571537	0.0112182	0.0146527	0.00740542	0.00677633	0.0178913	0.0769446	0.369552	0.929555	2.62395	0.012306	0.000494482	0.00731383	0.00651791	0.0131251	0.00272415	0.0096621	0.0425909	0.00549797	0.0156608	0.00147671	0.0162174	0.0135637	0.0185334	0.00575221	0.000771356	0.00215082	0.00213631	0.00170142	0.000136856	0.001528	0.00421734	0.0168129	0.00404639	0.00488686	0.0274107	0.00619342	0.0168344	0.00585971	0.00471235	0.00128415	0.00517961	0.0137519	0.00587327	0.0240223	0.00688487	0.00966983	0.00877864	0.00291175	0.00258005	0.0130562	0.0169865	0.00168554	0.086348	0.016049	0.00842328	0.00243479	0.034233	0.0323377	0.0107157	0.000592561	0.0121144	0.100544	0.00702668	0.0228266	0.0139432	0.00714437	0.00186951	0.0196284	0.00397498	0.00232095	0.0334315	0.0173473	0.00139039	0.00473101	0.0110496	0.00196425	0.0127335	0.0433524	0.0177602	0.00829191	0.0406793	0.00798461	0.0104291	0.00527082	0.00482307	0.0127342	1.404983
60	-1305.778	-1436.207	130.4292	1.543008	0.6480849	0.0076063	0.00228973	0.0198237	0.0166393	0.0186298	0.00231132	0.060007	0.0227393	0.03931	0.00655392	0.00125944	0.0217909	0.00331436	0.0483514	0.00736613	0.00255011	0.00259196	0.00270294	0.0052221	0.00103939	0.0115899	0.0181703	0.00765952	0.00589753	0.014581	0.0175109	0.0100261	0.02421	0.0094859	0.0018816	0.00342091	0.00614713	0.0168725	0.00887599	0.0388881	0.00293106	0.00891549	0.00692414	0.00668011	0.0141139	0.0122315	0.0330665	0.00803277	0.139783	0.00973808	0.00435224	0.00452002	0.0626826	0.110865	0.00542402	0.00261579	0.0314352	0.162763	0.0040279	0.0549853	0.0232101	0.00388775	0.000986256	0.0387943	0.0130996	0.0176893	0.0439125	0.0339575	0.00389492	0.0151894	0.0194484	0.00345879	0.0172266	0.0701804	0.0152252	0.0173045	0.0452805	0.0265607	0.00439682	0.0369834	0.00621355	0.0227454	0.0631533	0.33797	0.903999	2.69488	0.00460137	0.00138515	0.0119922	0.0100658	0.0112699	0.00139822	0.0363007	0.013756	0.0237803	0.00396474	0.000761886	0.0131822	0.002005	0.0292498	0.00445608	0.00154267	0.00156798	0.00163512	0.00315907	0.000628773	0.0070112	0.010992	0.00463357	0.00356766	0.00882064	0.0105931	0.00606523	0.0146456	0.00573842	0.00113826	0.00206945	0.00371866	0.0102069	0.00536946	0.0235251	0.00177312	0.00539336	0.00418871	0.00404108	0.00853812	0.00739938	0.0200033	0.00485936	0.0845607	0.00589098	0.00263285	0.00273435	0.0379193	0.0670668	0.00328122	0.0015824	0.0190165	0.0984625	0.00243665	0.0332629	0.0140408	0.00235187	0.000596628	0.0234683	0.00792449	0.010701	0.0265645	0.0205424	0.0023562	0.00918872	0.0117652	0.00209237	0.0104211	0.0424551	0.00921036	0.0104682	0.0273921	0.0160677	0.00265982	0.0223728	0.00375884	0.0137597	1.65305
70	-1304.687	-1434.673	129.9866	1.505051	0.6644295	0.0431525	0.00466325	0.028189	0.0135215	0.00807191	0.000681755	0.0640257	0.0299225	0.0419426	0.0189819	0.00126076	0.0523574	0.0297405	0.109187	0.00493157	0.00326538	0.00392783	0.00538348	0.00274391	0.001109	0.00751789	0.00807496	0.00424877	0.00147932	0.0216035	0.0170614	0.00160437	0.0235647	0.0108036	0.00200761	0.00803217	0.0040714	0.0330419	0.00678381	0.0322713	0.00608314	0.00435571	0.018073	0.0205227	0.0296412	0.0636416	0.0571102	0.00219507	0.149144	0.0103902	0.00995662	0.0115148	0.055745	0.0996251	0.00515959	0.016382	0.0335404	0.156576	0.0292727	0.0478173	0.0247645	0.0041711	0.00400457	0.0413924	0.0139769	0.00331647	0.0167565	0.0381539	0.0253259	0.025502	0.0447677	0.00420869	0.0221833	0.122345	0.0326759	0.0803905	0.033392	0.048902	0.00590129	0.0394601	0.020462	0.0055834	0.0666127	0.346252	0.910939	2.6762	0.0202251	0.00218561	0.0132119	0.00633737	0.00378322	0.000319531	0.0300081	0.0140244	0.0196581	0.00889662	0.000590905	0.0245394	0.013939	0.0511749	0.00231138	0.00153045	0.00184093	0.00252318	0.00128604	0.000519778	0.00352356	0.00378465	0.00199136	0.000693344	0.0101253	0.00799649	0.00075195	0.0110445	0.00506353	0.000940946	0.00376459	0.00190822	0.0154864	0.0031795	0.0151252	0.0028511	0.00204147	0.0084706	0.00961879	0.0138925	0.0298282	0.0267669	0.00102881	0.0699024	0.0048698	0.00466656	0.00539686	0.0261271	0.0466932	0.00241825	0.00767807	0.01572	0.0733853	0.0137198	0.0224115	0.0116069	0.00195495	0.0018769	0.0194002	0.00655081	0.00155439	0.00785358	0.0178823	0.01187	0.0119525	0.0209822	0.00197257	0.0103971	0.057342	0.0153149	0.0376782	0.0156505	0.0229198	0.00276587	0.0184946	0.00959033	0.00261688	2.133609
80	-1305.457	-1436.428	130.9709	1.079698	0.9261845	0.0335417	0.00158821	0.022262	0.013429	0.00769217	8.89471e-05	0.0497661	0.0374683	0.000850329	0.0207795	0.00436994	0.0326937	0.0344375	0.0569431	0.0077147	0.00128561	0.0029972	0.00875653	0.0015206	0.00434595	0.00584354	0.00299998	0.003255	0.00464249	0.0316605	0.0178437	0.00338016	0.020292	0.00839746	0.00170898	0.00414683	0.007768	0.0138569	0.0169472	0.0226059	0.000865329	0.00338562	0.0117749	0.015952	0.0233077	0.0494676	0.0330673	0.00503711	0.115928	0.00836052	0.00343171	0.0100403	0.0553292	0.0360517	0.00306591	0.00341435	0.00875835	0.0944251	0.0253049	0.0531964	0.0192474	0.00516131	0.0091036	0.0253476	0.00348967	0.00254533	0.0313926	0.0281296	0.0123665	0.0322618	0.0210696	0.0125053	0.0054056	0.095097	0.0232919	0.0255328	0.0424674	0.0380107	0.0133803	0.0325965	0.0159048	0.0122899	0.122	0.453382	0.986605	2.43801	0.0213012	0.00100861	0.0141378	0.00852828	0.00488503	5.64872e-05	0.0316047	0.0237948	0.000540015	0.0131963	0.0027752	0.0207626	0.0218701	0.0361626	0.00489934	0.000816448	0.00190342	0.00556097	0.000965683	0.00275996	0.00371103	0.00190519	0.00206714	0.00294829	0.0201065	0.0113319	0.00214662	0.0128867	0.00533294	0.00108532	0.00263351	0.00493319	0.00880005	0.0107626	0.0143562	0.000549541	0.00215009	0.00747781	0.0101306	0.0148019	0.0314152	0.0209999	0.0031989	0.0736216	0.00530948	0.00217936	0.00637626	0.0351377	0.0228952	0.00194705	0.00216833	0.00556213	0.0599662	0.0160703	0.0337832	0.0122234	0.00327777	0.00578139	0.0160974	0.00221617	0.00161645	0.0199364	0.0178641	0.00785356	0.0204884	0.0133806	0.00794169	0.00343291	0.0603929	0.0147919	0.016215	0.0269696	0.0241393	0.00849734	0.0207009	0.0101006	0.00780491	1.57464
90	-1320.4	-1451.195	130.7948	1.184293	0.8443853	0.01843	0.00308857	0.0200005	0.0109516	0.0126887	4.10247e-05	0.0159539	0.0527118	0.00285834	0.00123279	0.00392601	0.0316764	0.0377716	0.0331494	0.01993	0.00623728	0.00779464	0.00331286	0.000940693	0.00351702	0.0263226	0.0107129	0.0234186	0.0106814	0.0284442	0.0145337	0.00432506	0.016333	0.00754439	0.00117445	0.00501882	0.0073756	0.0155135	0.0161001	0.0203094	0.00925911	0.00134532	0.0101782	0.0143315	0.0357014	0.0463991	0.0480614	0.0111817	0.0715878	0.0473837	0.0005517	0.0298176	0.0497085	0.0899557	0.00339428	0.00278358	0.0121219	0.081159	0.0202003	0.0477923	0.00942264	0.0207973	0.0013653	0.0696123	0.00431553	0.00156337	0.0282036	0.0356392	0.0047026	0.024392	0.014124	0.0142369	0.0158109	0.0444282	0.0209257	0.0426862	0.0693956	0.0339682	0.0147672	0.0204741	0.0237542	0.00468222	0.104962	0.424408	0.968533	2.5021	0.0111955	0.00187618	0.0121495	0.00665266	0.00770785	2.49208e-05	0.00969135	0.0320202	0.00173632	0.000748871	0.00238489	0.0192421	0.0229447	0.0201369	0.0121067	0.00378889	0.00473492	0.00201243	0.000571432	0.00213644	0.0159899	0.00650763	0.0142258	0.00648854	0.0172787	0.00882862	0.0026273	0.00992163	0.0045829	0.000713427	0.00304873	0.00448037	0.0094238	0.00978013	0.0123371	0.00562453	0.000817226	0.00618283	0.00870578	0.0216871	0.0281855	0.0291953	0.00679245	0.0434866	0.0287837	0.000335135	0.018113	0.0301959	0.0546444	0.00206189	0.00169091	0.00736356	0.0493007	0.0122709	0.0290319	0.00572387	0.0126335	0.000829361	0.0422866	0.0026215	0.000949683	0.0171325	0.0216494	0.00285663	0.0148171	0.00857974	0.00864832	0.00960449	0.0269883	0.0127115	0.0259301	0.042155	0.0206343	0.00897048	0.0124372	0.0144297	0.00284426	1.646202
