Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	0	-901.1847	-1031.64	130.4557	1.528558	0.6542112	0.0220981	0.00127201	0.0183489	0.0249495	0.00607365	0.00800317	0.0217265	0.0215722	0.0328575	0.0134184	0.0037866	0.0197337	0.0436932	0.0662157	0.0128951	0.000356866	0.0164305	0.00986718	0.00484391	0.000997354	0.0105112	0.0174437	0.00483802	0.000987787	0.0106045	0.00975935	0.00811202	0.00182851	0.00893825	0.00763258	0.0174722	0.000315494	0.0263135	0.0393114	0.00560746	0.00428339	0.00662275	0.00327642	0.000242276	0.0114464	0.000871541	0.0496713	0.0779326	0.10368	0.123145	0.000140363	0.0567409	0.0549615	0.00972303	0.00873569	0.0185793	0.0470285	0.00791469	0.0167689	0.0159778	0.0422495	0.0480436	0.00535538	0.00527688	0.00981547	0.000479418	0.0263287	0.127692	0.00965701	0.0355076	0.00163767	0.0100439	0.0332336	0.00730418	0.038656	0.0185692	0.00340552	0.0047458	0.0227507	0.0128717	0.0210749	0.0198093	0.0644479	0.3411	0.906642	2.68781	0.0134657	0.000775111	0.0111811	0.0152032	0.00370104	0.00487681	0.0132393	0.0131452	0.020022	0.00817664	0.0023074	0.0120249	0.0266249	0.0403492	0.00785776	0.00021746	0.0100121	0.00601266	0.00295169	0.000607748	0.00640508	0.0106295	0.00294809	0.000601918	0.00646194	0.00594696	0.00494314	0.00111422	0.00544661	0.00465099	0.0106469	0.000192249	0.0160344	0.0239548	0.00341696	0.00261013	0.00403563	0.00199652	0.000147634	0.00697499	0.000531082	0.0302677	0.047489	0.0631787	0.0750395	8.55319e-05	0.0345757	0.0334913	0.00592482	0.00532318	0.0113215	0.0286573	0.00482289	0.0102183	0.00973622	0.0257451	0.0292759	0.00326335	0.00321552	0.00598115	0.000292138	0.0160437	0.0778103	0.00588459	0.0216369	0.000997927	0.00612036	0.0202512	0.00445087	0.0235554	0.0113153	0.00207519	0.0028919	0.0138634	0.00784348	0.0128422	0.012071	1.641067
1	1	-930.9189	-1061.606	130.6872	1.480431	0.6754789	0.0218763	0.0120237	0.00419823	0.0125016	0.00116666	0.0202266	0.0074144	0.0304374	0.0123703	0.00089928	0.0289483	0.0512217	0.00581431	0.0187193	0.00950289	0.00117211	0.00347721	0.0145509	0.00799543	0.00955852	0.0206447	0.000542434	0.0401881	0.00266912	0.0133527	0.0259017	0.00180197	0.00357006	0.00874365	0.00649099	0.0125037	0.018209	0.0128625	0.019408	0.00566276	0.00269534	0.010704	0.00756367	0.00319203	0.004713	0.00395297	0.0192722	0.035548	0.0322275	0.00541127	0.00135271	0.000522583	0.00742901	0.038093	0.00673119	0.0240926	0.00687026	0.0100425	0.00744131	0.0129238	0.0516629	0.0840593	0.0150528	0.00128598	0.00507185	0.0618408	0.0138747	0.0102833	0.113054	0.041968	0.000998427	0.0849484	0.035807	0.0153326	0.0068347	0.0220739	0.00489678	0.0809946	0.0207702	0.00989675	0.0486621	0.0208346	0.0689602	0.351727	0.915431	2.66388	0.0150083	0.00824893	0.00288021	0.00857678	0.000800393	0.0138766	0.00508669	0.0208817	0.00848668	0.000616955	0.0198601	0.0351409	0.00398894	0.0128425	0.0065195	0.000804135	0.00238556	0.0099827	0.00548531	0.00655767	0.0141634	0.00037214	0.0275712	0.00183117	0.00916072	0.01777	0.00123625	0.00244926	0.00599862	0.00445317	0.00857825	0.0124924	0.0088244	0.013315	0.00388497	0.00184915	0.00734351	0.00518909	0.00218991	0.00323338	0.00271195	0.0132218	0.0243879	0.0221098	0.00371243	0.000928035	0.000358521	0.00509671	0.0261339	0.00461797	0.0165288	0.00471338	0.00688973	0.00510515	0.00886646	0.0354436	0.0576693	0.0103271	0.000882255	0.00347957	0.0424262	0.00951882	0.00705489	0.0775611	0.0287924	0.000684976	0.0582793	0.0245656	0.010519	0.00468898	0.0151439	0.00335946	0.0555668	0.0142495	0.00678972	0.0333849	0.0142937	1.457609
2	0	-905.1108	-1036.027	130.9159	1.059687	0.9436753	0.0178962	0.00227815	0.00676087	0.0237166	0.0101363	0.0148624	0.0247372	0.00874492	0.0392411	0.0323195	0.00800976	0.0172906	0.0425571	0.064494	0.00165752	0.0010817	0.00779532	0.00818017	0.00471797	0.00573682	0.0163175	0.00416139	0.0262271	0.00248031	0.0359865	0.0146889	0.0117736	0.0170284	0.0180204	0.00442198	0.016861	0.000721931	0.0190526	0.0248706	0.0102016	0.00543008	0.00711251	0.015782	0.000749007	0.016589	0.00347323	0.0576115	0.0759062	0.0696399	0.119943	0.000286256	0.0565256	0.0326124	0.00599843	0.00722	0.00163795	0.0346094	0.00643975	0.00718962	0.00896179	0.017153	0.0542319	0.0114862	0.0187216	0.00956025	0.00149038	0.033742	0.0958433	0.0331836	0.0345843	0.00298122	0.0232636	0.0210268	0.00971034	0.0450776	0.0180861	0.00237663	0.000415581	0.0178031	0.0272792	0.0536662	0.0192942	0.125583	0.459142	0.990002	2.42527	0.010848	0.00138093	0.00409819	0.0143761	0.00614422	0.00900902	0.0149947	0.00530084	0.0237865	0.0195909	0.00485521	0.0104809	0.0257965	0.0390938	0.00100472	0.000655686	0.00472523	0.00495851	0.00285985	0.00347745	0.00989105	0.00252248	0.0158979	0.00150347	0.0218137	0.00890385	0.00713673	0.010322	0.0109233	0.00268044	0.0102205	0.000437607	0.011549	0.0150756	0.00618383	0.00329151	0.00431134	0.00956644	0.00045402	0.0100556	0.00210534	0.034922	0.0460115	0.0422131	0.0727049	0.000173518	0.0342637	0.0197684	0.00363602	0.00437649	0.000992863	0.020979	0.00390353	0.00435808	0.0054323	0.0103975	0.0328733	0.00696251	0.0113483	0.00579507	0.000903412	0.0204532	0.0580966	0.0201146	0.0209637	0.0018071	0.0141015	0.0127457	0.00588604	0.0273243	0.0109631	0.00144062	0.00025191	0.0107916	0.0165356	0.0325304	0.0116954	1.649722
3	1	-932.3489	-1062.621	130.2721	1.958879	0.5104961	0.0108938	0.00674025	0.0135841	0.0285422	0.000740861	0.0230295	0.016125	0.0285191	0.00634955	0.000936891	0.0113527	0.0479936	0.0110883	0.0250288	0.00575365	0.00109824	0.00325807	0.00774164	0.00871001	0.00547168	0.00435447	0.0013504	0.0376553	0.00613412	0.0269902	0.0134423	0.00480003	0.0107445	0.00959052	0.00645463	0.00677912	0.011584	0.0103677	0.017838	0.00827777	0.000214577	0.0290184	0.00438208	0.00401969	0.00564035	0.0139592	0.0255503	0.0333076	0.0417843	0.0101335	0.000932128	0.00123631	0.0165246	0.0240874	0.0134933	0.0446771	0.0121819	0.00140998	0.0143286	0.00790982	0.0319504	0.058811	0.00618695	0.00126948	0.00807835	0.0579433	0.0191588	0.0348893	0.10383	0.039323	0.000982778	0.0971464	0.00452187	0.0121758	0.00508578	0.0188654	0.00243815	0.0629073	0.0240184	0.0121177	0.0455952	0.00292607	0.0353493	0.258713	0.827758	2.87818	0.00781288	0.00483403	0.00974233	0.0204702	0.000531337	0.0165165	0.0115647	0.0204536	0.00455382	0.000671927	0.008142	0.0344204	0.00795239	0.0179504	0.00412645	0.000787647	0.00233665	0.00555221	0.00624672	0.00392423	0.00312297	0.000968494	0.0270059	0.00439932	0.019357	0.00964067	0.00344252	0.00770587	0.00687821	0.00462919	0.00486191	0.00830794	0.00743559	0.0127932	0.00593672	0.000153892	0.0208116	0.00314278	0.00288287	0.00404519	0.0100114	0.0183244	0.0238878	0.0299672	0.0072676	0.000668512	0.000886669	0.0118512	0.0172752	0.00967724	0.0320419	0.0087367	0.00101122	0.0102763	0.00567283	0.0229145	0.0421786	0.00443721	0.000910458	0.0057937	0.0415563	0.0137405	0.0250222	0.0744657	0.028202	0.000704837	0.0696723	0.00324303	0.00873232	0.00364746	0.0135301	0.00174861	0.0451164	0.0172257	0.00869064	0.0327003	0.00209854	1.394334
4	0	-901.8508	-1032.696	130.8456	1.176504	0.8499762	0.0276923	0.00198301	0.00663729	0.00389288	0.0083847	0.00766066	0.0178971	0.0623346	0.0385238	0.0104658	0.0110798	0.0169746	0.0314964	0.0639147	0.000683409	0.00135067	0.00847047	0.00367028	0.00501886	0.00747085	0.0160192	0.00561155	0.0114404	0.0005458	0.0272426	0.0279787	0.0031026	0.0167171	0.0214907	0.00459939	0.0140932	0.0216011	0.0281664	0.0139834	0.00293497	0.00639362	0.00765587	0.00797308	0.00453891	0.00729073	0.00925952	0.0180203	0.0511973	0.0594065	0.153515	0.00796178	0.0612904	0.0332267	0.0130249	0.00206491	0.010854	0.0339768	0.00818031	0.0040831	0.00628466	0.0130417	0.0532406	0.0101423	0.0195264	0.0312072	0.00511144	0.0157116	0.0946428	0.0297436	0.0345098	0.00347884	0.0206694	0.0382603	0.00923129	0.0457253	0.00610395	0.00201533	0.000612944	0.0110218	0.0267805	0.0526852	0.0224271	0.10614	0.426503	0.969896	2.49746	0.0172729	0.00123689	0.00413998	0.00242817	0.00522992	0.0047783	0.0111632	0.038881	0.0240291	0.00652799	0.00691101	0.0105878	0.0196458	0.0398665	0.000426273	0.000842473	0.00528342	0.00228932	0.00313049	0.00465991	0.00999193	0.00350018	0.00713589	0.00034044	0.0169925	0.0174516	0.00193523	0.0104272	0.0134047	0.00286885	0.00879055	0.0134736	0.0175687	0.00872206	0.00183067	0.003988	0.00477532	0.00497317	0.00283113	0.00454756	0.00577559	0.0112401	0.0319341	0.0370546	0.0957543	0.00496613	0.0382296	0.020725	0.0081242	0.00128798	0.00677013	0.0211929	0.00510244	0.00254682	0.00392003	0.00813474	0.0332086	0.00632624	0.0121795	0.0194653	0.00318824	0.00980007	0.059033	0.0185524	0.0215254	0.00216991	0.0128925	0.0238647	0.00575798	0.028521	0.00380731	0.00125705	0.000382321	0.00687478	0.0167043	0.0328622	0.0139888	1.603217
5	1	-920.5656	-1051.352	130.7861	0.9141196	1.093949	0.01213	0.00882126	0.00518363	0.0115066	0.00283003	0.0301397	0.0240562	0.0373242	0.0211784	0.0010302	0.0140431	0.0894072	0.00599119	0.0471222	0.0086663	0.00236221	0.00137909	0.0172662	0.0133884	0.00716103	0.000464194	0.00464027	0.0281688	0.008028	0.0294312	0.0354461	0.00138366	0.0140619	0.00636018	0.00341098	0.0119614	0.0145495	0.0233495	0.0112075	0.0117747	0.00613065	0.0240324	0.0106353	0.00526074	0.0068424	0.0182691	0.0217277	0.0159993	0.0410051	0.0132621	0.0103676	0.00356107	0.0216264	0.0446256	0.00365877	0.022488	0.0093381	0.00340604	0.0145346	0.0114129	0.0432062	0.0952515	0.0440956	0.0150241	0.032675	0.0550342	0.0157756	0.0240886	0.15575	0.0861798	0.00305088	0.12714	0.0252006	0.0292139	0.00343918	0.0455069	0.0148424	0.0828868	0.0445802	0.0146022	0.0873266	0.00673858	0.155309	0.503277	1.01398	2.32744	0.00630126	0.00458243	0.00269277	0.00597738	0.00147013	0.0156568	0.0124966	0.019389	0.0110016	0.000535163	0.00729503	0.0464449	0.00311228	0.0244788	0.00450193	0.00122711	0.000716403	0.00896937	0.00695495	0.00371998	0.000241138	0.00241051	0.014633	0.00417035	0.0152888	0.0184134	0.000718775	0.0073048	0.00330396	0.00177192	0.00621368	0.00755811	0.0121295	0.00582204	0.00611669	0.00318472	0.0124843	0.00552478	0.00273283	0.00355446	0.00949034	0.011287	0.00831125	0.0213012	0.00688934	0.00538571	0.00184989	0.0112344	0.0231819	0.00190064	0.011682	0.00485091	0.00176935	0.00755038	0.0059287	0.0224446	0.0494808	0.0229066	0.00780467	0.0169739	0.0285889	0.00819506	0.0125134	0.0809085	0.0447683	0.00158486	0.066046	0.0130911	0.0151759	0.00178657	0.0236397	0.00771028	0.0430577	0.0231583	0.0075855	0.0453641	0.00350053	1.925018
6	0	-903.7415	-1034.493	130.7511	1.093558	0.9144459	0.028271	0.0113636	0.0159998	0.00137178	0.0297819	0.0060558	0.0819037	0.0673302	0.00503728	0.00517226	0.0232296	0.0387091	0.0284598	0.0529308	0.00326366	0.0056822	0.0217959	0.0110308	0.00542108	0.00758497	0.00706449	0.00761598	0.022074	0.00102986	0.0183595	0.0238746	0.0133149	0.00513709	0.023213	0.0110558	0.00317222	0.0274638	0.0124735	0.00926386	0.0156507	0.00384049	0.00397369	0.0047008	0.00602033	0.0253868	0.00245432	0.0253134	0.0553004	0.0641675	0.165818	0.00859985	0.0898892	0.0213297	0.010869	0.00744015	0.0137443	0.0471895	0.0192364	0.00526967	0.00190489	0.0263491	0.0444675	0.0109552	0.0218076	0.036042	0.0112085	0.0272202	0.0996805	0.0220641	0.0205795	0.00397376	0.0328623	0.0217461	0.00997111	0.0537638	0.00842556	0.0203444	0.00051884	0.0228518	0.0322846	0.00934361	0.0105817	0.119583	0.449435	0.984239	2.44674	0.0158768	0.00638171	0.00898539	0.000770383	0.0167253	0.00340089	0.0459965	0.0378122	0.0028289	0.0029047	0.0130456	0.0217388	0.0159828	0.0297256	0.00183285	0.00319109	0.0122404	0.0061948	0.00304444	0.00425966	0.00396737	0.00427708	0.0123966	0.000578361	0.0103106	0.0134078	0.00747758	0.00288496	0.0130363	0.00620884	0.0017815	0.0154235	0.00700504	0.00520252	0.0087893	0.00215679	0.0022316	0.00263994	0.00338098	0.014257	0.00137833	0.0142159	0.0310563	0.036036	0.0931222	0.00482962	0.0504811	0.0119786	0.00610395	0.00417833	0.00771871	0.0265013	0.010803	0.00295941	0.00106977	0.0147975	0.0249726	0.00615235	0.012247	0.0202409	0.00629464	0.0152867	0.0559799	0.012391	0.0115573	0.00223163	0.0184552	0.0122124	0.0055997	0.0301934	0.00473174	0.0114253	0.000291377	0.0128334	0.0181308	0.00524731	0.0059426	1.780648
7	1	-918.8347	-1048.306	129.471	2.348326	0.4258353	0.0202448	0.00890503	0.0150523	0.00323082	0.00284227	0.00888698	0.0229154	0.0324717	0.000342986	0.00814974	0.028689	0.0805857	0.00333428	0.0144476	0.0109694	0.00159539	0.00203943	0.00933187	0.00838735	0.00532812	0.00226141	0.00411207	0.0180582	0.0193554	0.0313805	0.0398117	0.00327716	0.00735903	0.00614727	0.0042358	0.0177963	0.0145773	0.0107703	0.0426477	0.00851505	0.00790624	0.0201412	0.00758218	0.00131774	0.0136363	0.00492734	0.013751	0.0214454	0.0402939	0.00417899	0.00506049	0.00695976	0.0105025	0.0504318	0.0104174	0.034523	0.00889527	0.006514	0.0265227	0.0145423	0.0172435	0.0274735	0.0420046	0.0108546	0.00406847	0.0524244	0.012284	0.0229463	0.145706	0.10821	0.00503468	0.130171	0.00794444	0.0189678	0.0399478	0.0433489	0.0467527	0.0789561	0.0424662	0.0187869	0.0965064	0.0062419	0.0206112	0.200778	0.757789	3.02082	0.0112101	0.00493095	0.00833487	0.00178899	0.00157384	0.00492096	0.0126889	0.0179805	0.000189921	0.00451273	0.0158858	0.0446225	0.00184628	0.00800002	0.00607404	0.000883407	0.00112929	0.0051673	0.0046443	0.00295032	0.0012522	0.00227696	0.00999933	0.0107176	0.0173762	0.0220448	0.00181465	0.00407489	0.0034039	0.00234548	0.0098543	0.00807183	0.00596379	0.0236152	0.00471501	0.0043779	0.0111527	0.00419846	0.000729666	0.00755079	0.0027284	0.00761429	0.0118749	0.0223118	0.00231402	0.00280213	0.0038538	0.0058155	0.0279254	0.00576838	0.0191163	0.00492555	0.00360698	0.0146863	0.00805245	0.00954816	0.0152128	0.023259	0.00601048	0.00225282	0.0290288	0.00680198	0.012706	0.0806815	0.0599187	0.00278784	0.0720793	0.00439905	0.010503	0.0221202	0.0240034	0.0258882	0.0437201	0.0235146	0.0104028	0.0534382	0.00345631	1.805945
8	0	-914.6378	-1045.774	131.1366	1.02644	0.9742411	0.0231424	0.00354976	0.0252279	0.00165684	0.0128742	0.00570462	0.0670456	0.0862312	0.00823201	0.0242967	0.02212	0.0194023	0.0232969	0.0100146	0.00413803	0.00366623	0.00942876	0.00490925	0.00244838	0.00778615	0.00578293	0.0181123	0.029934	0.00134021	0.0182544	0.0195436	0.0131479	0.00752846	0.0190019	0.00859084	0.00722642	0.0178157	0.0137187	0.0158982	0.0128115	0.0014909	0.00325283	0.0053502	0.00235911	0.0105602	0.00159034	0.0207213	0.0452684	0.0525269	0.126561	0.00703976	0.0735824	0.0174603	0.00576825	0.0105904	0.0113543	0.0366598	0.00692421	0.000830563	0.00197512	0.0211919	0.0347078	0.0089678	0.0154421	0.0295036	0.00285565	0.00237715	0.106437	0.0551568	0.0100907	0.00359378	0.0114083	0.0386008	0.00283086	0.028677	0.017031	0.0165613	0.000457969	0.0201784	0.0108469	0.00322303	0.00637079	0.131786	0.46887	0.995597	2.40375	0.0158265	0.00242759	0.0172527	0.00113307	0.00880437	0.00390125	0.0458508	0.0589713	0.00562967	0.0166159	0.0151273	0.0132688	0.0159322	0.00684876	0.0028299	0.00250724	0.00644809	0.00335731	0.00167439	0.00532475	0.0039548	0.0123866	0.0204711	0.000916534	0.0124838	0.0133654	0.00899155	0.00514852	0.012995	0.00587506	0.00494197	0.0121837	0.00938189	0.0108723	0.00876145	0.00101959	0.00222453	0.00365887	0.00161333	0.00722183	0.00108759	0.0141708	0.0309579	0.0359218	0.0865517	0.00481432	0.0503212	0.0119407	0.00394476	0.0072425	0.00776494	0.0250707	0.00473529	0.000568001	0.00135074	0.0144926	0.0237358	0.00613285	0.0105605	0.0201768	0.00195291	0.00162567	0.0727898	0.0377203	0.00690077	0.0024577	0.00780182	0.0263981	0.00193595	0.0196115	0.0116471	0.0113258	0.000313194	0.0137995	0.00741791	0.00220415	0.00435683	1.462256
9	1	-911.558	-1042.022	130.4636	1.212724	0.82459	0.0282158	0.00230386	0.00530364	0.00702281	0.0175238	0.00346823	0.0266139	0.0343505	0.000440129	0.0197475	0.0294735	0.0827893	0.00182006	0.0501287	0.00556001	0.00184513	0.000692248	0.00186882	0.00521566	0.00397105	0.00907739	0.0053057	0.0171868	0.0147242	0.0227927	0.0306877	0.00403577	0.00756027	0.00745654	0.0112176	0.0399353	0.0161691	0.020376	0.0203162	0.0162844	0.0108942	0.004536	0.0160929	0.00376955	0.00725578	0.0180223	0.0461425	0.0228224	0.0413957	0.000816263	0.0011996	0.0124186	0.0208227	0.0684015	0.0107022	0.0248272	0.0140017	0.00507036	0.0206662	0.0149399	0.0213399	0.0277858	0.0250318	0.00671693	0.00799952	0.0538579	0.000684061	0.0416362	0.202359	0.0980824	0.0040868	0.133731	0.0119283	0.0194865	0.0488897	0.0621764	0.0245681	0.0674631	0.0401739	0.00859776	0.103981	0.00207824	0.100779	0.416849	0.963542	2.51883	0.0144776	0.00118212	0.0027213	0.00360341	0.00899147	0.00177956	0.0136556	0.0176253	0.000225831	0.0101325	0.0151229	0.0424793	0.000933878	0.0257211	0.00285285	0.000946737	0.000355194	0.000958894	0.00267616	0.00203755	0.00465762	0.00272236	0.00881855	0.00755503	0.011695	0.0157459	0.00207076	0.00387918	0.00382596	0.00575578	0.0204909	0.00829638	0.010455	0.0104243	0.00835554	0.00558981	0.00232743	0.00825729	0.00193416	0.00372295	0.00924727	0.0236758	0.0117102	0.0212402	0.000418826	0.000615517	0.00637199	0.0106842	0.0350969	0.00549134	0.0127389	0.00718431	0.00260161	0.0106039	0.0076657	0.0109495	0.0142569	0.0128438	0.00344647	0.00410457	0.0276346	0.000350993	0.0213636	0.103831	0.0503262	0.00209694	0.0686175	0.00612044	0.00999855	0.0250854	0.0319028	0.0126059	0.0346154	0.0206133	0.00441152	0.0533526	0.00106635	1.948932
