Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	relative_bl[28]	relative_bl[29]	relative_bl[30]	relative_bl[31]	relative_bl[32]	relative_bl[33]	relative_bl[34]	relative_bl[35]	relative_bl[36]	relative_bl[37]	relative_bl[38]	relative_bl[39]	relative_bl[40]	relative_bl[41]	relative_bl[42]	relative_bl[43]	relative_bl[44]	relative_bl[45]	relative_bl[46]	relative_bl[47]	relative_bl[48]	relative_bl[49]	relative_bl[50]	relative_bl[51]	relative_bl[52]	relative_bl[53]	relative_bl[54]	relative_bl[55]	relative_bl[56]	relative_bl[57]	relative_bl[58]	relative_bl[59]	relative_bl[60]	relative_bl[61]	relative_bl[62]	relative_bl[63]	relative_bl[64]	relative_bl[65]	relative_bl[66]	relative_bl[67]	relative_bl[68]	relative_bl[69]	relative_bl[70]	relative_bl[71]	relative_bl[72]	relative_bl[73]	relative_bl[74]	relative_bl[75]	relative_bl[76]	relative_bl[77]	tree_length
0	-930.9189	-1061.606	130.6872	1.480431	0.6754789	0.0218763	0.0120237	0.00419823	0.0125016	0.00116666	0.0202266	0.0074144	0.0304374	0.0123703	0.00089928	0.0289483	0.0512217	0.00581431	0.0187193	0.00950289	0.00117211	0.00347721	0.0145509	0.00799543	0.00955852	0.0206447	0.000542434	0.0401881	0.00266912	0.0133527	0.0259017	0.00180197	0.00357006	0.00874365	0.00649099	0.0125037	0.018209	0.0128625	0.019408	0.00566276	0.00269534	0.010704	0.00756367	0.00319203	0.004713	0.00395297	0.0192722	0.035548	0.0322275	0.00541127	0.00135271	0.000522583	0.00742901	0.038093	0.00673119	0.0240926	0.00687026	0.0100425	0.00744131	0.0129238	0.0516629	0.0840593	0.0150528	0.00128598	0.00507185	0.0618408	0.0138747	0.0102833	0.113054	0.041968	0.000998427	0.0849484	0.035807	0.0153326	0.0068347	0.0220739	0.00489678	0.0809946	0.0207702	0.00989675	0.0486621	0.0208346	0.0689602	0.351727	0.915431	2.66388	0.0150083	0.00824893	0.00288021	0.00857678	0.000800393	0.0138766	0.00508669	0.0208817	0.00848668	0.000616955	0.0198601	0.0351409	0.00398894	0.0128425	0.0065195	0.000804135	0.00238556	0.0099827	0.00548531	0.00655767	0.0141634	0.00037214	0.0275712	0.00183117	0.00916072	0.01777	0.00123625	0.00244926	0.00599862	0.00445317	0.00857825	0.0124924	0.0088244	0.013315	0.00388497	0.00184915	0.00734351	0.00518909	0.00218991	0.00323338	0.00271195	0.0132218	0.0243879	0.0221098	0.00371243	0.000928035	0.000358521	0.00509671	0.0261339	0.00461797	0.0165288	0.00471338	0.00688973	0.00510515	0.00886646	0.0354436	0.0576693	0.0103271	0.000882255	0.00347957	0.0424262	0.00951882	0.00705489	0.0775611	0.0287924	0.000684976	0.0582793	0.0245656	0.010519	0.00468898	0.0151439	0.00335946	0.0555668	0.0142495	0.00678972	0.0333849	0.0142937	1.457609
10	-932.3489	-1062.621	130.2721	1.958879	0.5104961	0.0108938	0.00674025	0.0135841	0.0285422	0.000740861	0.0230295	0.016125	0.0285191	0.00634955	0.000936891	0.0113527	0.0479936	0.0110883	0.0250288	0.00575365	0.00109824	0.00325807	0.00774164	0.00871001	0.00547168	0.00435447	0.0013504	0.0376553	0.00613412	0.0269902	0.0134423	0.00480003	0.0107445	0.00959052	0.00645463	0.00677912	0.011584	0.0103677	0.017838	0.00827777	0.000214577	0.0290184	0.00438208	0.00401969	0.00564035	0.0139592	0.0255503	0.0333076	0.0417843	0.0101335	0.000932128	0.00123631	0.0165246	0.0240874	0.0134933	0.0446771	0.0121819	0.00140998	0.0143286	0.00790982	0.0319504	0.058811	0.00618695	0.00126948	0.00807835	0.0579433	0.0191588	0.0348893	0.10383	0.039323	0.000982778	0.0971464	0.00452187	0.0121758	0.00508578	0.0188654	0.00243815	0.0629073	0.0240184	0.0121177	0.0455952	0.00292607	0.0353493	0.258713	0.827758	2.87818	0.00781288	0.00483403	0.00974233	0.0204702	0.000531337	0.0165165	0.0115647	0.0204536	0.00455382	0.000671927	0.008142	0.0344204	0.00795239	0.0179504	0.00412645	0.000787647	0.00233665	0.00555221	0.00624672	0.00392423	0.00312297	0.000968494	0.0270059	0.00439932	0.019357	0.00964067	0.00344252	0.00770587	0.00687821	0.00462919	0.00486191	0.00830794	0.00743559	0.0127932	0.00593672	0.000153892	0.0208116	0.00314278	0.00288287	0.00404519	0.0100114	0.0183244	0.0238878	0.0299672	0.0072676	0.000668512	0.000886669	0.0118512	0.0172752	0.00967724	0.0320419	0.0087367	0.00101122	0.0102763	0.00567283	0.0229145	0.0421786	0.00443721	0.000910458	0.0057937	0.0415563	0.0137405	0.0250222	0.0744657	0.028202	0.000704837	0.0696723	0.00324303	0.00873232	0.00364746	0.0135301	0.00174861	0.0451164	0.0172257	0.00869064	0.0327003	0.00209854	1.394334
20	-920.5656	-1051.352	130.7861	0.9141196	1.093949	0.01213	0.00882126	0.00518363	0.0115066	0.00283003	0.0301397	0.0240562	0.0373242	0.0211784	0.0010302	0.0140431	0.0894072	0.00599119	0.0471222	0.0086663	0.00236221	0.00137909	0.0172662	0.0133884	0.00716103	0.000464194	0.00464027	0.0281688	0.008028	0.0294312	0.0354461	0.00138366	0.0140619	0.00636018	0.00341098	0.0119614	0.0145495	0.0233495	0.0112075	0.0117747	0.00613065	0.0240324	0.0106353	0.00526074	0.0068424	0.0182691	0.0217277	0.0159993	0.0410051	0.0132621	0.0103676	0.00356107	0.0216264	0.0446256	0.00365877	0.022488	0.0093381	0.00340604	0.0145346	0.0114129	0.0432062	0.0952515	0.0440956	0.0150241	0.032675	0.0550342	0.0157756	0.0240886	0.15575	0.0861798	0.00305088	0.12714	0.0252006	0.0292139	0.00343918	0.0455069	0.0148424	0.0828868	0.0445802	0.0146022	0.0873266	0.00673858	0.155309	0.503277	1.01398	2.32744	0.00630126	0.00458243	0.00269277	0.00597738	0.00147013	0.0156568	0.0124966	0.019389	0.0110016	0.000535163	0.00729503	0.0464449	0.00311228	0.0244788	0.00450193	0.00122711	0.000716403	0.00896937	0.00695495	0.00371998	0.000241138	0.00241051	0.014633	0.00417035	0.0152888	0.0184134	0.000718775	0.0073048	0.00330396	0.00177192	0.00621368	0.00755811	0.0121295	0.00582204	0.00611669	0.00318472	0.0124843	0.00552478	0.00273283	0.00355446	0.00949034	0.011287	0.00831125	0.0213012	0.00688934	0.00538571	0.00184989	0.0112344	0.0231819	0.00190064	0.011682	0.00485091	0.00176935	0.00755038	0.0059287	0.0224446	0.0494808	0.0229066	0.00780467	0.0169739	0.0285889	0.00819506	0.0125134	0.0809085	0.0447683	0.00158486	0.066046	0.0130911	0.0151759	0.00178657	0.0236397	0.00771028	0.0430577	0.0231583	0.0075855	0.0453641	0.00350053	1.925018
30	-918.8347	-1048.306	129.471	2.348326	0.4258353	0.0202448	0.00890503	0.0150523	0.00323082	0.00284227	0.00888698	0.0229154	0.0324717	0.000342986	0.00814974	0.028689	0.0805857	0.00333428	0.0144476	0.0109694	0.00159539	0.00203943	0.00933187	0.00838735	0.00532812	0.00226141	0.00411207	0.0180582	0.0193554	0.0313805	0.0398117	0.00327716	0.00735903	0.00614727	0.0042358	0.0177963	0.0145773	0.0107703	0.0426477	0.00851505	0.00790624	0.0201412	0.00758218	0.00131774	0.0136363	0.00492734	0.013751	0.0214454	0.0402939	0.00417899	0.00506049	0.00695976	0.0105025	0.0504318	0.0104174	0.034523	0.00889527	0.006514	0.0265227	0.0145423	0.0172435	0.0274735	0.0420046	0.0108546	0.00406847	0.0524244	0.012284	0.0229463	0.145706	0.10821	0.00503468	0.130171	0.00794444	0.0189678	0.0399478	0.0433489	0.0467527	0.0789561	0.0424662	0.0187869	0.0965064	0.0062419	0.0206112	0.200778	0.757789	3.02082	0.0112101	0.00493095	0.00833487	0.00178899	0.00157384	0.00492096	0.0126889	0.0179805	0.000189921	0.00451273	0.0158858	0.0446225	0.00184628	0.00800002	0.00607404	0.000883407	0.00112929	0.0051673	0.0046443	0.00295032	0.0012522	0.00227696	0.00999933	0.0107176	0.0173762	0.0220448	0.00181465	0.00407489	0.0034039	0.00234548	0.0098543	0.00807183	0.00596379	0.0236152	0.00471501	0.0043779	0.0111527	0.00419846	0.000729666	0.00755079	0.0027284	0.00761429	0.0118749	0.0223118	0.00231402	0.00280213	0.0038538	0.0058155	0.0279254	0.00576838	0.0191163	0.00492555	0.00360698	0.0146863	0.00805245	0.00954816	0.0152128	0.023259	0.00601048	0.00225282	0.0290288	0.00680198	0.012706	0.0806815	0.0599187	0.00278784	0.0720793	0.00439905	0.010503	0.0221202	0.0240034	0.0258882	0.0437201	0.0235146	0.0104028	0.0534382	0.00345631	1.805945
40	-911.558	-1042.022	130.4636	1.212724	0.82459	0.0282158	0.00230386	0.00530364	0.00702281	0.0175238	0.00346823	0.0266139	0.0343505	0.000440129	0.0197475	0.0294735	0.0827893	0.00182006	0.0501287	0.00556001	0.00184513	0.000692248	0.00186882	0.00521566	0.00397105	0.00907739	0.0053057	0.0171868	0.0147242	0.0227927	0.0306877	0.00403577	0.00756027	0.00745654	0.0112176	0.0399353	0.0161691	0.020376	0.0203162	0.0162844	0.0108942	0.004536	0.0160929	0.00376955	0.00725578	0.0180223	0.0461425	0.0228224	0.0413957	0.000816263	0.0011996	0.0124186	0.0208227	0.0684015	0.0107022	0.0248272	0.0140017	0.00507036	0.0206662	0.0149399	0.0213399	0.0277858	0.0250318	0.00671693	0.00799952	0.0538579	0.000684061	0.0416362	0.202359	0.0980824	0.0040868	0.133731	0.0119283	0.0194865	0.0488897	0.0621764	0.0245681	0.0674631	0.0401739	0.00859776	0.103981	0.00207824	0.100779	0.416849	0.963542	2.51883	0.0144776	0.00118212	0.0027213	0.00360341	0.00899147	0.00177956	0.0136556	0.0176253	0.000225831	0.0101325	0.0151229	0.0424793	0.000933878	0.0257211	0.00285285	0.000946737	0.000355194	0.000958894	0.00267616	0.00203755	0.00465762	0.00272236	0.00881855	0.00755503	0.011695	0.0157459	0.00207076	0.00387918	0.00382596	0.00575578	0.0204909	0.00829638	0.010455	0.0104243	0.00835554	0.00558981	0.00232743	0.00825729	0.00193416	0.00372295	0.00924727	0.0236758	0.0117102	0.0212402	0.000418826	0.000615517	0.00637199	0.0106842	0.0350969	0.00549134	0.0127389	0.00718431	0.00260161	0.0106039	0.0076657	0.0109495	0.0142569	0.0128438	0.00344647	0.00410457	0.0276346	0.000350993	0.0213636	0.103831	0.0503262	0.00209694	0.0686175	0.00612044	0.00999855	0.0250854	0.0319028	0.0126059	0.0346154	0.0206133	0.00441152	0.0533526	0.00106635	1.948932
50	-909.4661	-1040.034	130.5676	0.9062017	1.103507	0.0271038	0.00661275	0.0051683	0.00792448	0.0124676	0.00939716	0.00612581	0.0338608	0.00145434	0.00176216	0.031017	0.0898382	0.0100566	0.0397506	0.0175504	0.00185066	0.000941738	0.00984309	0.0131724	0.000952436	0.00877033	0.0111117	0.00956662	0.000861593	0.0148285	0.0333005	0.00208876	0.00166507	0.00430073	0.00694825	0.0288484	0.00903603	0.046744	0.0237842	0.00510946	0.00915559	0.012472	0.00394185	0.0199176	0.0416658	0.0195568	0.024354	0.0178605	0.0231944	0.0124135	0.0171845	0.0307258	0.0115198	0.0742254	0.0164673	0.0340827	0.0107611	0.023669	0.0206537	0.0572914	0.0376085	0.0276339	0.0289574	0.0109715	0.0120819	0.0462576	0.0033232	0.0334612	0.190693	0.106433	0.00467556	0.180039	0.0347151	0.0251254	0.0166751	0.0678078	0.0345538	0.116028	0.0435944	0.00836541	0.103194	0.00438007	0.157131	0.505796	1.01524	2.32184	0.0125976	0.00307355	0.00240218	0.00368323	0.00579482	0.00436772	0.00284723	0.0157382	0.000675965	0.000819039	0.0144164	0.041756	0.00467421	0.0184757	0.00815726	0.000860173	0.000437712	0.00457498	0.00612241	0.000442684	0.00407638	0.00516465	0.00444648	0.000400461	0.00689214	0.0154778	0.00097084	0.000773908	0.00199894	0.00322949	0.0134085	0.00419987	0.0217262	0.0110547	0.00237483	0.00425544	0.00579687	0.00183214	0.00925754	0.0193659	0.00908982	0.0113196	0.00830139	0.0107805	0.00576967	0.00798721	0.0142811	0.00535432	0.0344993	0.00765384	0.0158414	0.00500166	0.0110012	0.00959969	0.0266286	0.0174801	0.012844	0.0134591	0.00509944	0.00561557	0.0215002	0.00154459	0.0155525	0.0886323	0.0494693	0.00217316	0.0836808	0.0161353	0.0116781	0.00775046	0.0315165	0.0160603	0.0539287	0.0202623	0.00388817	0.0479639	0.00203582	2.151502
60	-914.6655	-1045.318	130.6529	1.094597	0.9135782	0.0410911	0.00159371	0.00702238	0.00418747	0.0127134	0.0104354	0.00917506	0.0273077	0.000983995	0.000715047	0.0341655	0.0573364	0.0104804	0.0292894	0.0179961	0.0189406	0.00141308	0.0257911	0.00167794	0.00428902	0.0313904	0.00815157	0.0210367	0.0113821	0.0193126	0.0325755	0.00969544	0.00326811	0.00123898	0.00203258	0.0224367	0.012903	0.0324051	0.0239492	0.0110434	0.00731027	0.0014806	0.00367313	0.0145317	0.0108497	0.00499834	0.0196928	0.0174716	0.00931768	0.00490783	0.0168104	0.0300569	0.0111048	0.067701	0.00785335	0.0333407	0.0102372	0.0308081	0.00488751	0.00713477	0.0266152	0.0298794	0.0169338	0.00138947	0.0126165	0.0550103	0.00589544	0.0102512	0.177523	0.0878256	0.00381931	0.17612	0.0256948	0.00604318	0.0163121	0.078116	0.0418053	0.0454687	0.0618377	0.00819453	0.110149	0.00673593	0.119404	0.44914	0.984062	2.44739	0.0218822	0.000848697	0.00373962	0.00222995	0.00677028	0.00555715	0.00488599	0.0145422	0.000524006	0.000380784	0.0181941	0.0305333	0.00558113	0.0155974	0.00958345	0.0100864	0.000752506	0.0137345	0.000893551	0.00228403	0.0167163	0.00434095	0.0112027	0.00606133	0.0102845	0.0173474	0.0051631	0.00174036	0.000659793	0.00108241	0.0119482	0.00687122	0.0172566	0.0127536	0.00588096	0.00389293	0.000788461	0.00195605	0.00773853	0.00577777	0.00266176	0.010487	0.00930416	0.00496194	0.00261356	0.00895202	0.0160062	0.00591362	0.0360528	0.00418214	0.0177549	0.00545163	0.0164062	0.00260274	0.00379947	0.0141734	0.0159117	0.00901777	0.000739934	0.00671863	0.0292946	0.0031395	0.00545908	0.0945361	0.0467697	0.0020339	0.093789	0.0136832	0.00321817	0.00868667	0.041599	0.0222626	0.0242134	0.0329304	0.00436383	0.0586576	0.00358708	1.877831
70	-925.2291	-1055.93	130.7005	1.14509	0.8732934	0.0316516	0.00173593	0.00583236	0.0110023	0.0428902	0.013118	0.050713	0.0559983	0.000554039	0.00121427	0.0143273	0.0938555	0.019784	0.0431777	0.0105085	0.0230853	0.00420253	0.0241714	0.00329155	0.00402512	0.017425	0.01346	0.00766152	0.00265974	0.047238	0.0141104	0.00850278	0.00689958	0.00332908	0.00168814	0.0113456	0.0137027	0.0167951	0.0229585	0.00437767	0.00862643	0.00814166	0.00662495	0.0106298	0.00901108	0.014606	0.00595133	0.0399503	0.0353185	0.00495974	0.00983768	0.0124665	0.0151511	0.0596567	0.00921085	0.0282831	0.00818718	0.0216415	0.00455161	0.0113205	0.0288783	0.0158528	0.0127549	0.00265356	0.0365334	0.0281484	0.00624824	0.0258167	0.14744	0.00717682	0.00580387	0.107302	0.0203408	0.0259407	0.0118148	0.0648783	0.0316623	0.0345017	0.0513586	0.00085236	0.118492	0.0238175	0.111033	0.43505	0.975364	2.47855	0.0177849	0.000975416	0.00327718	0.00618216	0.0240999	0.00737098	0.0284955	0.0314652	0.000311313	0.000682296	0.00805044	0.0527371	0.0111166	0.0242614	0.00590469	0.0129716	0.00236139	0.0135818	0.00184951	0.0022617	0.00979105	0.0075631	0.00430498	0.0014945	0.0265429	0.00792856	0.00477769	0.00387685	0.0018706	0.000948559	0.00637507	0.00769948	0.00943712	0.0129003	0.0024598	0.00484716	0.00457477	0.00372254	0.00597284	0.00506329	0.00820707	0.00334403	0.0224479	0.0198453	0.00278686	0.00552776	0.0070049	0.00851333	0.0335209	0.00517555	0.0158922	0.00460035	0.0121603	0.00255753	0.00636095	0.0162266	0.00890761	0.00716693	0.00149103	0.020528	0.0158165	0.00351087	0.0145063	0.0828459	0.00403263	0.00326118	0.0602925	0.0114295	0.014576	0.0066387	0.0364549	0.0177909	0.0193864	0.0288582	0.000478938	0.0665803	0.013383	1.779686
80	-929.472	-1060.183	130.7112	1.270343	0.7871892	0.0212107	0.000844143	0.000512307	0.00939655	0.0423923	0.0132821	0.0206725	0.0507714	0.0106758	0.00216733	0.0395912	0.067301	0.00729357	0.0508858	0.00254581	0.0110629	0.00415375	0.0256632	0.0132049	0.00172405	0.00295235	0.0101233	0.0162362	0.00702949	0.0271278	0.0177235	0.00340235	0.0104998	0.00682861	0.00737729	0.0112139	0.00878624	0.0117829	0.0246267	0.0088771	0.00156004	0.0197851	0.0115274	0.0183238	0.00860422	0.0127544	0.00114581	0.0172532	0.0587343	0.00338926	0.0123444	0.0283752	0.004297	0.0227154	0.0124361	0.0418083	0.00984586	0.0348661	0.00262531	0.00359176	0.0132071	0.0193948	0.00332038	0.0019543	0.00405388	0.0362498	0.0100828	0.0437207	0.145728	0.0230871	0.0057365	0.0897312	0.0317612	0.0215492	0.0144558	0.0776279	0.0171929	0.0341012	0.0484574	0.000326024	0.0761998	0.0298885	0.0928299	0.401925	0.953341	2.5519	0.0129039	0.000513547	0.00031167	0.00571654	0.02579	0.00808038	0.0125764	0.0308876	0.00649481	0.00131853	0.0240859	0.0409436	0.00443716	0.0309571	0.00154879	0.0067303	0.002527	0.0156126	0.00803342	0.00104885	0.00179611	0.0061587	0.00987752	0.0042765	0.0165036	0.0107824	0.00206988	0.00638772	0.00415429	0.00448809	0.00682216	0.00534525	0.0071683	0.014982	0.00540052	0.000949076	0.0120365	0.0070129	0.0111476	0.00523451	0.00775934	0.000697072	0.0104963	0.035732	0.00206191	0.0075099	0.0172625	0.00261414	0.0138193	0.00756567	0.0254347	0.00598988	0.0212113	0.00159715	0.0021851	0.00803476	0.0117991	0.00202	0.00118893	0.00246624	0.0220531	0.00613402	0.0265981	0.088656	0.0140454	0.00348989	0.0545893	0.0193224	0.0131098	0.00879443	0.0472262	0.0104596	0.020746	0.0294798	0.000198342	0.0463574	0.0181831	1.643748
90	-929.3893	-1059.714	130.3249	1.696367	0.5894951	0.0283745	0.000530736	0.000470879	0.0126464	0.0256714	0.0119809	0.0186473	0.0166584	0.00479789	0.000809969	0.034744	0.0715751	0.00360634	0.0296406	0.0142184	0.00997915	0.00338452	0.0225699	0.0161284	0.00122023	0.00266312	0.0062672	0.0155479	0.00381969	0.032763	0.00414636	0.00550366	0.0120562	0.00335511	0.0130768	0.00841277	0.00315831	0.00153805	0.0207183	0.00646751	0.000649721	0.0178468	0.00475516	0.0165287	0.0144041	0.0124196	0.00724188	0.015563	0.0529805	0.00858021	0.00405227	0.0472385	0.000755673	0.0124647	0.0139424	0.0369859	0.00763531	0.0314505	0.0028208	0.0029813	0.0119133	0.0296591	0.0256931	0.000306979	0.00563218	0.0326986	0.0228131	0.0369591	0.145361	0.0638636	0.00517453	0.0815736	0.0286497	0.0223344	0.00975225	0.107559	0.0176195	0.0379779	0.0437103	0.000655446	0.0687349	0.0269605	0.0509489	0.306382	0.875863	2.76681	0.0176893	0.000330873	0.000293557	0.00788402	0.0160041	0.00746919	0.0116252	0.0103852	0.00299111	0.000504953	0.0216602	0.0446215	0.00224827	0.0184786	0.00886404	0.00622123	0.00210999	0.0140706	0.0100548	0.000760717	0.00166025	0.00390712	0.0096929	0.00238128	0.0204252	0.00258494	0.00343111	0.00751613	0.00209165	0.00815239	0.00524471	0.00196896	0.000958854	0.0129163	0.004032	0.00040505	0.0111261	0.00296447	0.0103044	0.00897987	0.00774265	0.00451475	0.00970232	0.0330292	0.0053491	0.00252628	0.0294495	0.000471103	0.00777078	0.00869203	0.0230578	0.00476002	0.0196069	0.00175855	0.00185861	0.00742702	0.0184902	0.0160176	0.000191378	0.00351123	0.020385	0.0142222	0.0230411	0.0906215	0.039814	0.00322592	0.0508548	0.0178609	0.0139238	0.00607977	0.0670547	0.0109844	0.0236763	0.02725	0.00040862	0.0428509	0.0168078	1.604048
