Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
0	0	-1316.651	-1448.675	132.0236	1.601664
1	1	-1330.159	-1462.308	132.1495	1.475743
2	0	-1319.117	-1451.015	131.8982	1.727123
3	1	-1347.687	-1479.587	131.9002	1.72508
4	0	-1322.29	-1454.224	131.934	1.69123
5	1	-1336.778	-1468.662	131.8841	1.741214
6	0	-1331.243	-1463.277	132.0341	1.591159
7	1	-1324.188	-1455.905	131.7175	1.907766
8	0	-1312.81	-1444.729	131.9194	1.705875
9	1	-1331.158	-1462.778	131.6199	2.005417
10	0	-1310.118	-1442.236	132.1177	1.50761
11	1	-1331.646	-1463.434	131.7878	1.837482
12	0	-1324.314	-1455.948	131.6344	1.990872
13	1	-1319.655	-1451.316	131.6608	1.964459
14	0	-1325.943	-1457.996	132.0527	1.572595
15	1	-1324.06	-1455.523	131.4626	2.162652
16	0	-1318.273	-1450.096	131.8231	1.802135
17	1	-1318.772	-1450.62	131.8483	1.776959
18	0	-1324.933	-1456.756	131.8231	1.802135
19	1	-1327.854	-1459.417	131.563	2.062266
20	0	-1317.608	-1449.287	131.6794	1.945909
21	1	-1315.224	-1447.121	131.8976	1.727631
22	0	-1333.04	-1464.925	131.8844	1.740843
23	1	-1332.489	-1464.239	131.7501	1.875188
24	0	-1330.104	-1461.844	131.7404	1.884914
25	1	-1335.01	-1466.805	131.7951	1.830224
26	0	-1315.159	-1447.23	132.0707	1.554549
27	1	-1334.616	-1466.453	131.8369	1.788364
28	0	-1318.452	-1450.637	132.1848	1.440497
29	1	-1333.924	-1465.848	131.9238	1.701523
30	0	-1328.574	-1460.297	131.7224	1.902856
31	1	-1336.588	-1468.585	131.997	1.628264
32	0	-1321.597	-1453.121	131.5238	2.101452
33	1	-1328.265	-1460.038	131.7736	1.85165
34	0	-1324.548	-1456.194	131.6457	1.979596
35	1	-1322.489	-1454.387	131.8979	1.727347
36	0	-1328.929	-1460.981	132.0526	1.572697
37	1	-1327.837	-1459.519	131.6822	1.943081
38	0	-1326.692	-1458.669	131.9768	1.648458
39	1	-1325.824	-1457.662	131.8378	1.787492
40	0	-1325.498	-1457.338	131.8401	1.785164
41	1	-1311.203	-1443.084	131.8808	1.744482
42	0	-1324.163	-1455.83	131.6667	1.958545
43	1	-1328.699	-1460.502	131.8038	1.821457
44	0	-1320.003	-1451.943	131.9401	1.685221
45	1	-1327.206	-1459.249	132.0434	1.581875
46	0	-1323.896	-1455.946	132.0494	1.575849
47	1	-1314.162	-1446.259	132.0964	1.528857
48	0	-1324.346	-1456.395	132.0492	1.576104
49	1	-1329.177	-1461.053	131.8757	1.749608
50	0	-1331.646	-1463.293	131.6471	1.978214
51	1	-1322.994	-1454.579	131.5856	2.03967
52	0	-1317.7	-1449.398	131.6981	1.927168
53	1	-1326.894	-1458.906	132.0115	1.613813
54	0	-1326.035	-1457.757	131.7217	1.903541
55	1	-1327.194	-1459.012	131.8182	1.807119
56	0	-1323.041	-1455.083	132.0417	1.583618
57	1	-1325.196	-1456.985	131.7892	1.836045
58	0	-1325.023	-1456.95	131.9268	1.698526
59	1	-1319.209	-1450.856	131.6468	1.978523
60	0	-1323.971	-1455.96	131.9881	1.637213
61	1	-1319.598	-1451.418	131.8208	1.804463
62	0	-1320.104	-1451.948	131.8446	1.780714
63	1	-1325.849	-1457.362	131.5128	2.11245
64	0	-1330.371	-1462.263	131.892	1.733291
65	1	-1333.662	-1465.539	131.8765	1.748769
66	0	-1328.482	-1460.374	131.892	1.733291
67	1	-1330.276	-1462.135	131.8596	1.765652
68	0	-1325.517	-1457.394	131.8769	1.748366
69	1	-1322.026	-1453.919	131.8936	1.731693
70	0	-1325.179	-1456.887	131.7082	1.917068
71	1	-1325.648	-1457.58	131.9317	1.693599
