Iteration	Posterior	Likelihood	Prior	tree_length
0	-1330.159	-1462.308	132.1495	1.475743
10	-1347.687	-1479.587	131.9002	1.72508
20	-1336.778	-1468.662	131.8841	1.741214
30	-1324.188	-1455.905	131.7175	1.907766
40	-1331.158	-1462.778	131.6199	2.005417
50	-1331.646	-1463.434	131.7878	1.837482
60	-1319.655	-1451.316	131.6608	1.964459
70	-1324.06	-1455.523	131.4626	2.162652
80	-1318.772	-1450.62	131.8483	1.776959
90	-1327.854	-1459.417	131.563	2.062266
100	-1315.224	-1447.121	131.8976	1.727631
110	-1332.489	-1464.239	131.7501	1.875188
120	-1335.01	-1466.805	131.7951	1.830224
130	-1334.616	-1466.453	131.8369	1.788364
140	-1333.924	-1465.848	131.9238	1.701523
150	-1336.588	-1468.585	131.997	1.628264
160	-1328.265	-1460.038	131.7736	1.85165
170	-1322.489	-1454.387	131.8979	1.727347
180	-1327.837	-1459.519	131.6822	1.943081
190	-1325.824	-1457.662	131.8378	1.787492
200	-1311.203	-1443.084	131.8808	1.744482
210	-1328.699	-1460.502	131.8038	1.821457
220	-1327.206	-1459.249	132.0434	1.581875
230	-1314.162	-1446.259	132.0964	1.528857
240	-1329.177	-1461.053	131.8757	1.749608
250	-1322.994	-1454.579	131.5856	2.03967
260	-1326.894	-1458.906	132.0115	1.613813
270	-1327.194	-1459.012	131.8182	1.807119
280	-1325.196	-1456.985	131.7892	1.836045
290	-1319.209	-1450.856	131.6468	1.978523
300	-1319.598	-1451.418	131.8208	1.804463
310	-1325.849	-1457.362	131.5128	2.11245
320	-1333.662	-1465.539	131.8765	1.748769
330	-1330.276	-1462.135	131.8596	1.765652
340	-1322.026	-1453.919	131.8936	1.731693
350	-1325.648	-1457.58	131.9317	1.693599
360	-1328.35	-1460.14	131.7897	1.835559
370	-1327.968	-1459.674	131.7066	1.918674
380	-1323.476	-1455.442	131.9658	1.659477
390	-1330.75	-1462.859	132.1084	1.516834
400	-1328.755	-1460.672	131.9166	1.708699
410	-1336.845	-1468.284	131.4392	2.186042
420	-1331.216	-1462.999	131.7831	1.842142
430	-1332.278	-1463.796	131.5188	2.106466
440	-1335.719	-1467.75	132.0308	1.594443
450	-1328.039	-1459.529	131.4903	2.135023
460	-1331.016	-1462.724	131.7076	1.917649
470	-1333.981	-1466.027	132.0461	1.579219
480	-1321.005	-1453.032	132.0269	1.598371
490	-1318.044	-1449.888	131.8445	1.780732
500	-1330.141	-1461.935	131.795	1.83032
510	-1329.31	-1461	131.6901	1.935136
520	-1336.049	-1468.128	132.0794	1.545847
530	-1337.545	-1469.516	131.9705	1.654748
540	-1329.068	-1460.77	131.7016	1.923649
550	-1322.752	-1454.446	131.6939	1.931405
560	-1334.637	-1466.396	131.7595	1.865755
570	-1318.349	-1449.933	131.5842	2.04105
580	-1311.257	-1443.188	131.9314	1.693895
590	-1328.939	-1460.87	131.9314	1.693895
600	-1317.405	-1449.432	132.0266	1.598699
610	-1323.908	-1455.741	131.8328	1.792504
620	-1319.269	-1451.071	131.8029	1.822385
630	-1333.128	-1465.029	131.901	1.72424
640	-1325.853	-1458.029	132.1754	1.449849
650	-1319.419	-1451.466	132.047	1.578327
660	-1318.782	-1450.313	131.5313	2.093941
670	-1322.936	-1454.891	131.9543	1.67101
680	-1317.955	-1449.658	131.7031	1.922149
690	-1325.661	-1457.359	131.6985	1.926813
700	-1317.301	-1449.228	131.9264	1.698869
710	-1316.129	-1448.192	132.0631	1.562179
720	-1330.336	-1461.889	131.5527	2.072614
730	-1327.776	-1459.607	131.831	1.794329
740	-1329.521	-1461.333	131.8114	1.81385
750	-1334.93	-1466.587	131.6574	1.967835
760	-1319.268	-1451.132	131.8635	1.761791
770	-1334.286	-1466.055	131.769	1.85626
780	-1331.591	-1463.23	131.6394	1.985901
790	-1317.267	-1448.986	131.7189	1.906345
800	-1335.417	-1467.544	132.1267	1.498561
810	-1328.389	-1459.926	131.537	2.088236
820	-1320.103	-1452.094	131.9907	1.634563
830	-1332.182	-1464.054	131.8717	1.753615
840	-1329.794	-1461.458	131.6642	1.961072
850	-1323.448	-1455.441	131.9938	1.631447
860	-1315.647	-1447.636	131.9897	1.635572
870	-1314.709	-1446.698	131.9897	1.635572
880	-1312.659	-1444.419	131.7602	1.865038
890	-1324.701	-1456.327	131.6261	1.999216
900	-1320.403	-1452.265	131.8617	1.763562
910	-1316.537	-1448.27	131.7334	1.891865
920	-1323.755	-1455.63	131.8751	1.750176
930	-1317.411	-1449.354	131.9431	1.682173
940	-1320.591	-1452.246	131.6555	1.969822
950	-1315.083	-1447.005	131.9213	1.703947
960	-1322.535	-1454.43	131.8942	1.731082
970	-1321.713	-1453.854	132.1407	1.484574
980	-1320.949	-1452.796	131.8472	1.778047
990	-1312.39	-1444.521	132.1319	1.493374
1000	-1322.902	-1454.705	131.8032	1.822059
1010	-1315.638	-1447.203	131.5648	2.060479
1020	-1325.089	-1456.721	131.632	1.993252
1030	-1316.96	-1448.811	131.8509	1.77442
