Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
0	0	-940.8281	-1072.585	131.7572	1.868038
1	1	-927.2162	-1059.147	131.931	1.694263
2	0	-953.7555	-1085.164	131.4088	2.216527
3	1	-923.0138	-1054.799	131.7854	1.839837
4	0	-930.8585	-1062.656	131.7972	1.828118
5	1	-913.4422	-1045.031	131.5883	2.036933
6	0	-938.706	-1070.491	131.7846	1.840663
7	1	-920.8011	-1052.445	131.6436	1.981658
8	0	-931.7638	-1063.273	131.5088	2.116525
9	1	-940.7274	-1072.718	131.9911	1.634205
10	0	-931.7009	-1063.324	131.6233	2.001966
11	1	-915.9109	-1047.869	131.9582	1.667065
12	0	-948.2949	-1079.826	131.5312	2.094082
13	1	-916.0206	-1047.86	131.8399	1.785381
14	0	-950.2871	-1082.084	131.797	1.828253
15	1	-924.3813	-1056.1	131.7186	1.906727
16	0	-939.1426	-1070.917	131.7739	1.851341
17	1	-922.5588	-1053.972	131.4128	2.212513
18	0	-936.7444	-1068.487	131.7425	1.88282
19	1	-920.7923	-1052.643	131.851	1.774269
20	0	-930.6026	-1061.849	131.2465	2.378753
21	1	-924.8527	-1056.641	131.7881	1.837176
22	0	-928.7557	-1060.327	131.5711	2.054143
23	1	-920.3885	-1051.977	131.5886	2.03668
24	0	-932.8337	-1064.384	131.5507	2.074565
25	1	-916.0659	-1047.921	131.8547	1.770583
26	0	-923.4851	-1054.872	131.3872	2.238121
27	1	-918.7758	-1050.639	131.8629	1.762385
28	0	-923.9595	-1055.474	131.5142	2.111071
29	1	-917.1223	-1049.041	131.9191	1.706189
30	0	-922.3691	-1053.988	131.619	2.006242
31	1	-919.7624	-1050.976	131.2136	2.411687
32	0	-910.9242	-1042.637	131.7124	1.912907
33	1	-927.5243	-1059.048	131.524	2.101234
34	0	-914.8318	-1046.671	131.8394	1.785926
35	1	-920.0538	-1051.897	131.8431	1.782145
36	0	-919.6762	-1051.273	131.5968	2.028475
37	1	-929.8846	-1061.343	131.4584	2.166836
38	0	-919.7726	-1051.118	131.3454	2.279846
39	1	-925.6747	-1057.269	131.5947	2.030533
40	0	-916.5769	-1048.348	131.7712	1.85404
41	1	-925.1403	-1056.747	131.6064	2.018876
42	0	-933.4559	-1065.259	131.8031	1.822168
43	1	-921.4144	-1053.242	131.8279	1.797428
44	0	-924.5379	-1056.025	131.4869	2.138386
45	1	-923.1196	-1054.927	131.8075	1.817761
46	0	-927.4047	-1059.116	131.7109	1.91442
47	1	-922.2787	-1054.076	131.7974	1.827856
48	0	-928.1785	-1059.787	131.6082	2.017124
49	1	-923.3139	-1054.816	131.5022	2.123058
50	0	-925.519	-1057.241	131.7224	1.902888
51	1	-930.2827	-1061.833	131.55	2.075245
52	0	-929.7804	-1061.44	131.6599	1.965364
53	1	-930.3353	-1062.22	131.8842	1.741063
54	0	-921.5752	-1053.027	131.4522	2.173073
55	1	-932.302	-1063.662	131.3604	2.264903
56	0	-937.6511	-1069.243	131.5915	2.033794
57	1	-916.884	-1048.724	131.8396	1.785724
58	0	-931.2144	-1062.877	131.6626	1.962678
59	1	-926.185	-1057.833	131.6481	1.977223
60	0	-941.5515	-1073.182	131.6308	1.994521
61	1	-915.3158	-1046.61	131.294	2.331329
62	0	-935.5802	-1067.17	131.5901	2.035141
63	1	-933.0936	-1064.756	131.662	1.963237
64	0	-936.0185	-1067.964	131.9453	1.680017
65	1	-933.0017	-1064.82	131.8182	1.807056
66	0	-947.0092	-1078.661	131.6514	1.97384
67	1	-925.2607	-1057.24	131.9795	1.645746
68	0	-937.2089	-1069.072	131.8636	1.761719
69	1	-927.4756	-1059.317	131.841	1.784314
70	0	-914.6489	-1046.289	131.6405	1.98477
71	1	-917.1455	-1048.915	131.7699	1.855348
72	0	-917.1697	-1048.8	131.6298	1.995443
73	1	-923.2789	-1054.816	131.537	2.088242
74	0	-922.805	-1054.742	131.9374	1.687863
75	1	-918.4845	-1050.054	131.5694	2.055895
76	0	-922.4943	-1053.94	131.4458	2.179511
77	1	-921.9494	-1053.759	131.8095	1.815815
78	0	-934.533	-1066.184	131.651	1.974231
79	1	-915.0048	-1046.759	131.7543	1.870973
80	0	-934.7224	-1066.471	131.7488	1.876492
81	1	-915.3083	-1046.913	131.6052	2.020119
82	0	-922.6264	-1054.169	131.5421	2.083134
83	1	-921.8035	-1053.409	131.6052	2.020119
84	0	-926.7954	-1058.144	131.3488	2.276526
85	1	-923.2711	-1054.834	131.5629	2.062357
86	0	-924.0622	-1055.88	131.8176	1.807696
87	1	-944.1439	-1075.289	131.1451	2.480161
88	0	-930.4325	-1062.343	131.9109	1.714336
89	1	-929.859	-1061.731	131.8725	1.752824
90	0	-938.3866	-1070.026	131.6395	1.985809
91	1	-922.4978	-1054.293	131.7953	1.829961
92	0	-939.4966	-1070.909	131.4128	2.212518
93	1	-926.9987	-1058.5	131.5014	2.123852
94	0	-930.1431	-1061.672	131.5287	2.096579
95	1	-914.6064	-1046.293	131.687	1.938314
96	0	-928.9961	-1060.608	131.6115	2.013828
97	1	-921.2081	-1052.661	131.4532	2.172112
98	0	-922.1721	-1054.036	131.8634	1.761869
99	1	-931.6844	-1063.351	131.6669	1.958425
100	0	-939.7259	-1071.393	131.6672	1.958122
101	1	-926.6593	-1058.177	131.5182	2.107097
102	0	-929.0903	-1060.925	131.8346	1.790692
103	1	-925.2503	-1057.016	131.766	1.859254
104	0	-936.1294	-1067.921	131.7911	1.834143
105	1	-934.8784	-1066.726	131.8479	1.777358
106	0	-924.4674	-1056.421	131.9532	1.672104
107	1	-920.2258	-1051.824	131.5984	2.0269
108	0	-931.2684	-1062.862	131.5933	2.031937
109	1	-915.1592	-1046.646	131.4872	2.138053
110	0	-933.2891	-1064.709	131.4201	2.205208
111	1	-915.005	-1046.772	131.767	1.858279
112	0	-936.9293	-1068.526	131.597	2.028244
113	1	-927.2037	-1058.975	131.7715	1.853764
114	0	-920.1574	-1052.028	131.8711	1.754213
115	1	-912.3412	-1044.083	131.7415	1.883775
116	0	-936.5046	-1067.904	131.3998	2.225441
117	1	-919.4502	-1050.885	131.4346	2.190652
118	0	-935.8024	-1067.552	131.7495	1.875762
119	1	-922.7547	-1054.291	131.5365	2.088772
120	0	-931.4917	-1063.102	131.6107	2.014609
121	1	-931.2244	-1062.989	131.7647	1.860615
122	0	-930.3537	-1062.18	131.8265	1.798742
123	1	-927.8532	-1059.597	131.7434	1.881869
124	0	-924.9284	-1056.479	131.5507	2.074542
125	1	-934.2807	-1065.798	131.517	2.108251
126	0	-941.8631	-1073.205	131.3418	2.283485
127	1	-923.85	-1055.5	131.6496	1.975705
128	0	-930.2708	-1061.813	131.5419	2.083383
129	1	-920.0925	-1051.745	131.6522	1.973079
130	0	-934.7617	-1066.445	131.6829	1.94238
131	1	-933.5794	-1065.102	131.5224	2.102864
132	0	-931.0015	-1062.83	131.8288	1.796434
133	1	-920.7091	-1052.232	131.5224	2.102864
134	0	-931.3353	-1063.398	132.0623	1.563006
135	1	-918.8361	-1050.608	131.7718	1.85348
136	0	-938.2952	-1069.761	131.4656	2.159694
137	1	-931.7585	-1062.805	131.0462	2.579079
138	0	-929.9852	-1061.622	131.6366	1.988673
139	1	-923.1224	-1054.808	131.6858	1.939468
140	0	-936.5361	-1068.233	131.6968	1.928494
141	1	-921.1516	-1052.837	131.6858	1.939468
142	0	-940.2031	-1071.791	131.588	2.037253
143	1	-916.7654	-1048.525	131.7592	1.866124
144	0	-931.3131	-1063.178	131.8649	1.760364
145	1	-927.022	-1058.835	131.8125	1.812752
146	0	-921.9012	-1053.775	131.8743	1.751029
