Iteration	Posterior	Likelihood	Prior	tree_length
0	-927.2162	-1059.147	131.931	1.694263
10	-923.0138	-1054.799	131.7854	1.839837
20	-913.4422	-1045.031	131.5883	2.036933
30	-920.8011	-1052.445	131.6436	1.981658
40	-940.7274	-1072.718	131.9911	1.634205
50	-915.9109	-1047.869	131.9582	1.667065
60	-916.0206	-1047.86	131.8399	1.785381
70	-924.3813	-1056.1	131.7186	1.906727
80	-922.5588	-1053.972	131.4128	2.212513
90	-920.7923	-1052.643	131.851	1.774269
100	-924.8527	-1056.641	131.7881	1.837176
110	-920.3885	-1051.977	131.5886	2.03668
120	-916.0659	-1047.921	131.8547	1.770583
130	-918.7758	-1050.639	131.8629	1.762385
140	-917.1223	-1049.041	131.9191	1.706189
150	-919.7624	-1050.976	131.2136	2.411687
160	-927.5243	-1059.048	131.524	2.101234
170	-920.0538	-1051.897	131.8431	1.782145
180	-929.8846	-1061.343	131.4584	2.166836
190	-925.6747	-1057.269	131.5947	2.030533
200	-925.1403	-1056.747	131.6064	2.018876
210	-921.4144	-1053.242	131.8279	1.797428
220	-923.1196	-1054.927	131.8075	1.817761
230	-922.2787	-1054.076	131.7974	1.827856
240	-923.3139	-1054.816	131.5022	2.123058
250	-930.2827	-1061.833	131.55	2.075245
260	-930.3353	-1062.22	131.8842	1.741063
270	-932.302	-1063.662	131.3604	2.264903
280	-916.884	-1048.724	131.8396	1.785724
290	-926.185	-1057.833	131.6481	1.977223
300	-915.3158	-1046.61	131.294	2.331329
310	-933.0936	-1064.756	131.662	1.963237
320	-933.0017	-1064.82	131.8182	1.807056
330	-925.2607	-1057.24	131.9795	1.645746
340	-927.4756	-1059.317	131.841	1.784314
350	-917.1455	-1048.915	131.7699	1.855348
360	-923.2789	-1054.816	131.537	2.088242
370	-918.4845	-1050.054	131.5694	2.055895
380	-921.9494	-1053.759	131.8095	1.815815
390	-915.0048	-1046.759	131.7543	1.870973
400	-915.3083	-1046.913	131.6052	2.020119
410	-921.8035	-1053.409	131.6052	2.020119
420	-923.2711	-1054.834	131.5629	2.062357
430	-944.1439	-1075.289	131.1451	2.480161
440	-929.859	-1061.731	131.8725	1.752824
450	-922.4978	-1054.293	131.7953	1.829961
460	-926.9987	-1058.5	131.5014	2.123852
470	-914.6064	-1046.293	131.687	1.938314
480	-921.2081	-1052.661	131.4532	2.172112
490	-931.6844	-1063.351	131.6669	1.958425
500	-926.6593	-1058.177	131.5182	2.107097
510	-925.2503	-1057.016	131.766	1.859254
520	-934.8784	-1066.726	131.8479	1.777358
530	-920.2258	-1051.824	131.5984	2.0269
540	-915.1592	-1046.646	131.4872	2.138053
550	-915.005	-1046.772	131.767	1.858279
560	-927.2037	-1058.975	131.7715	1.853764
570	-912.3412	-1044.083	131.7415	1.883775
580	-919.4502	-1050.885	131.4346	2.190652
590	-922.7547	-1054.291	131.5365	2.088772
600	-931.2244	-1062.989	131.7647	1.860615
610	-927.8532	-1059.597	131.7434	1.881869
620	-934.2807	-1065.798	131.517	2.108251
630	-923.85	-1055.5	131.6496	1.975705
640	-920.0925	-1051.745	131.6522	1.973079
650	-933.5794	-1065.102	131.5224	2.102864
660	-920.7091	-1052.232	131.5224	2.102864
670	-918.8361	-1050.608	131.7718	1.85348
680	-931.7585	-1062.805	131.0462	2.579079
690	-923.1224	-1054.808	131.6858	1.939468
700	-921.1516	-1052.837	131.6858	1.939468
710	-916.7654	-1048.525	131.7592	1.866124
720	-927.022	-1058.835	131.8125	1.812752
730	-928.925	-1060.852	131.9267	1.698592
740	-939.449	-1071.103	131.6537	1.971548
750	-930.9516	-1062.768	131.8166	1.808715
760	-922.9361	-1054.806	131.8695	1.755812
770	-915.9818	-1047.535	131.5528	2.07248
780	-916.749	-1048.295	131.5455	2.079733
790	-921.6356	-1053.208	131.5723	2.052979
800	-923.9071	-1055.66	131.7527	1.872566
810	-925.6141	-1057.143	131.5289	2.096417
820	-912.2185	-1043.665	131.4465	2.178792
830	-923.1665	-1054.795	131.6287	1.996609
840	-916.6759	-1048.224	131.5482	2.077056
850	-924.4392	-1055.846	131.4071	2.218217
860	-930.1517	-1061.838	131.6863	1.938946
870	-921.8649	-1053.342	131.4772	2.148052
880	-911.7788	-1043.331	131.5518	2.073494
890	-930.5156	-1062.114	131.5981	2.027202
900	-916.1255	-1047.821	131.6959	1.929401
910	-922.0403	-1053.95	131.9098	1.715501
920	-926.0555	-1057.597	131.5412	2.084088
930	-938.6554	-1069.971	131.3157	2.309532
940	-933.4904	-1065.278	131.788	1.837296
950	-921.2362	-1053.067	131.8304	1.794831
960	-926.5751	-1058.083	131.5078	2.117434
970	-921.6839	-1053.453	131.769	1.856269
980	-920.4409	-1051.945	131.504	2.121265
990	-929.8793	-1061.637	131.7581	1.867133
1000	-920.7405	-1052.119	131.378	2.247283
1010	-928.2622	-1059.977	131.7146	1.910717
1020	-932.6957	-1064.222	131.5267	2.09853
1030	-923.7287	-1055.37	131.6414	1.983855
1040	-928.9664	-1060.866	131.8997	1.725575
1050	-928.4378	-1059.875	131.4375	2.187757
1060	-920.0036	-1051.556	131.5526	2.072677
1070	-919.6355	-1051.348	131.7127	1.912624
1080	-921.7582	-1053.181	131.4227	2.202594
1090	-919.7597	-1051.371	131.6115	2.013796
1100	-915.8988	-1047.684	131.7856	1.839698
1110	-928.6289	-1060.344	131.7149	1.910395
1120	-918.8346	-1050.479	131.6446	1.980711
1130	-923.8214	-1055.713	131.8915	1.733791
1140	-910.2109	-1041.925	131.7139	1.911386
1150	-930.3927	-1061.794	131.401	2.224303
1160	-920.8077	-1052.235	131.427	2.198262
1170	-916.8651	-1048.424	131.5591	2.066163
1180	-920.0734	-1051.858	131.7849	1.84036
1190	-923.5919	-1055.074	131.4824	2.142838
1200	-922.7985	-1054.303	131.5048	2.12047
1210	-922.0946	-1053.979	131.8844	1.740912
1220	-929.3027	-1060.546	131.2428	2.382467
1230	-938.3703	-1069.939	131.5688	2.056525
1240	-933.3105	-1064.809	131.4981	2.127185
1250	-920.9777	-1052.734	131.7563	1.868968
1260	-933.0165	-1064.21	131.1939	2.431376
1270	-923.6215	-1055.242	131.6204	2.004833
1280	-926.1295	-1057.739	131.6092	2.016108
1290	-923.4891	-1055.103	131.6139	2.011382
1300	-918.675	-1050.307	131.632	1.993254
1310	-921.5199	-1053.149	131.6293	1.995957
1320	-924.5791	-1055.888	131.3093	2.31602
